Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,475.0,500.0,475.0,475.0,39200,0
1980-03-18,468.75,475.0,462.5,468.75,18200,0
1980-03-19,478.125,490.625,475.0,478.125,26100,0
1980-03-20,484.375,487.5,481.25,484.375,5400,0
1980-03-21,478.125,484.375,475.0,478.125,8500,0
1980-03-24,468.75,484.375,468.75,468.75,15300,0
1980-03-25,453.125,471.875,453.125,453.125,10300,0
1980-03-26,450.0,456.25,450.0,450.0,5600,0
1980-03-27,387.5,437.5,371.875,387.5,32700,0
1980-03-28,443.75,446.875,425.0,443.75,14300,0
1980-03-31,459.375,462.5,446.875,459.375,16200,0
1980-04-01,459.375,462.5,459.375,459.375,29900,0
1980-04-02,462.5,462.5,459.375,462.5,17600,0
1980-04-03,465.625,465.625,462.5,465.625,17400,0
1980-04-07,456.25,471.875,453.125,456.25,24000,0
1980-04-08,450.0,456.25,437.5,450.0,17800,0
1980-04-09,456.25,456.25,450.0,456.25,2700,0
1980-04-10,462.5,465.625,459.375,462.5,9300,0
1980-04-11,459.375,465.625,450.0,459.375,19700,0
1980-04-14,443.75,456.25,443.75,443.75,3800,0
1980-04-15,453.125,456.25,440.625,453.125,20200,0
1980-04-16,450.0,471.875,450.0,450.0,21100,0
1980-04-17,450.0,453.125,446.875,450.0,3900,0
1980-04-18,450.0,453.125,450.0,450.0,9000,0
1980-04-21,450.0,456.25,450.0,450.0,11000,0
1980-04-22,475.0,475.0,453.125,475.0,15800,0
1980-04-23,490.625,500.0,471.875,490.625,20500,0
1980-04-24,490.625,493.75,484.375,490.625,4800,0
1980-04-25,475.0,481.25,475.0,475.0,25500,0
1980-04-28,475.0,481.25,475.0,475.0,1200,0
1980-04-29,481.25,481.25,475.0,481.25,3300,0
1980-04-30,478.125,478.125,468.75,478.125,5400,0
1980-05-01,459.375,475.0,453.125,459.375,4300,0
1980-05-02,468.75,468.75,453.125,468.75,4700,0
1980-05-05,465.625,475.0,465.625,465.625,5200,0
1980-05-06,475.0,481.25,468.75,475.0,4400,0
1980-05-07,500.0,503.125,475.0,500.0,9500,0
1980-05-08,487.5,509.375,487.5,487.5,79500,0
1980-05-09,475.0,490.625,475.0,475.0,6600,0
1980-05-12,459.375,475.0,459.375,459.375,10500,0
1980-05-13,468.75,468.75,456.25,468.75,17500,0
1980-05-14,456.25,475.0,456.25,456.25,7600,0
1980-05-15,453.125,456.25,450.0,453.125,63900,0
1980-05-16,459.375,459.375,453.125,459.375,64200,0
1980-05-19,465.625,465.625,456.25,465.625,22400,0
1980-05-20,471.875,475.0,468.75,471.875,23200,0
1980-05-21,465.625,475.0,462.5,465.625,14900,0
1980-05-22,462.5,471.875,459.375,462.5,16800,0
1980-05-23,484.375,487.5,462.5,484.375,58800,0
1980-05-27,500.0,500.0,487.5,500.0,16900,0
1980-05-28,528.125,534.375,506.25,528.125,30200,0
1980-05-29,515.625,528.125,515.625,515.625,26500,0
1980-05-30,540.625,556.25,512.5,540.625,19700,0
1980-06-02,540.625,553.125,537.5,540.625,14700,0
1980-06-03,540.625,550.0,534.375,540.625,14500,0
1980-06-04,550.0,550.0,537.5,550.0,12300,0
1980-06-05,550.0,562.5,543.75,550.0,38600,0
1980-06-06,587.5,587.5,550.0,587.5,43100,0
1980-06-09,571.875,587.5,568.75,571.875,6500,0
1980-06-10,584.375,587.5,568.75,584.375,31000,0
1980-06-11,578.125,581.25,571.875,578.125,16800,0
1980-06-12,575.0,578.125,571.875,575.0,41700,0
1980-06-13,575.0,575.0,571.875,575.0,6600,0
1980-06-16,596.875,596.875,578.125,596.875,27200,0
1980-06-17,584.375,603.125,584.375,584.375,9400,0
1980-06-18,575.0,584.375,575.0,575.0,13200,0
1980-06-19,562.5,587.5,562.5,562.5,20800,0
1980-06-20,559.375,568.75,556.25,559.375,9000,0
1980-06-23,537.5,556.25,534.375,537.5,7600,0
1980-06-24,556.25,562.5,540.625,556.25,10000,0
1980-06-25,587.5,596.875,562.5,587.5,24500,0
1980-06-26,575.0,593.75,575.0,575.0,30600,0
1980-06-27,581.25,584.375,575.0,581.25,6300,0
1980-06-30,562.5,575.0,559.375,562.5,17100,0
1980-07-01,565.625,571.875,562.5,565.625,4900,0
1980-07-02,562.5,568.75,556.25,562.5,5000,0
1980-07-03,565.625,575.0,565.625,565.625,18600,0
1980-07-07,593.75,593.75,575.0,593.75,9100,0
1980-07-08,593.75,609.375,590.625,593.75,34300,0
1980-07-09,581.25,603.125,581.25,581.25,22800,0
1980-07-10,575.0,587.5,568.75,575.0,5100,0
1980-07-11,578.125,584.375,571.875,578.125,4000,0
1980-07-14,575.0,584.375,571.875,575.0,15900,0
1980-07-15,584.375,606.25,584.375,584.375,18900,0
1980-07-16,596.875,596.875,590.625,596.875,9600,0
1980-07-17,593.75,596.875,593.75,593.75,26800,0
1980-07-18,590.625,603.125,587.5,590.625,24300,0
1980-07-21,587.5,596.875,584.375,587.5,25200,0
1980-07-22,590.625,590.625,578.125,590.625,27300,0
1980-07-23,587.5,590.625,578.125,587.5,7100,0
1980-07-24,581.25,590.625,581.25,581.25,4500,0
