Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,1.39063125,1.42188125,1.36725,1.39063125,89200,0
1980-03-18,1.42975,1.44538125,1.3985,1.42975,109100,0
1980-03-19,1.4375,1.45313125,1.42975,1.4375,36800,0
1980-03-20,1.42975,1.44538125,1.42188125,1.42975,78300,0
1980-03-21,1.39063125,1.42188125,1.375,1.39063125,79400,0
1980-03-24,1.375,1.39063125,1.375,1.375,41400,0
1980-03-25,1.35938125,1.38288125,1.35938125,1.35938125,74700,0
1980-03-26,1.38288125,1.39063125,1.36725,1.38288125,103400,0
1980-03-27,1.38288125,1.40625,1.36725,1.38288125,61500,0
1980-03-28,1.4375,1.4375,1.39063125,1.4375,69100,0
1980-03-31,1.46875,1.47663125,1.42188125,1.46875,97700,0
1980-04-01,1.51563125,1.5235,1.46875,1.51563125,133600,0
1980-04-02,1.51563125,1.53913125,1.5,1.51563125,271400,0
1980-04-03,1.51563125,1.5235,1.50788125,1.51563125,9700,0
1980-04-07,1.49225,1.5235,1.48438125,1.49225,66700,0
1980-04-08,1.49225,1.49225,1.47663125,1.49225,108700,0
1980-04-09,1.51563125,1.53913125,1.48438125,1.51563125,96400,0
1980-04-10,1.54688125,1.54688125,1.51563125,1.54688125,134500,0
1980-04-11,1.53125,1.54688125,1.51563125,1.53125,105400,0
1980-04-14,1.53125,1.53913125,1.50788125,1.53125,73000,0
1980-04-15,1.54688125,1.55475,1.51563125,1.54688125,95000,0
1980-04-16,1.5625,1.5859999999999999,1.54688125,1.5625,415700,0
1980-04-17,1.61725,1.625,1.5625,1.61725,189600,0
1980-04-18,1.6485,1.66413125,1.63288125,1.6485,112700,0
1980-04-21,1.65625,1.67188125,1.64063125,1.65625,86200,0
1980-04-22,1.67188125,1.67975,1.6485,1.67188125,185500,0
1980-04-23,1.6875,1.70313125,1.67188125,1.6875,239700,0
1980-04-24,1.7109999999999999,1.7109999999999999,1.6875,1.7109999999999999,485800,0
1980-04-25,1.6875,1.70313125,1.67188125,1.6875,167500,0
1980-04-28,1.6875,1.6875,1.67975,1.6875,44900,0
1980-04-29,1.6485,1.67975,1.64063125,1.6485,112300,0
1980-04-30,1.64063125,1.65625,1.625,1.64063125,39000,0
1980-05-01,1.63288125,1.64063125,1.625,1.63288125,40400,0
1980-05-02,1.63288125,1.64063125,1.60938125,1.63288125,67400,0
1980-05-05,1.66413125,1.66413125,1.625,1.66413125,157100,0
1980-05-06,1.67188125,1.67975,1.6485,1.67188125,277900,0
1980-05-07,1.69538125,1.69538125,1.67188125,1.69538125,268300,0
1980-05-08,1.66413125,1.69538125,1.65625,1.66413125,115700,0
1980-05-09,1.6485,1.66413125,1.64063125,1.6485,44300,0
1980-05-12,1.66413125,1.66413125,1.63288125,1.66413125,46600,0
1980-05-13,1.66413125,1.6875,1.65625,1.66413125,175100,0
1980-05-14,1.67188125,1.67975,1.66413125,1.67188125,109500,0
1980-05-15,1.67188125,1.6875,1.66413125,1.67188125,91200,0
1980-05-16,1.67975,1.67975,1.65625,1.67975,59600,0
1980-05-19,1.6875,1.69538125,1.67188125,1.6875,42600,0
1980-05-20,1.69538125,1.70313125,1.67188125,1.69538125,41900,0
1980-05-21,1.69538125,1.69538125,1.67975,1.69538125,55500,0
1980-05-22,1.7109999999999999,1.71875,1.6875,1.7109999999999999,89500,0
1980-05-23,1.67975,1.6875,1.66413125,1.67975,146800,0
1980-05-27,1.67975,1.67975,1.67188125,1.67975,47600,0
1980-05-28,1.67975,1.67975,1.66413125,1.67975,49600,0
1980-05-29,1.67188125,1.67975,1.66413125,1.67188125,109800,0
1980-05-30,1.67188125,1.67188125,1.65625,1.67188125,76300,0
1980-06-02,1.66413125,1.67188125,1.65625,1.66413125,38800,0
1980-06-03,1.64063125,1.65625,1.63288125,1.64063125,44900,0
1980-06-04,1.64063125,1.64063125,1.63288125,1.64063125,25000,0
1980-06-05,1.64063125,1.6485,1.63288125,1.64063125,50600,0
1980-06-06,1.6485,1.65625,1.63288125,1.6485,34400,0
1980-06-09,1.65625,1.66413125,1.6485,1.65625,24800,0
1980-06-10,1.66413125,1.67188125,1.65625,1.66413125,57300,0
1980-06-11,1.67188125,1.67188125,1.65625,1.67188125,100100,0
1980-06-12,1.6875,1.6875,1.65625,1.6875,113900,0
1980-06-13,1.70313125,1.70313125,1.6875,1.70313125,196300,0
1980-06-16,1.70313125,1.7109999999999999,1.69538125,1.70313125,146900,0
1980-06-17,1.72663125,1.73438125,1.7109999999999999,1.72663125,212300,0
1980-06-18,1.72663125,1.73438125,1.7109999999999999,1.72663125,269200,0
1980-06-19,1.73438125,1.74225,1.72663125,1.73438125,27000,0
1980-06-20,1.73438125,1.74225,1.72663125,1.73438125,103800,0
1980-06-23,1.73438125,1.74225,1.72663125,1.73438125,41200,0
1980-06-24,1.72663125,1.74225,1.71875,1.72663125,56900,0
1980-06-25,1.71875,1.73438125,1.70313125,1.71875,63600,0
1980-06-26,1.7109999999999999,1.72663125,1.70313125,1.7109999999999999,104000,0
1980-06-27,1.72663125,1.72663125,1.70313125,1.72663125,82900,0
1980-06-30,1.70313125,1.72663125,1.69538125,1.70313125,44300,0
1980-07-01,1.7109999999999999,1.71875,1.69538125,1.7109999999999999,42100,0
1980-07-02,1.70313125,1.70313125,1.6875,1.70313125,64600,0
1980-07-03,1.75788125,1.75788125,1.7109999999999999,1.75788125,42500,0
1980-07-07,1.74225,1.75788125,1.73438125,1.74225,87400,0
1980-07-08,1.75,1.75788125,1.74225,1.75,52600,0
1980-07-09,1.75,1.75788125,1.74225,1.75,80100,0
1980-07-10,1.75,1.75788125,1.75,1.75,54900,0
1980-07-11,1.75,1.75788125,1.74225,1.75,77400,0
1980-07-14,1.75,1.75788125,1.73438125,1.75,29900,0
1980-07-15,1.75,1.75,1.73438125,1.75,71200,0
1980-07-16,1.74225,1.75,1.73438125,1.74225,28300,0
1980-07-17,1.74225,1.75,1.74225,1.74225,29300,0
1980-07-18,1.74225,1.75,1.73438125,1.74225,23900,0
1980-07-21,1.74225,1.74225,1.6875,1.74225,36100,0
1980-07-22,1.75,1.75,1.73438125,1.75,80300,0
1980-07-23,1.74225,1.75788125,1.74225,1.74225,34000,0
1980-07-24,1.75,1.75,1.70313125,1.75,85700,0
1980-07-25,1.74225,1.75,1.73438125,1.74225,28700,0
1980-07-28,1.73438125,1.74225,1.71875,1.73438125,37100,0
1980-07-29,1.73438125,1.73438125,1.72663125,1.73438125,85000,0
1980-07-30,1.73438125,1.73438125,1.72663125,1.73438125,59800,0
1980-07-31,1.71875,1.72663125,1.70313125,1.71875,178600,0
1980-08-01,1.6875,1.71875,1.6875,1.6875,82900,0
1980-08-04,1.69538125,1.70313125,1.67188125,1.69538125,107000,0
1980-08-05,1.67975,1.69538125,1.625,1.67975,90300,0
1980-08-06,1.67975,1.6875,1.67188125,1.67975,37200,0
1980-08-07,1.67975,1.67975,1.67188125,1.67975,95800,0
1980-08-08,1.6875,1.69538125,1.67188125,1.6875,78800,0
1980-08-11,1.67188125,1.6875,1.67188125,1.67188125,81900,0
1980-08-12,1.67975,1.6875,1.67188125,1.67975,52700,0
1980-08-13,1.67975,1.6875,1.66413125,1.67975,30500,0
1980-08-14,1.69538125,1.69538125,1.67975,1.69538125,43200,0
1980-08-15,1.70313125,1.7109999999999999,1.69538125,1.70313125,57300,0
1980-08-18,1.66413125,1.67975,1.65625,1.66413125,200200,0
1980-08-19,1.66413125,1.67188125,1.65625,1.66413125,59900,0
1980-08-20,1.66413125,1.67975,1.65625,1.66413125,57700,0
1980-08-21,1.7109999999999999,1.7109999999999999,1.66413125,1.7109999999999999,117700,0
1980-08-22,1.70313125,1.71875,1.70313125,1.70313125,63400,0
1980-08-25,1.67975,1.6875,1.6485,1.67975,125800,0
1980-08-26,1.67188125,1.6875,1.67188125,1.67188125,22000,0
1980-08-27,1.67188125,1.67975,1.67188125,1.67188125,27000,0
1980-08-28,1.67975,1.67975,1.67188125,1.67975,12200,0
1980-08-29,1.67975,1.67975,1.66413125,1.67975,45900,0
1980-09-02,1.6875,1.70313125,1.67975,1.6875,76000,0
1980-09-03,1.71875,1.71875,1.6875,1.71875,73000,0
1980-09-04,1.7109999999999999,1.73438125,1.7109999999999999,1.7109999999999999,182400,0
1980-09-05,1.71875,1.71875,1.70313125,1.71875,44800,0
1980-09-08,1.70313125,1.71875,1.69538125,1.70313125,52000,0
1980-09-09,1.70313125,1.71875,1.69538125,1.70313125,16800,0
1980-09-10,1.70313125,1.7109999999999999,1.69538125,1.70313125,79800,0
1980-09-11,1.6875,1.70313125,1.67975,1.6875,81600,0
1980-09-12,1.67975,1.6875,1.67188125,1.67975,97700,0
1980-09-15,1.67975,1.6875,1.66413125,1.67975,35100,0
1980-09-16,1.6875,1.69538125,1.67975,1.6875,22300,0
1980-09-17,1.69538125,1.69538125,1.67975,1.69538125,18400,0
1980-09-18,1.6875,1.70313125,1.67975,1.6875,34100,0
1980-09-19,1.69538125,1.69538125,1.6875,1.69538125,114700,0
1980-09-22,1.69538125,1.69538125,1.67975,1.69538125,35300,0
1980-09-23,1.67975,1.69538125,1.67188125,1.67975,37500,0
1980-09-24,1.6875,1.6875,1.66413125,1.6875,49100,0
1980-09-25,1.67188125,1.6875,1.66413125,1.67188125,147800,0
1980-09-26,1.66413125,1.67188125,1.6485,1.66413125,49700,0
1980-09-29,1.64063125,1.66413125,1.63288125,1.64063125,69900,0
1980-09-30,1.64063125,1.64063125,1.625,1.64063125,51300,0
1980-10-01,1.63288125,1.6485,1.625,1.63288125,43000,0
1980-10-02,1.63288125,1.63288125,1.61725,1.63288125,58200,0
1980-10-03,1.65625,1.65625,1.625,1.65625,54800,0
1980-10-06,1.74225,1.74225,1.66413125,1.74225,47800,0
1980-10-07,1.69538125,1.69538125,1.67188125,1.69538125,39200,0
1980-10-08,1.69538125,1.69538125,1.6875,1.69538125,53800,0
1980-10-09,1.69538125,1.70313125,1.6875,1.69538125,35600,0
1980-10-10,1.6875,1.69538125,1.67975,1.6875,28600,0
1980-10-13,1.6875,1.6875,1.66413125,1.6875,46400,0
1980-10-14,1.6875,1.6875,1.67975,1.6875,30800,0
1980-10-15,1.67975,1.69538125,1.67975,1.67975,30200,0
1980-10-16,1.67975,1.69538125,1.67188125,1.67975,38900,0
1980-10-17,1.67188125,1.6875,1.67188125,1.67188125,29300,0
1980-10-20,1.67975,1.67975,1.6485,1.67975,63400,0
1980-10-21,1.65625,1.69538125,1.65625,1.65625,67400,0
1980-10-22,1.66413125,1.67188125,1.65625,1.66413125,29600,0
1980-10-23,1.65625,1.66413125,1.6485,1.65625,43900,0
1980-10-24,1.65625,1.67188125,1.65625,1.65625,35700,0
1980-10-27,1.63288125,1.65625,1.63288125,1.63288125,37900,0
1980-10-28,1.6485,1.6485,1.63288125,1.6485,125900,0
1980-10-29,1.6485,1.6485,1.64063125,1.6485,15800,0
1980-10-30,1.64063125,1.6485,1.625,1.64063125,33100,0
1980-10-31,1.6485,1.65625,1.63288125,1.6485,139200,0
1980-11-03,1.65625,1.66413125,1.6485,1.65625,74800,0
1980-11-05,1.67188125,1.69538125,1.66413125,1.67188125,91500,0
1980-11-06,1.6485,1.67188125,1.625,1.6485,42500,0
1980-11-07,1.63288125,1.6485,1.625,1.63288125,145100,0
1980-11-10,1.61725,1.625,1.60163125,1.61725,76300,0
1980-11-11,1.61725,1.61725,1.60938125,1.61725,16600,0
1980-11-12,1.64063125,1.65625,1.61725,1.64063125,188000,0
1980-11-13,1.66413125,1.66413125,1.6485,1.66413125,78600,0
1980-11-14,1.66413125,1.67188125,1.65625,1.66413125,57100,0
1980-11-17,1.67188125,1.67975,1.65625,1.67188125,49700,0
1980-11-18,1.67975,1.6875,1.67188125,1.67975,98700,0
1980-11-19,1.65625,1.67975,1.6485,1.65625,120000,0
1980-11-20,1.66413125,1.66413125,1.6485,1.66413125,38400,0
1980-11-21,1.625,1.67975,1.61725,1.625,41600,0
1980-11-24,1.625,1.625,1.60938125,1.625,38900,0
1980-11-25,1.63288125,1.64063125,1.61725,1.63288125,54900,0
1980-11-26,1.60938125,1.63288125,1.60163125,1.60938125,43300,0
1980-11-28,1.5859999999999999,1.60938125,1.57813125,1.5859999999999999,34200,0
1980-12-01,1.57038125,1.59375,1.5625,1.57038125,40100,0
1980-12-02,1.54688125,1.5625,1.54688125,1.54688125,419800,0
1980-12-03,1.5235,1.55475,1.5,1.5235,232100,0
1980-12-04,1.50788125,1.5235,1.50788125,1.50788125,165100,0
1980-12-05,1.51563125,1.5235,1.5,1.51563125,61500,0
1980-12-08,1.51563125,1.51563125,1.5,1.51563125,203500,0
1980-12-09,1.49225,1.50788125,1.49225,1.49225,118200,0
1980-12-10,1.49225,1.5,1.47663125,1.49225,217700,0
1980-12-11,1.47663125,1.48438125,1.46875,1.47663125,116800,0
1980-12-12,1.4609999999999999,1.48438125,1.4609999999999999,1.4609999999999999,98000,0
1980-12-15,1.46875,1.47663125,1.4609999999999999,1.46875,154800,0
1980-12-16,1.4609999999999999,1.46875,1.45313125,1.4609999999999999,48900,0
1980-12-17,1.48438125,1.48438125,1.4609999999999999,1.48438125,193600,0
1980-12-18,1.5859999999999999,1.60938125,1.5,1.5859999999999999,350600,0
1980-12-19,1.625,1.64063125,1.61725,1.625,108500,0
1980-12-22,1.64063125,1.65625,1.625,1.64063125,74300,0
1980-12-23,1.6485,1.67975,1.64063125,1.6485,45100,0
1980-12-24,1.6485,1.6485,1.64063125,1.6485,30700,0
1980-12-26,1.6485,1.6485,1.64063125,1.6485,11200,0
1980-12-29,1.625,1.66413125,1.625,1.625,28000,0
1980-12-30,1.63288125,1.64063125,1.61725,1.63288125,70900,0
1980-12-31,1.63288125,1.64063125,1.625,1.63288125,49400,0
1981-01-02,1.64063125,1.64063125,1.63288125,1.64063125,18500,0
1981-01-05,1.65625,1.65625,1.64063125,1.65625,92800,0
1981-01-06,1.66413125,1.67188125,1.6485,1.66413125,99300,0
1981-01-07,1.65625,1.67188125,1.63288125,1.65625,55800,0
1981-01-08,1.65625,1.65625,1.64063125,1.65625,58600,0
1981-01-09,1.63288125,1.6485,1.63288125,1.63288125,50600,0
1981-01-12,1.63288125,1.67188125,1.63288125,1.63288125,30300,0
1981-01-13,1.625,1.64063125,1.625,1.625,21800,0
1981-01-14,1.625,1.6485,1.625,1.625,96000,0
1981-01-15,1.64063125,1.65625,1.625,1.64063125,33600,0
1981-01-16,1.63288125,1.63288125,1.625,1.63288125,26300,0
1981-01-19,1.625,1.64063125,1.625,1.625,38900,0
1981-01-20,1.625,1.64063125,1.60938125,1.625,65800,0
1981-01-21,1.63288125,1.63288125,1.625,1.63288125,63900,0
1981-01-22,1.625,1.63288125,1.61725,1.625,47300,0
1981-01-23,1.60163125,1.625,1.60163125,1.60163125,20400,0
1981-01-26,1.61725,1.625,1.60163125,1.61725,58700,0
1981-01-27,1.59375,1.61725,1.5859999999999999,1.59375,28300,0
1981-01-28,1.5859999999999999,1.65625,1.57813125,1.5859999999999999,80800,0
1981-01-29,1.57038125,1.57813125,1.5625,1.57038125,32700,0
1981-01-30,1.5859999999999999,1.59375,1.5625,1.5859999999999999,160600,0
1981-02-02,1.57813125,1.57813125,1.5625,1.57813125,24200,0
1981-02-03,1.57038125,1.57813125,1.5625,1.57038125,31400,0
1981-02-04,1.57813125,1.57813125,1.55475,1.57813125,103200,0
1981-02-05,1.57813125,1.57813125,1.5625,1.57813125,107100,0
1981-02-06,1.57813125,1.59375,1.57038125,1.57813125,44700,0
1981-02-09,1.59375,1.60163125,1.5859999999999999,1.59375,32900,0
1981-02-10,1.59375,1.59375,1.57813125,1.59375,18800,0
1981-02-11,1.59375,1.60163125,1.5859999999999999,1.59375,25600,0
1981-02-12,1.59375,1.60163125,1.5859999999999999,1.59375,13000,0
1981-02-13,1.59375,1.59375,1.5859999999999999,1.59375,15900,0
1981-02-17,1.5625,1.5859999999999999,1.5625,1.5625,37400,0
1981-02-18,1.54688125,1.55475,1.54688125,1.54688125,15100,0
1981-02-19,1.51563125,1.55475,1.51563125,1.51563125,28400,0
1981-02-20,1.54688125,1.54688125,1.50788125,1.54688125,323400,0
1981-02-23,1.54688125,1.55475,1.53125,1.54688125,83100,0
1981-02-24,1.51563125,1.51563125,1.49225,1.51563125,66900,0
1981-02-25,1.53913125,1.54688125,1.53125,1.53913125,58200,0
1981-02-26,1.53125,1.53913125,1.5235,1.53125,27600,0
1981-02-27,1.53125,1.53125,1.5235,1.53125,21800,0
1981-03-02,1.5235,1.53125,1.51563125,1.5235,103000,0
1981-03-03,1.5235,1.5235,1.51563125,1.5235,17300,0
1981-03-04,1.51563125,1.5235,1.50788125,1.51563125,54900,0
1981-03-05,1.51563125,1.5235,1.50788125,1.51563125,34900,0
1981-03-06,1.51563125,1.53125,1.51563125,1.51563125,125300,0
1981-03-09,1.53125,1.53913125,1.51563125,1.53125,104900,0
1981-03-10,1.53913125,1.54688125,1.53125,1.53913125,48400,0
1981-03-11,1.54688125,1.5625,1.53913125,1.54688125,46700,0
1981-03-12,1.57813125,1.57813125,1.55475,1.57813125,89500,0
1981-03-13,1.625,1.63288125,1.60163125,1.625,96000,0
1981-03-16,1.61725,1.625,1.60938125,1.61725,104800,0
1981-03-17,1.6485,1.65625,1.625,1.6485,100200,0
1981-03-18,1.6485,1.67188125,1.64063125,1.6485,57900,0
1981-03-19,1.66413125,1.66413125,1.6485,1.66413125,22400,0
1981-03-20,1.65625,1.66413125,1.6485,1.65625,42800,0
1981-03-23,1.66413125,1.67188125,1.65625,1.66413125,25400,0
1981-03-24,1.63288125,1.65625,1.63288125,1.63288125,59800,0
