Date,Open,High,Low,Close,Volume,openinterest
1994-05-03,7.625,8.0,7.5,7.5,488500,0
1994-05-04,7.5,8.0,7.5,7.5,71400,0
1994-05-05,8.0,8.0,7.5,7.5,17400,0
1994-05-06,7.5,8.0,7.5,7.5,41400,0
1994-05-09,7.5,8.0,7.5,7.5,35200,0
1994-05-10,7.5,8.0,7.5,7.5,86400,0
1994-05-11,7.5,7.5,7.4688,7.5,94100,0
1994-05-12,7.5,8.0,7.5,7.5,2600,0
1994-05-13,8.0,8.0,7.4688,7.4688,41500,0
1994-05-16,8.0,8.0,7.5,7.5,16000,0
1994-05-17,7.5,7.5,7.5,7.5,20400,0
1994-05-18,7.5,7.5,7.4688,7.5,56500,0
1994-05-19,7.5,7.5,7.4688,7.4688,51900,0
1994-05-20,8.0,8.0,7.5,7.5,62400,0
1994-05-23,7.5,8.0,7.5,7.5,19900,0
1994-05-24,7.5,8.0,7.5,7.5,77300,0
1994-05-25,7.5,7.875,7.5,7.5,53300,0
1994-05-26,7.5,8.0,7.5,8.0,20900,0
1994-05-27,8.0,8.0,7.5,7.5,18200,0
1994-05-31,7.5,7.75,7.5,7.5,93300,0
1994-06-01,7.5,7.5,7.5,7.5,114400,0
1994-06-02,7.5,7.5,7.5,7.5,1600,0
1994-06-03,7.5,7.5,7.5,7.5,4500,0
1994-06-06,7.5,7.5,7.5,7.5,13200,0
1994-06-07,6.75,7.0,6.0,7.0,51100,0
1994-06-08,7.0,7.0,7.0,7.0,200,0
1994-06-09,7.0,7.0,6.5,6.5,9600,0
1994-06-10,6.5,6.75,6.5,6.75,17100,0
1994-06-13,6.75,6.75,6.25,6.25,12300,0
1994-06-14,6.25,6.25,6.25,6.25,1400,0
1994-06-15,6.25,6.25,6.25,6.25,5000,0
1994-06-16,6.75,6.75,6.25,6.5,2700,0
1994-06-17,6.25,6.75,6.25,6.25,29600,0
1994-06-20,6.25,6.5,6.25,6.5,1100,0
1994-06-21,6.0,6.0,5.125,5.75,24000,0
1994-06-22,5.75,5.75,5.75,5.75,500,0
1994-06-23,5.5,5.5,5.5,5.5,2000,0
1994-06-24,5.25,5.75,5.25,5.75,5600,0
1994-06-27,5.75,5.75,5.5,5.5,15600,0
1994-06-29,5.5,5.5,5.5,5.5,1200,0
1994-06-30,5.5,5.5,5.5,5.5,1100,0
1994-07-01,5.75,5.75,5.5,5.75,27500,0
1994-07-06,5.5,5.5,5.5,5.5,5300,0
1994-07-07,5.5,5.625,5.5,5.625,3300,0
1994-07-11,5.625,5.625,5.625,5.625,1500,0
1994-07-13,5.5,5.5,5.5,5.5,1000,0
1994-07-14,5.75,5.75,5.625,5.75,10600,0
1994-07-15,5.625,5.75,5.625,5.75,10000,0
1994-07-20,5.5,5.625,5.5,5.5,15000,0
1994-07-21,5.25,5.375,5.25,5.375,110000,0
1994-07-22,5.75,5.75,5.5,5.5,2700,0
1994-07-26,5.75,5.75,5.75,5.75,100,0
1994-08-01,5.75,5.75,5.25,5.5,7000,0
1994-08-02,5.75,5.75,5.25,5.75,7200,0
1994-08-03,5.75,6.0,5.75,5.75,5500,0
1994-08-04,6.0,6.0,5.75,6.0,4300,0
1994-08-05,6.0,6.0,6.0,6.0,9200,0
1994-08-08,6.25,6.25,6.25,6.25,700,0
1994-08-09,6.25,6.25,6.0,6.25,2100,0
1994-08-10,6.25,6.25,6.25,6.25,600,0
1994-08-11,6.25,6.5,5.5,6.5,15200,0
1994-08-12,6.0,6.75,6.0,6.75,500,0
1994-08-15,6.75,6.75,6.75,6.75,200,0
1994-08-16,6.75,6.75,6.25,6.25,1800,0
1994-08-17,6.75,7.25,6.75,7.25,13000,0
1994-08-18,7.25,7.25,6.75,7.25,5400,0
1994-08-19,7.25,7.25,6.875,6.875,1300,0
1994-08-22,7.5,7.75,7.0,7.625,8000,0
1994-08-23,7.25,7.75,7.25,7.375,3200,0
1994-08-24,7.0,7.5,7.0,7.5,1500,0
1994-08-25,7.75,7.75,7.75,7.75,1100,0
1994-08-26,7.75,7.75,7.625,7.75,4100,0
1994-08-29,8.25,8.25,7.75,7.75,9200,0
1994-08-30,8.125,8.25,7.75,7.75,29800,0
1994-08-31,7.75,8.5,7.75,8.5,12900,0
1994-09-01,8.5,8.5,8.0,8.5,6500,0
1994-09-02,7.75,7.75,7.75,7.75,300,0
1994-09-08,8.5,8.5,8.25,8.25,13000,0
1994-09-09,8.25,10.0,8.25,10.0,17200,0
1994-09-12,10.0,10.5,10.0,10.0,10500,0
1994-09-13,10.25,11.0,10.25,10.25,8600,0
1994-09-14,10.0,10.5,10.0,10.0,1700,0
1994-09-15,10.0,10.0,9.5,9.5,9500,0
1994-09-16,9.5,10.0,9.5,10.0,400,0
1994-09-19,10.0,10.0,9.5,9.5,1700,0
1994-09-20,9.5,9.5,9.5,9.5,100,0
1994-09-22,9.5,9.5,9.5,9.5,300,0
1994-09-27,9.5,9.5,9.5,9.5,600,0
1994-09-28,9.5,9.5,9.25,9.25,6000,0
1994-09-29,9.75,9.75,9.75,9.75,500,0
1994-09-30,9.75,9.75,9.75,9.75,300,0
1994-10-03,9.25,9.25,9.25,9.25,100,0
1994-10-05,9.25,9.5,9.0,9.5,5800,0
1994-10-06,9.75,9.75,9.75,9.75,1000,0
