Date,Open,High,Low,Close,Volume,openinterest
2004-08-12,12.3,12.97,11.5,12.3,5550400,0
2004-08-13,13.5,13.76,12.55,13.5,1468700,0
2004-08-16,13.35,13.7,13.2,13.35,469700,0
2004-08-17,13.5,13.5,13.4,13.5,246400,0
2004-08-18,13.4,13.4,13.0,13.4,293900,0
2004-08-19,13.4,13.7,13.3,13.4,206400,0
2004-08-20,13.6,13.6,13.35,13.6,176200,0
2004-08-23,13.65,13.95,13.63,13.65,396000,0
2004-08-24,13.8,13.98,13.66,13.8,217500,0
2004-08-25,14.1,14.1,13.55,14.1,235000,0
2004-08-26,14.83,14.9,14.1,14.83,225700,0
2004-08-27,14.7,15.0,14.0,14.7,149800,0
2004-08-30,14.71,14.75,14.5,14.71,70900,0
2004-08-31,14.9,15.2,14.85,14.9,222100,0
2004-09-01,15.0,15.15,14.65,15.0,90900,0
2004-09-02,15.31,15.4,14.8,15.31,139400,0
2004-09-03,15.35,15.5,15.25,15.35,37100,0
2004-09-07,15.45,15.68,15.3,15.45,3329000,0
2004-09-08,15.33,15.5,15.3,15.33,225900,0
2004-09-09,14.99,15.75,14.98,14.99,136700,0
2004-09-10,14.75,15.24,14.75,14.75,174300,0
2004-09-13,14.5,14.75,14.39,14.5,210500,0
2004-09-14,14.4,14.55,14.25,14.4,97200,0
2004-09-15,14.0,14.4,13.84,14.0,184000,0
2004-09-16,14.1,14.25,13.87,14.1,86200,0
2004-09-17,13.85,14.25,13.85,13.85,58600,0
2004-09-20,13.34,13.8,13.05,13.34,233700,0
2004-09-21,13.95,13.97,13.32,13.95,178000,0
2004-09-22,14.44,14.5,13.95,14.44,177600,0
2004-09-23,14.73,14.88,14.3,14.73,72100,0
2004-09-24,15.05,15.25,14.66,15.05,96500,0
2004-09-27,14.96,15.15,14.95,14.96,74800,0
2004-09-28,14.52,15.0,14.44,14.52,108900,0
2004-09-29,14.6,15.0,14.5,14.6,125100,0
2004-09-30,14.6,14.95,14.52,14.6,525100,0
2004-10-01,14.4,14.8,14.1,14.4,485900,0
2004-10-04,14.31,14.61,14.31,14.31,115400,0
2004-10-05,14.4,14.55,14.04,14.4,168300,0
2004-10-06,14.47,14.6,14.35,14.47,80600,0
2004-10-07,14.4,14.44,14.25,14.4,110700,0
2004-10-08,14.13,14.26,14.05,14.13,95600,0
2004-10-11,14.07,14.19,14.01,14.07,129300,0
2004-10-12,14.21,14.45,13.96,14.21,99900,0
2004-10-13,14.26,14.35,14.18,14.26,67800,0
2004-10-14,14.25,14.44,14.22,14.25,58000,0
2004-10-15,14.2,14.45,14.19,14.2,86000,0
2004-10-18,14.2,14.25,14.01,14.2,49800,0
2004-10-19,14.06,14.38,14.06,14.06,27800,0
2004-10-20,14.01,14.1,14.0,14.01,223600,0
2004-10-21,14.07,14.15,14.0,14.07,75300,0
2004-10-22,14.3,14.45,14.13,14.3,36900,0
2004-10-25,14.7,15.05,14.4,14.7,219800,0
2004-10-26,15.1,15.15,14.7,15.1,95700,0
2004-10-27,16.5,16.78,14.93,16.5,225100,0
2004-10-28,17.35,17.49,15.75,17.35,225800,0
2004-10-29,17.07,17.51,16.4,17.07,151500,0
2004-11-01,17.15,17.28,17.0,17.15,47000,0
2004-11-02,17.15,17.5,17.1,17.15,108200,0
2004-11-03,17.46,17.79,17.1,17.46,220400,0
2004-11-04,17.9,18.01,17.48,17.9,216900,0
2004-11-05,17.97,18.4,17.91,17.97,148000,0
2004-11-08,19.09,19.46,18.0,19.09,173400,0
2004-11-09,19.16,19.75,19.02,19.16,54100,0
2004-11-10,18.33,19.5,18.26,18.33,98900,0
2004-11-11,18.0,18.24,17.25,18.0,122000,0
2004-11-12,17.5,18.1,17.29,17.5,142300,0
2004-11-15,17.51,17.75,17.3,17.51,81900,0
2004-11-16,17.2,17.6,17.03,17.2,140100,0
2004-11-17,18.0,18.5,17.15,18.0,234400,0
2004-11-18,19.18,19.18,18.02,19.18,103700,0
2004-11-19,18.7,19.25,18.66,18.7,252700,0
2004-11-22,18.72,18.78,18.65,18.72,155200,0
2004-11-23,19.14,19.35,18.72,19.14,46400,0
2004-11-24,20.7,21.0,19.2,20.7,132700,0
2004-11-26,21.75,22.5,20.7,21.75,90800,0
2004-11-29,21.95,22.9,21.85,21.95,221200,0
2004-11-30,22.25,22.25,21.35,22.25,182200,0
2004-12-01,22.04,22.5,21.95,22.04,206000,0
2004-12-02,21.45,22.06,21.4,21.45,91100,0
2004-12-03,20.5,21.0,20.5,20.5,297800,0
2004-12-06,19.97,20.1,19.51,19.97,135500,0
2004-12-07,19.9,20.24,19.75,19.9,223500,0
2004-12-08,20.0,20.0,19.75,20.0,43500,0
2004-12-09,19.91,20.0,19.75,19.91,157000,0
2004-12-10,20.0,20.0,19.8,20.0,136100,0
2004-12-13,21.5,21.74,20.0,21.5,81100,0
2004-12-14,21.5,22.1,21.39,21.5,70200,0
2004-12-15,21.6,21.78,21.4,21.6,58900,0
2004-12-16,21.26,21.6,21.2,21.26,95200,0
2004-12-17,20.63,21.35,20.5,20.63,50400,0
2004-12-20,20.5,20.84,20.35,20.5,28200,0
2004-12-21,20.16,20.7,20.0,20.16,31100,0
2004-12-22,19.95,20.16,19.91,19.95,42600,0
2004-12-23,20.4,20.5,19.82,20.4,44000,0
2004-12-27,20.5,20.89,20.4,20.5,15200,0
2004-12-28,20.45,21.2,20.26,20.45,28200,0
2004-12-29,20.85,20.95,20.67,20.85,36500,0
2004-12-30,20.26,20.98,20.25,20.26,30300,0
2004-12-31,20.97,20.98,20.21,20.97,33700,0
2005-01-03,20.3,21.0,20.26,20.3,45000,0
2005-01-04,20.25,20.95,20.2,20.25,288800,0
