Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,1.53125,1.57813125,1.53125,1.53125,1600,0
1980-03-18,1.53125,1.57813125,1.53125,1.53125,5100,0
1980-03-19,1.54688125,1.59375,1.54688125,1.54688125,2500,0
1980-03-20,1.53125,1.57813125,1.53125,1.53125,700,0
1980-03-21,1.51563125,1.5625,1.51563125,1.51563125,1200,0
1980-03-24,1.48438125,1.53125,1.48438125,1.48438125,7000,0
1980-03-25,1.46875,1.51563125,1.46875,1.46875,3100,0
1980-03-26,1.48438125,1.53125,1.48438125,1.48438125,1100,0
1980-03-27,1.46875,1.51563125,1.46875,1.46875,4900,0
1980-03-28,1.46875,1.51563125,1.46875,1.46875,1000,0
1980-03-31,1.40625,1.45313125,1.40625,1.40625,8000,0
1980-04-01,1.39063125,1.4375,1.39063125,1.39063125,3400,0
1980-04-02,1.40625,1.45313125,1.40625,1.40625,1300,0
1980-04-03,1.39063125,1.4375,1.39063125,1.39063125,500,0
1980-04-07,1.375,1.42188125,1.375,1.375,2700,0
1980-04-08,1.375,1.42188125,1.375,1.375,3900,0
1980-04-09,1.39063125,1.4375,1.39063125,1.39063125,2100,0
1980-04-10,1.42188125,1.46875,1.42188125,1.42188125,1500,0
1980-04-11,1.4375,1.48438125,1.4375,1.4375,2100,0
1980-04-14,1.42188125,1.46875,1.42188125,1.42188125,2000,0
1980-04-15,1.42188125,1.46875,1.42188125,1.42188125,2100,0
1980-04-16,1.42188125,1.46875,1.42188125,1.42188125,4800,0
1980-04-17,1.42188125,1.46875,1.42188125,1.42188125,500,0
1980-04-18,1.46875,1.51563125,1.46875,1.46875,3300,0
1980-04-21,1.42188125,1.46875,1.42188125,1.42188125,4400,0
1980-04-22,1.46875,1.51563125,1.46875,1.46875,5200,0
1980-04-23,1.46875,1.51563125,1.46875,1.46875,1200,0
1980-04-24,1.46875,1.51563125,1.46875,1.46875,200,0
1980-04-25,1.45313125,1.5,1.45313125,1.45313125,1100,0
1980-04-28,1.46875,1.51563125,1.46875,1.46875,3500,0
1980-04-29,1.51563125,1.5625,1.51563125,1.51563125,4000,0
1980-04-30,1.51563125,1.5625,1.51563125,1.51563125,300,0
1980-05-01,1.51563125,1.5625,1.51563125,1.51563125,6800,0
1980-05-02,1.51563125,1.5625,1.51563125,1.51563125,1100,0
1980-05-05,1.51563125,1.5625,1.51563125,1.51563125,3000,0
1980-05-06,1.51563125,1.5625,1.51563125,1.51563125,900,0
1980-05-07,1.5,1.54688125,1.5,1.5,2000,0
1980-05-08,1.48438125,1.53125,1.48438125,1.48438125,6400,0
1980-05-09,1.46875,1.51563125,1.46875,1.46875,3900,0
1980-05-12,1.45313125,1.5,1.45313125,1.45313125,1100,0
1980-05-13,1.45313125,1.5,1.45313125,1.45313125,500,0
1980-05-14,1.45313125,1.5,1.45313125,1.45313125,1300,0
1980-05-15,1.5,1.54688125,1.5,1.5,8800,0
1980-05-16,1.5,1.54688125,1.5,1.5,7300,0
1980-05-19,1.51563125,1.5625,1.51563125,1.51563125,2800,0
1980-05-20,1.5,1.54688125,1.5,1.5,8400,0
1980-05-21,1.53125,1.57813125,1.53125,1.53125,4800,0
1980-05-22,1.53125,1.57813125,1.53125,1.53125,3100,0
1980-05-23,1.54688125,1.59375,1.54688125,1.54688125,2400,0
1980-05-27,1.54688125,1.59375,1.54688125,1.54688125,800,0
1980-05-28,1.60938125,1.65625,1.60938125,1.60938125,5200,0
1980-05-29,1.57813125,1.625,1.57813125,1.57813125,3600,0
1980-05-30,1.57813125,1.625,1.57813125,1.57813125,1500,0
1980-06-02,1.57813125,1.625,1.57813125,1.57813125,1400,0
1980-06-03,1.5625,1.60938125,1.5625,1.5625,1400,0
1980-06-04,1.5625,1.60938125,1.5625,1.5625,1900,0
1980-06-05,1.5625,1.60938125,1.5625,1.5625,3600,0
1980-06-06,1.5625,1.60938125,1.5625,1.5625,700,0
1980-06-09,1.5625,1.60938125,1.5625,1.5625,2400,0
1980-06-10,1.59375,1.64063125,1.59375,1.59375,2800,0
1980-06-11,1.625,1.67188125,1.625,1.625,6000,0
1980-06-12,1.64063125,1.6875,1.64063125,1.64063125,1000,0
1980-06-13,1.64063125,1.6875,1.64063125,1.64063125,800,0
1980-06-16,1.65625,1.70313125,1.65625,1.65625,2000,0
1980-06-17,1.67188125,1.71875,1.67188125,1.67188125,400,0
1980-06-18,1.67188125,1.71875,1.67188125,1.67188125,700,0
1980-06-19,1.67188125,1.71875,1.67188125,1.67188125,3500,0
1980-06-20,1.65625,1.70313125,1.65625,1.65625,3100,0
1980-06-23,1.6875,1.73438125,1.6875,1.6875,2300,0
1980-06-24,1.6875,1.73438125,1.6875,1.6875,1600,0
1980-06-25,1.6875,1.73438125,1.6875,1.6875,200,0
1980-06-26,1.6875,1.73438125,1.6875,1.6875,5900,0
1980-06-27,1.6875,1.73438125,1.6875,1.6875,800,0
1980-06-30,1.6875,1.73438125,1.6875,1.6875,1300,0
1980-07-01,1.6875,1.73438125,1.6875,1.6875,1400,0
1980-07-02,1.6875,1.73438125,1.6875,1.6875,400,0
1980-07-03,1.6875,1.73438125,1.6875,1.6875,3700,0
1980-07-07,1.71875,1.73438125,1.71875,1.71875,1900,0
1980-07-08,1.76563125,1.78125,1.76563125,1.76563125,3100,0
1980-07-09,1.84375,1.85938125,1.84375,1.84375,11400,0
1980-07-10,1.84375,1.85938125,1.84375,1.84375,3800,0
1980-07-11,1.84375,1.85938125,1.84375,1.84375,1800,0
1980-07-14,1.875,1.89063125,1.875,1.875,6000,0
1980-07-15,1.875,1.89063125,1.875,1.875,1700,0
1980-07-16,1.90625,1.92188125,1.90625,1.90625,4800,0
1980-07-17,1.9375,1.95313125,1.9375,1.9375,26100,0
1980-07-18,1.9375,1.96875,1.9375,1.9375,2800,0
1980-07-21,1.9375,1.98438125,1.9375,1.9375,2100,0
1980-07-22,1.95313125,1.98438125,1.95313125,1.95313125,2500,0
