Date,Open,High,Low,Close,Volume,openinterest
1985-05-23,4.8363,5.007,4.779425,4.8363,892600,0
1985-05-24,4.8363,4.86475,4.779425,4.8363,155400,0
1985-05-28,4.92165,4.92165,4.8363,4.92165,145500,0
1985-05-29,4.97855,4.97855,4.9501,4.97855,67800,0
1985-05-30,4.97855,4.97855,4.9501,4.97855,57500,0
1985-05-31,4.9501,4.97855,4.92165,4.9501,12800,0
1985-06-03,5.14925,5.14925,4.97855,5.14925,107400,0
1985-06-04,5.14925,5.26305,5.1208,5.14925,110400,0
1985-06-05,5.14925,5.20615,5.1208,5.14925,64800,0
1985-06-06,5.2346,5.2346,5.1208,5.2346,28100,0
1985-06-07,5.26305,5.3484,5.26305,5.26305,36400,0
1985-06-10,5.2346,5.2915,5.2346,5.2346,43300,0
1985-06-11,5.26305,5.2915,5.2346,5.26305,32200,0
1985-06-12,5.2346,5.2915,5.2346,5.2346,24700,0
1985-06-13,5.20615,5.26305,5.1777,5.20615,30100,0
1985-06-14,5.0639,5.1777,5.007,5.0639,32100,0
1985-06-17,4.9501,5.0639,4.9501,4.9501,30700,0
1985-06-18,5.007,5.007,4.9501,5.007,33200,0
1985-06-19,5.1777,5.2346,5.007,5.1777,39200,0
1985-06-20,5.1208,5.1777,5.1208,5.1208,7200,0
1985-06-21,5.20615,5.2346,5.1208,5.20615,33400,0
1985-06-24,5.14925,5.2346,5.14925,5.14925,3700,0
1985-06-25,5.1208,5.1777,5.1208,5.1208,7900,0
1985-06-26,5.14925,5.14925,5.1208,5.14925,21700,0
1985-06-27,5.1208,5.14925,5.1208,5.1208,5800,0
1985-06-28,5.0639,5.1777,5.0639,5.0639,9900,0
1985-07-01,5.14925,5.14925,5.1208,5.14925,18500,0
1985-07-02,5.14925,5.14925,5.1208,5.14925,20100,0
1985-07-03,5.14925,5.14925,5.14925,5.14925,5100,0
1985-07-05,5.1777,5.20615,5.1777,5.1777,4700,0
1985-07-08,5.20615,5.2346,5.1777,5.20615,10100,0
1985-07-09,5.2346,5.2346,5.20615,5.2346,5100,0
1985-07-10,5.14925,5.2346,5.14925,5.14925,59500,0
1985-07-11,5.1777,5.20615,5.1777,5.1777,1900,0
1985-07-12,5.1777,5.20615,5.1777,5.1777,3000,0
1985-07-15,5.2346,5.26305,5.1777,5.2346,10800,0
1985-07-16,5.20615,5.26305,5.20615,5.20615,5400,0
1985-07-17,5.20615,5.2346,5.20615,5.20615,5600,0
1985-07-18,5.20615,5.2346,5.1777,5.20615,10800,0
1985-07-19,5.1777,5.2346,5.1777,5.1777,4000,0
1985-07-22,5.1777,5.1777,5.1777,5.1777,1500,0
1985-07-23,5.20615,5.20615,5.1777,5.20615,3100,0
1985-07-24,5.2346,5.2346,5.14925,5.2346,11400,0
1985-07-25,5.1777,5.1777,5.1777,5.1777,4400,0
1985-07-26,5.14925,5.1777,5.14925,5.14925,2200,0
1985-07-29,5.1208,5.14925,5.09235,5.1208,11300,0
1985-07-30,5.1208,5.1208,5.09235,5.1208,5400,0
1985-07-31,5.09235,5.1208,5.09235,5.09235,1800,0
1985-08-01,5.14925,5.14925,5.09235,5.14925,2200,0
1985-08-02,5.14925,5.14925,5.09235,5.14925,40500,0
1985-08-05,5.1208,5.1777,5.09235,5.1208,6900,0
1985-08-06,5.1208,5.14925,5.1208,5.1208,5000,0
1985-08-07,5.03545,5.14925,5.03545,5.03545,9700,0
1985-08-08,5.007,5.0639,5.007,5.007,9700,0
1985-08-09,4.9501,5.007,4.9501,4.9501,3500,0
1985-08-12,4.97855,4.97855,4.92165,4.97855,2800,0
1985-08-13,4.9501,4.97855,4.92165,4.9501,3300,0
1985-08-14,4.9501,5.03545,4.92165,4.9501,13200,0
