Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,3.90738125,4.0393625,3.90738125,3.90738125,129700,0
1980-03-18,3.9617125,3.98503125,3.91531875,3.9617125,85300,0
1980-03-19,4.00835,4.02373125,3.95401875,4.00835,46700,0
1980-03-20,4.00835,4.0393625,4.0004125,4.00835,33500,0
1980-03-21,4.0160375,4.04705,4.0004125,4.0160375,26600,0
1980-03-24,3.94633125,4.0547375,3.9383875,3.94633125,56600,0
1980-03-25,3.9773375,4.03141875,3.95401875,3.9773375,68000,0
1980-03-26,3.94633125,3.98503125,3.94633125,3.94633125,59800,0
1980-03-27,3.91531875,3.9617125,3.892,3.91531875,59400,0
1980-03-28,4.0780625,4.10906875,3.95401875,4.0780625,65600,0
1980-03-31,4.2021125,4.2021125,4.12445,4.2021125,33600,0
1980-04-01,4.2021125,4.2098,4.14008125,4.2021125,35300,0
1980-04-02,4.2485,4.2951375,4.18648125,4.2485,123700,0
1980-04-03,4.2485,4.27181875,4.23311875,4.2485,50400,0
1980-04-07,4.2021125,4.2564375,4.19441875,4.2021125,47100,0
1980-04-08,4.2174875,4.2408125,4.1787875,4.2174875,61900,0
1980-04-09,4.28745,4.2951375,4.2485,4.28745,44200,0
1980-04-10,4.32615,4.34946875,4.28745,4.32615,70200,0
1980-04-11,4.3725375,4.3725375,4.3338375,4.3725375,52600,0
1980-04-14,4.3338375,4.34946875,4.31051875,4.3338375,88000,0
1980-04-15,4.32615,4.3571625,4.3184625,4.32615,73500,0
1980-04-16,4.2564375,4.34946875,4.2408125,4.2564375,94800,0
1980-04-17,4.19441875,4.23311875,4.1711,4.19441875,39200,0
1980-04-18,4.18648125,4.23311875,4.18648125,4.18648125,14700,0
1980-04-21,4.1711,4.23311875,4.12445,4.1711,37800,0
1980-04-22,4.2795125,4.2795125,4.1787875,4.2795125,36200,0
1980-04-23,4.23311875,4.3184625,4.2174875,4.23311875,56900,0
1980-04-24,4.30283125,4.32615,4.2021125,4.30283125,37500,0
1980-04-25,4.2795125,4.31051875,4.2098,4.2795125,50600,0
1980-04-28,4.31051875,4.3338375,4.30283125,4.31051875,20500,0
1980-04-29,4.31051875,4.3725375,4.31051875,4.31051875,57800,0
