Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,3.1095,3.1719999999999997,3.09375,3.1095,12300,0
1980-03-18,3.125,3.125,3.03125,3.125,29800,0
1980-03-19,3.375,3.40625,3.21875,3.375,35100,0
1980-03-20,3.3595,3.45325,3.28125,3.3595,28800,0
1980-03-21,3.2969999999999997,3.4219999999999997,3.2969999999999997,3.2969999999999997,11300,0
1980-03-24,3.1875,3.375,3.1719999999999997,3.1875,21100,0
1980-03-25,3.2969999999999997,3.3125,3.2345,3.2969999999999997,40800,0
1980-03-26,3.34375,3.4375,3.34375,3.34375,33000,0
1980-03-27,3.0625,3.34375,2.9375,3.0625,51800,0
1980-03-28,3.21875,3.21875,3.09375,3.21875,21400,0
1980-03-31,3.1719999999999997,3.3125,3.15625,3.1719999999999997,19000,0
1980-04-01,3.28125,3.28125,3.1719999999999997,3.28125,26900,0
1980-04-02,3.375,3.40625,3.3125,3.375,20900,0
1980-04-03,3.46875,3.46875,3.40625,3.46875,22300,0
1980-04-07,3.3125,3.4375,3.3125,3.3125,30100,0
1980-04-08,3.3125,3.3125,3.25,3.3125,20700,0
1980-04-09,3.4375,3.4375,3.3125,3.4375,15000,0
1980-04-10,3.51575,3.5625,3.4219999999999997,3.51575,43800,0
1980-04-11,3.5,3.59375,3.5,3.5,12500,0
1980-04-14,3.5,3.5625,3.45325,3.5,13000,0
1980-04-15,3.4219999999999997,3.5,3.4219999999999997,3.4219999999999997,6700,0
1980-04-16,3.34375,3.45325,3.34375,3.34375,14200,0
1980-04-17,3.2969999999999997,3.34375,3.2969999999999997,3.2969999999999997,30800,0
1980-04-18,3.28125,3.3595,3.28125,3.28125,14500,0
1980-04-21,3.26575,3.32825,3.25,3.26575,6900,0
1980-04-22,3.4219999999999997,3.4375,3.34375,3.4219999999999997,33000,0
1980-04-23,3.51575,3.51575,3.4375,3.51575,19800,0
1980-04-24,3.5,3.53125,3.4845,3.5,20900,0
1980-04-25,3.4845,3.51575,3.4375,3.4845,16900,0
1980-04-28,3.5469999999999997,3.59375,3.51575,3.5469999999999997,13000,0
1980-04-29,3.4845,3.5469999999999997,3.4845,3.4845,8200,0
1980-04-30,3.5,3.5,3.4219999999999997,3.5,18600,0
1980-05-01,3.53125,3.6095,3.5,3.53125,14100,0
1980-05-02,3.4845,3.53125,3.4845,3.4845,8300,0
1980-05-05,3.5625,3.5625,3.4219999999999997,3.5625,13000,0
1980-05-06,3.59375,3.65625,3.59375,3.59375,38400,0
1980-05-07,3.6875,3.71875,3.5625,3.6875,23400,0
1980-05-08,3.64075,3.71875,3.64075,3.64075,13900,0
1980-05-09,3.5625,3.6095,3.5625,3.5625,11400,0
1980-05-12,3.51575,3.5625,3.4845,3.51575,15400,0
1980-05-13,3.6095,3.625,3.51575,3.6095,16200,0
1980-05-14,3.65625,3.70325,3.6095,3.65625,18000,0
1980-05-15,3.625,3.6719999999999997,3.625,3.625,5400,0
1980-05-16,3.6095,3.65625,3.57825,3.6095,8300,0
1980-05-19,3.64075,3.64075,3.5625,3.64075,9500,0
1980-05-20,3.57825,3.625,3.51575,3.57825,33600,0
1980-05-21,3.53125,3.57825,3.5,3.53125,6100,0
1980-05-22,3.5469999999999997,3.59375,3.51575,3.5469999999999997,18600,0
1980-05-23,3.6095,3.64075,3.5625,3.6095,4200,0
1980-05-27,3.65625,3.6719999999999997,3.59375,3.65625,9500,0
1980-05-28,3.64075,3.65625,3.6095,3.64075,12300,0
1980-05-29,3.625,3.6875,3.625,3.625,15000,0
1980-05-30,3.6719999999999997,3.6719999999999997,3.6095,3.6719999999999997,16700,0
1980-06-02,3.625,3.6719999999999997,3.625,3.625,7800,0
