Date,Open,High,Low,Close,Volume,openinterest
2010-04-20,32107.0,32107.0,32107.0,32107.0,35147,0
2010-04-21,33444.8008,33444.8008,33444.8008,33444.8008,31694,0
2010-04-22,35117.1016,35117.1016,35117.1016,35117.1016,33024,0
2010-04-23,35117.1016,35117.1016,35117.1016,35117.1016,0,0
2010-04-26,36120.3984,36120.3984,34782.6016,34782.6016,992156,0
2010-04-27,34113.6992,36120.3984,34113.6992,35117.1016,305996,0
2010-04-28,35117.1016,35451.5,34782.6016,35117.1016,322232,0
2010-04-29,35117.1016,35117.1016,34448.1992,35117.1016,230663,0
2010-04-30,35117.1016,35117.1016,35117.1016,35117.1016,0,0
2010-05-03,35117.1016,35117.1016,35117.1016,35117.1016,0,0
2010-05-04,35117.1016,35117.1016,34782.6016,34782.6016,269294,0
2010-05-05,33444.8008,34782.6016,33444.8008,34113.6992,161295,0
2010-05-06,34782.6016,34782.6016,34113.6992,34448.1992,133309,0
2010-05-07,34448.1992,34448.1992,33444.8008,33444.8008,179564,0
2010-05-10,33779.3008,34448.1992,33377.8984,33444.8008,75377,0
2010-05-11,34113.6992,34113.6992,33444.8008,33779.3008,154926,0
2010-05-12,32709.0,33779.3008,32642.0996,33779.3008,94364,0
2010-05-13,33444.8008,33444.8008,32709.0,32775.8984,42293,0
2010-05-14,33377.8984,33377.8984,32775.8984,33110.3984,62341,0
2010-05-17,33444.8008,33444.8008,32441.5,33110.3984,47301,0
2010-05-18,32775.8984,33110.3984,32441.5,32441.5,7699,0
2010-05-19,32107.0,32441.5,30836.0996,32441.5,147481,0
2010-05-20,31103.6992,32441.5,31103.6992,32107.0,152998,0
2010-05-21,30568.5996,30568.5996,30501.6992,30568.5996,53012,0
2010-05-24,30501.6992,30769.1992,30167.1992,30434.8008,37823,0
2010-05-25,30434.8008,30434.8008,30434.8008,30434.8008,0,0
2010-05-26,30100.3008,30903.0,30100.3008,30100.3008,12662,0
2010-05-27,30100.3008,30702.3008,29431.4004,29431.4004,63178,0
2010-05-28,30100.3008,30903.0,29832.8008,30903.0,87113,0
2010-06-01,30100.3008,30100.3008,29832.8008,30100.3008,17790,0
2010-06-02,30100.3008,30100.3008,28628.8008,29163.9004,28255,0
2010-06-03,30434.8008,30434.8008,29431.4004,30434.8008,33338,0
2010-06-04,30100.3008,30100.3008,29097.0,30100.3008,35446,0
2010-06-07,28762.5,30033.4004,28762.5,28762.5,266648,0
2010-06-08,29097.0,29297.6992,28762.5,29297.6992,28449,0
2010-06-09,28896.3008,29431.4004,28896.3008,29431.4004,14411,0
2010-06-10,29765.9004,29765.9004,29297.6992,29297.6992,12423,0
2010-06-11,29632.0996,29632.0996,29097.0,29097.0,38585,0
2010-06-14,29097.0,29364.5,29097.0,29297.6992,24413,0
2010-06-15,29297.6992,29297.6992,29297.6992,29297.6992,0,0
2010-06-16,29431.4004,29431.4004,29163.9004,29297.6992,38152,0
2010-06-17,29163.9004,29163.9004,28227.4004,28695.6992,32172,0
2010-06-18,28762.5,28762.5,28628.8008,28695.6992,84123,0
2010-06-21,28495.0,30100.3008,28428.0996,28762.5,93048,0
2010-06-22,28762.5,28762.5,28495.0,28628.8008,70593,0
2010-06-23,28628.8008,28762.5,28628.8008,28628.8008,22215,0
2010-06-24,28628.8008,28628.8008,28093.5996,28093.5996,52713,0
2010-06-25,28227.4004,28561.9004,27491.5996,28093.5996,82404,0
2010-06-28,27224.0996,28762.5,27224.0996,28561.9004,31813,0
2010-06-29,28561.9004,28628.8008,28160.5,28160.5,97234,0
2010-06-30,26956.5,28695.6992,26956.5,27625.4004,51846,0
2010-07-01,27759.1992,27759.1992,27023.4004,27023.4004,32456,0
2010-07-02,26889.5996,27090.3008,26822.6992,27090.3008,113470,0
2010-07-06,28093.5996,28093.5996,26755.9004,27090.3008,70668,0
2010-07-07,27090.3008,27090.3008,26755.9004,26755.9004,15099,0
2010-07-08,27090.3008,27424.8008,27090.3008,27424.8008,109613,0
2010-07-09,27424.8008,27692.3008,27224.0996,27692.3008,43698,0
2010-07-12,26488.3008,27759.1992,26488.3008,27558.5,34250,0
2010-07-13,27424.8008,28294.3008,26956.5,28294.3008,33189,0
2010-07-14,27558.5,28294.3008,27558.5,28294.3008,85573,0
2010-07-15,27759.1992,28428.0996,27759.1992,28294.3008,63986,0
2010-07-16,27692.3008,28428.0996,27692.3008,28428.0996,93332,0
2010-07-19,28829.4004,29431.4004,28762.5,28762.5,88967,0
2010-07-20,29297.6992,29297.6992,28160.5,28829.4004,62625,0
2010-07-21,28628.8008,29097.0,28561.9004,28561.9004,32785,0
2010-07-22,23946.5,25752.5,23946.5,25351.1992,33652,0
2010-07-23,24949.8008,25284.3008,24949.8008,25016.6992,30288,0
2010-07-26,25016.6992,25016.6992,25016.6992,25016.6992,0,0
2010-07-27,25016.6992,25016.6992,24949.8008,25016.6992,44790,0
2010-07-28,24147.1992,24280.9004,23879.5996,23879.5996,18224,0
2010-07-29,24816.0996,24816.0996,24347.8008,24816.0996,31738,0
2010-07-30,23745.8008,23745.8008,23745.8008,23745.8008,22155,0
2010-08-02,23745.8008,23946.5,23745.8008,23946.5,24069,0
2010-08-03,24682.3008,24682.3008,23010.0,23010.0,28883,0
