Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,3.798225,3.9142,3.769225,3.798225,12000,0
1980-03-18,3.798225,3.8562,3.769225,3.798225,13100,0
1980-03-19,3.798225,3.827225,3.798225,3.798225,10000,0
1980-03-20,3.769225,3.8562,3.71125,3.769225,37100,0
1980-03-21,3.71125,3.827225,3.71125,3.71125,16200,0
1980-03-24,3.4213,3.65325,3.3633,3.4213,31100,0
1980-03-25,3.4503,3.4503,3.4213,3.4503,42400,0
1980-03-26,3.4793,3.4793,3.4213,3.4793,41500,0
1980-03-27,3.4213,3.4793,3.3633,3.4213,29300,0
1980-03-28,3.4503,3.4503,3.3923,3.4503,24900,0
1980-03-31,3.4213,3.4503,3.3633,3.4213,93900,0
1980-04-01,3.4213,3.4503,3.3923,3.4213,91800,0
1980-04-02,3.62425,3.62425,3.3923,3.62425,301700,0
1980-04-03,3.62425,3.68225,3.62425,3.62425,51700,0
1980-04-07,3.68225,3.71125,3.62425,3.68225,31700,0
1980-04-08,3.769225,3.798225,3.65325,3.769225,33400,0
1980-04-09,4.001175,4.030175,3.827225,4.001175,88600,0
1980-04-10,4.17515,4.17515,4.059175,4.17515,31100,0
1980-04-11,4.262125,4.3491,4.088175,4.262125,50100,0
1980-04-14,4.14615,4.23315,4.11715,4.14615,20800,0
1980-04-15,4.088175,4.14615,4.059175,4.088175,17600,0
1980-04-16,4.20415,4.262125,4.11715,4.20415,72800,0
1980-04-17,4.20415,4.262125,4.17515,4.20415,26300,0
1980-04-18,4.291125,4.320125,4.20415,4.291125,19200,0
1980-04-21,4.320125,4.3491,4.291125,4.320125,19100,0
1980-04-22,4.320125,4.3781,4.291125,4.320125,19600,0
1980-04-23,4.4361,4.494075,4.3781,4.4361,32700,0
1980-04-24,4.4361,4.4651,4.3781,4.4361,30300,0
1980-04-25,4.4071,4.4361,4.3781,4.4071,16200,0
1980-04-28,4.4361,4.4361,4.3491,4.4361,12300,0
1980-04-29,4.3781,4.4361,4.320125,4.3781,13500,0
1980-04-30,4.3781,4.3781,4.291125,4.3781,14500,0
1980-05-01,4.320125,4.3781,4.291125,4.320125,9300,0
1980-05-02,4.3491,4.3781,4.291125,4.3491,8500,0
1980-05-05,4.4071,4.4071,4.320125,4.4071,12500,0
1980-05-06,4.4071,4.4361,4.3491,4.4071,15400,0
1980-05-07,4.4361,4.4651,4.4071,4.4361,19900,0
1980-05-08,4.4361,4.4651,4.4071,4.4361,22000,0
1980-05-09,4.4071,4.4651,4.3781,4.4071,14300,0
1980-05-12,4.494075,4.494075,4.4071,4.494075,13300,0
1980-05-13,4.4361,4.523075,4.4361,4.4361,17300,0
1980-05-14,4.494075,4.523075,4.4361,4.494075,21300,0
1980-05-15,4.523075,4.523075,4.4361,4.523075,30900,0
1980-05-16,4.494075,4.523075,4.4361,4.494075,39300,0
1980-05-19,4.552075,4.552075,4.494075,4.552075,47000,0
1980-05-20,4.552075,4.581075,4.523075,4.552075,47800,0
1980-05-21,4.552075,4.552075,4.494075,4.552075,26600,0
1980-05-22,4.552075,4.581075,4.494075,4.552075,35300,0
1980-05-23,4.581075,4.61005,4.523075,4.581075,27000,0
1980-05-27,4.72605,4.755025,4.581075,4.72605,34700,0
1980-05-28,4.72605,4.755025,4.66805,4.72605,19200,0
1980-05-29,4.66805,4.72605,4.66805,4.66805,13600,0
1980-05-30,4.66805,4.69705,4.61005,4.66805,15600,0
1980-06-02,4.61005,4.66805,4.581075,4.61005,69200,0
1980-06-03,4.61005,4.61005,4.552075,4.61005,24500,0
1980-06-04,4.4361,4.4361,4.3781,4.4361,45100,0
1980-06-05,4.4361,4.4651,4.4071,4.4361,13000,0
1980-06-06,4.4651,4.4651,4.4071,4.4651,22700,0
1980-06-09,4.4651,4.494075,4.4361,4.4651,12400,0
1980-06-10,4.4651,4.4651,4.4361,4.4651,13500,0
1980-06-11,4.494075,4.494075,4.4361,4.494075,14300,0
1980-06-12,4.4651,4.523075,4.4651,4.4651,18800,0
1980-06-13,4.581075,4.61005,4.523075,4.581075,22300,0
1980-06-16,4.61005,4.69705,4.581075,4.61005,28100,0
1980-06-17,4.63905,4.66805,4.61005,4.63905,16200,0
1980-06-18,4.61005,4.66805,4.61005,4.61005,18900,0
1980-06-19,4.63905,4.66805,4.61005,4.63905,15600,0
1980-06-20,4.581075,4.63905,4.581075,4.581075,14600,0
1980-06-23,4.581075,4.63905,4.581075,4.581075,18400,0
1980-06-24,4.63905,4.63905,4.581075,4.63905,25600,0
1980-06-25,4.581075,4.63905,4.581075,4.581075,17200,0
1980-06-26,4.523075,4.61005,4.523075,4.523075,16200,0
1980-06-27,4.552075,4.61005,4.494075,4.552075,32300,0
1980-06-30,4.494075,4.552075,4.4651,4.494075,18600,0
1980-07-01,4.3781,4.4651,4.3491,4.3781,45000,0
1980-07-02,4.3781,4.4071,4.3491,4.3781,186600,0
1980-07-03,4.3491,4.3781,4.320125,4.3491,33400,0
1980-07-07,4.4071,4.4071,4.320125,4.4071,29200,0
1980-07-08,4.4071,4.4071,4.3781,4.4071,17800,0
1980-07-09,4.4361,4.4361,4.3781,4.4361,30600,0
1980-07-10,4.4071,4.4071,4.3491,4.4071,23000,0
1980-07-11,4.4361,4.4361,4.3781,4.4361,19500,0
1980-07-14,4.4071,4.4361,4.3781,4.4071,23200,0
1980-07-15,4.4071,4.4361,4.3781,4.4071,23500,0
1980-07-16,4.4361,4.4361,4.3781,4.4361,26200,0
1980-07-17,4.4361,4.4361,4.4071,4.4361,16500,0
1980-07-18,4.4361,4.4651,4.4071,4.4361,21900,0
1980-07-21,4.4361,4.552075,4.4361,4.4361,22700,0
1980-07-22,4.523075,4.552075,4.4651,4.523075,62000,0
1980-07-23,4.523075,4.523075,4.4651,4.523075,21600,0
1980-07-24,4.552075,4.552075,4.4651,4.552075,22400,0
1980-07-25,4.581075,4.581075,4.523075,4.581075,19400,0
1980-07-28,4.581075,4.61005,4.552075,4.581075,17500,0
1980-07-29,4.581075,4.61005,4.523075,4.581075,18900,0
1980-07-30,4.552075,4.61005,4.523075,4.552075,17500,0
1980-07-31,4.494075,4.552075,4.494075,4.494075,30200,0
1980-08-01,4.4651,4.523075,4.4361,4.4651,49000,0
1980-08-04,4.4071,4.4361,4.3781,4.4071,34100,0
1980-08-05,4.3781,4.4071,4.3491,4.3781,22900,0
1980-08-06,4.3491,4.3781,4.320125,4.3491,20900,0
1980-08-07,4.3491,4.3781,4.320125,4.3491,19900,0
1980-08-08,4.3491,4.3781,4.3491,4.3491,12700,0
1980-08-11,4.320125,4.3781,4.320125,4.320125,16300,0
1980-08-12,4.3491,4.3781,4.320125,4.3491,14600,0
1980-08-13,4.3491,4.4071,4.320125,4.3491,12800,0
1980-08-14,4.4071,4.4071,4.320125,4.4071,12300,0
1980-08-15,4.3781,4.4071,4.320125,4.3781,22000,0
1980-08-18,4.4071,4.4071,4.3491,4.4071,15900,0
1980-08-19,4.4071,4.4071,4.3491,4.4071,21100,0
1980-08-20,4.3491,4.4071,4.3491,4.3491,16900,0
1980-08-21,4.3491,4.3781,4.320125,4.3491,25700,0
1980-08-22,4.4071,4.4071,4.3491,4.4071,12900,0
1980-08-25,4.3491,4.4071,4.3491,4.3491,12300,0
1980-08-26,4.3781,4.4361,4.3491,4.3781,59700,0
1980-08-27,4.4071,4.4361,4.3781,4.4071,13800,0
1980-08-28,4.4071,4.4361,4.4071,4.4071,12500,0
1980-08-29,4.4071,4.4651,4.4071,4.4071,18700,0
1980-09-02,4.4361,4.4651,4.4071,4.4361,9000,0
1980-09-03,4.523075,4.552075,4.4651,4.523075,108900,0
1980-09-04,4.4071,4.494075,4.4071,4.4071,31100,0
1980-09-05,4.3781,4.4651,4.3781,4.3781,19600,0
1980-09-08,4.4071,4.4071,4.3781,4.4071,13000,0
1980-09-09,4.3491,4.4071,4.3491,4.3491,61200,0
1980-09-10,4.3781,4.3781,4.320125,4.3781,13700,0
1980-09-11,4.320125,4.3781,4.320125,4.320125,13000,0
1980-09-12,4.291125,4.3491,4.291125,4.291125,14900,0
1980-09-15,4.320125,4.320125,4.262125,4.320125,14700,0
1980-09-16,4.291125,4.3491,4.291125,4.291125,23400,0
1980-09-17,4.23315,4.320125,4.23315,4.23315,14300,0
1980-09-18,4.262125,4.291125,4.20415,4.262125,78300,0
1980-09-19,4.20415,4.262125,4.20415,4.20415,16700,0
1980-09-22,4.17515,4.23315,4.14615,4.17515,21800,0
1980-09-23,4.088175,4.17515,4.088175,4.088175,27800,0
1980-09-24,4.059175,4.11715,4.059175,4.059175,13900,0
1980-09-25,4.030175,4.088175,4.030175,4.030175,26400,0
1980-09-26,4.001175,4.030175,3.9432,4.001175,20100,0
1980-09-29,3.8562,4.001175,3.827225,3.8562,31300,0
1980-09-30,3.827225,3.8562,3.827225,3.827225,32300,0
1980-10-01,3.798225,3.8562,3.798225,3.798225,67600,0
1980-10-02,3.827225,3.827225,3.769225,3.827225,223100,0
1980-10-03,3.827225,3.827225,3.798225,3.827225,41000,0
1980-10-06,3.827225,3.827225,3.798225,3.827225,42100,0
1980-10-07,3.8852,3.9432,3.827225,3.8852,48300,0
1980-10-08,3.9142,3.9432,3.8562,3.9142,43500,0
1980-10-09,3.9142,3.9432,3.8852,3.9142,22600,0
1980-10-10,3.9142,3.9432,3.8852,3.9142,20200,0
1980-10-13,3.9142,3.9722,3.9142,3.9142,38800,0
1980-10-14,3.9722,4.001175,3.9142,3.9722,21000,0
1980-10-15,4.030175,4.059175,3.9722,4.030175,20200,0
1980-10-16,4.088175,4.11715,4.001175,4.088175,24000,0
1980-10-17,4.088175,4.088175,4.030175,4.088175,15800,0
1980-10-20,4.059175,4.11715,4.059175,4.059175,12800,0
