Date,Open,High,Low,Close,Volume,openinterest
2010-06-16,37.0,37.0,34.6,34.61,62900,0
2010-06-17,34.25,34.55,33.8,34.0,21700,0
2010-06-18,34.25,34.5,34.25,34.5,300,0
2010-06-21,34.31,34.75,33.5,33.75,12000,0
2010-06-22,33.85,33.85,32.3,32.3,81870,0
2010-06-23,32.17,32.27,31.74,32.27,7260,0
2010-06-24,32.47,34.24,31.98,32.0,420240,0
2010-06-25,32.25,32.95,32.08,32.51,562333,0
2010-06-28,32.71,32.71,32.1,32.25,361700,0
2010-06-29,32.0,32.0,30.07,30.31,818809,0
2010-06-30,30.25,31.15,30.15,30.83,7171103,0
2010-07-01,30.4,31.03,29.22,29.31,2811483,0
2010-07-02,29.5,29.96,28.88,29.02,3081062,0
2010-07-06,29.61,29.61,28.01,28.18,2271437,0
2010-07-07,28.51,29.63,27.9,29.54,2222356,0
2010-07-08,29.95,31.09,29.91,30.3,2271411,0
2010-07-09,30.32,31.21,30.09,30.44,1732721,0
2010-07-12,30.44,30.44,30.0,30.19,1356308,0
2010-07-13,30.39,30.67,30.33,30.47,1379902,0
2010-07-14,30.25,30.566999999999997,30.02,30.47,896484,0
2010-07-15,30.42,30.61,29.69,30.53,1659982,0
2010-07-16,30.22,30.54,29.25,29.72,1342544,0
2010-07-19,29.86,30.32,29.55,29.8,1046405,0
2010-07-20,29.51,30.51,29.11,30.43,1201607,0
2010-07-21,30.56,30.56,29.39,29.72,861512,0
2010-07-22,30.01,30.37,29.81,30.02,852835,0
2010-07-23,29.99,29.99,29.05,29.27,662492,0
2010-07-26,29.18,29.6,28.951999999999998,29.58,888827,0
2010-07-27,30.2,31.0,29.51,30.16,1705730,0
2010-07-28,30.42,31.01,30.35,30.91,1706632,0
2010-07-29,31.49,33.16,31.34,32.5,3203176,0
2010-07-30,32.41,35.15,31.68,34.42,2745767,0
2010-08-02,34.31,34.32,33.62,33.9,1547370,0
2010-08-03,33.97,34.79,33.4,34.56,805883,0
2010-08-04,34.61,34.99,34.24,34.9,833481,0
2010-08-05,34.71,35.06,34.3,34.89,605487,0
2010-08-06,34.83,34.83,33.01,33.97,1409697,0
2010-08-09,34.08,34.46,33.14,34.3,554221,0
2010-08-10,34.21,34.28,33.39,33.61,852991,0
2010-08-11,32.92,32.92,31.57,31.78,860216,0
