Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,19.9297,20.9844,19.7396,19.9297,93600,0
1980-03-18,19.9297,19.9297,19.1632,19.9297,52100,0
1980-03-19,20.1229,20.2179,20.0278,20.1229,14100,0
1980-03-20,19.1632,20.0278,19.1632,19.1632,57600,0
1980-03-21,18.6389,19.1632,18.2556,18.6389,54100,0
1980-03-24,17.5351,18.5898,17.44,17.5351,57600,0
1980-03-25,17.9183,17.9183,17.391,17.9183,49600,0
1980-03-26,17.6792,18.3966,17.6792,17.6792,28900,0
1980-03-27,17.345,17.7742,17.1518,17.345,23600,0
1980-03-28,18.3966,18.3966,17.7742,18.3966,20200,0
1980-03-31,18.829,18.829,18.4948,18.829,13300,0
1980-04-01,19.5955,19.6445,18.878,19.5955,39700,0
1980-04-02,19.4514,19.6905,19.4514,19.4514,13100,0
1980-04-03,19.4514,19.5955,19.3563,19.4514,12700,0
1980-04-07,19.3563,19.7396,19.3563,19.3563,44700,0
1980-04-08,19.3073,19.3563,19.0681,19.3073,31400,0
1980-04-09,19.4054,19.5464,19.4054,19.4054,10200,0
1980-04-10,19.5955,19.8346,19.4054,19.5955,25500,0
1980-04-11,19.4514,19.8837,19.4514,19.4514,16100,0
1980-04-14,18.9731,19.5464,18.924,18.9731,25400,0
1980-04-15,18.3966,18.878,18.3966,18.3966,24200,0
1980-04-16,18.4948,18.7799,18.4948,18.4948,22800,0
1980-04-17,17.9183,18.5407,17.7742,17.9183,68100,0
1980-04-18,17.5351,18.1575,17.5351,17.5351,36500,0
1980-04-21,16.9617,17.6301,16.8636,16.9617,40300,0
1980-04-22,17.8723,17.8723,17.345,17.8723,27600,0
1980-04-23,18.2556,18.4457,18.1115,18.2556,24400,0
1980-04-24,18.6389,18.7339,18.3016,18.6389,12100,0
1980-04-25,19.2613,19.3563,18.829,19.2613,23800,0
1980-04-28,19.6905,19.7887,19.4514,19.6905,41200,0
1980-04-29,19.6905,19.7396,19.5955,19.6905,16900,0
1980-04-30,19.6905,19.6905,19.5004,19.6905,14900,0
1980-05-01,19.6445,19.7396,19.5464,19.6445,23200,0
1980-05-02,19.4054,19.6445,19.2613,19.4054,24200,0
1980-05-05,19.6445,19.6905,19.2613,19.6445,28600,0
1980-05-06,19.6905,19.7396,19.5955,19.6905,11300,0
1980-05-07,19.7396,19.8837,19.5464,19.7396,32200,0
1980-05-08,19.6905,19.8346,19.5464,19.6905,19100,0
1980-05-09,19.5464,19.6905,19.3563,19.5464,55900,0
1980-05-12,19.6905,19.7396,19.4054,19.6905,27900,0
1980-05-13,19.2122,19.4514,19.1172,19.2122,62300,0
1980-05-14,19.2122,19.3563,19.1632,19.2122,5800,0
1980-05-15,18.878,19.2122,18.829,18.878,22200,0
1980-05-16,18.5407,18.7799,18.5407,18.5407,11900,0
1980-05-19,18.4948,18.6849,18.4457,18.4948,41800,0
1980-05-20,18.2556,18.5407,18.2556,18.2556,35500,0
1980-05-21,18.2556,18.3507,18.2065,18.2556,11300,0
1980-05-22,18.6389,18.6389,18.2065,18.6389,24700,0
1980-05-23,19.4514,19.4514,18.7799,19.4514,41300,0
1980-05-27,19.5955,19.7887,19.5955,19.5955,14600,0
1980-05-28,19.5955,19.6905,19.4514,19.5955,13800,0
1980-05-29,19.5955,19.7396,19.5464,19.5955,25500,0
1980-05-30,20.5061,20.5061,19.4054,20.5061,56800,0
1980-06-02,20.267,20.4571,20.267,20.267,23800,0
1980-06-03,20.2179,20.267,20.1229,20.2179,11400,0
1980-06-04,20.9844,20.9844,20.2179,20.9844,31500,0
1980-06-05,20.6502,21.2726,20.6502,20.6502,43400,0
1980-06-06,20.4111,20.6962,20.4111,20.4111,20000,0
1980-06-09,20.362000000000002,20.4571,20.362000000000002,20.362000000000002,28900,0
1980-06-10,20.6012,20.6502,20.362000000000002,20.6012,47900,0
1980-06-11,20.7453,20.8894,20.7453,20.7453,19800,0
1980-06-12,21.1776,21.3217,20.9844,21.1776,47000,0
1980-06-13,21.2726,21.3677,21.0795,21.2726,16500,0
1980-06-16,10.5888,10.6363,10.4922,10.5888,24900,0
1980-06-17,10.6838,10.7314,10.5397,10.6838,50500,0
1980-06-18,10.6838,10.7314,10.4922,10.6838,76900,0
1980-06-19,10.109,10.6363,10.109,10.109,68800,0
1980-06-20,9.9649,10.0614,9.8698,9.9649,29600,0
1980-06-23,9.9649,10.0614,9.8698,9.9649,25900,0
1980-06-24,9.9649,10.2531,9.9173,9.9649,35500,0
1980-06-25,10.109,10.1565,9.9649,10.109,47100,0
1980-06-26,10.2055,10.2531,10.1565,10.2055,22200,0
1980-06-27,10.2055,10.2055,10.0614,10.2055,40300,0
1980-06-30,10.3006,10.3006,10.1565,10.3006,26200,0
1980-07-01,10.3481,10.3972,10.2531,10.3481,30900,0
1980-07-02,10.5397,10.5397,10.3481,10.5397,28100,0
1980-07-03,11.3063,11.3063,10.7804,11.3063,75300,0
1980-07-07,11.1146,11.2587,10.9721,11.1146,46800,0
1980-07-08,11.2112,11.3063,11.0671,11.2112,41600,0
1980-07-09,11.0196,11.2587,10.9721,11.0196,89700,0
1980-07-10,10.7314,11.0196,10.7314,10.7314,50200,0
1980-07-11,10.7804,10.8755,10.6838,10.7804,25200,0
1980-07-14,11.4029,11.4504,10.9721,11.4029,31800,0
1980-07-15,11.2587,11.642000000000001,11.2587,11.2587,72400,0
1980-07-16,11.2587,11.4979,11.2112,11.2587,54800,0
1980-07-17,11.3553,11.4979,11.3063,11.3553,40900,0
1980-07-18,11.4029,11.547,11.3553,11.4029,72100,0
1980-07-21,11.1146,11.4504,11.1146,11.1146,63100,0
1980-07-22,11.2112,11.4979,11.1146,11.2112,168500,0
