Date,Open,High,Low,Close,Volume,openinterest
1992-02-13,2.0,2.09375,2.0,2.046875,2313300,0
1992-02-14,2.0625,2.28125,2.0625,2.25,391000,0
1992-02-18,2.21875,2.28125,2.0625,2.0625,323100,0
1992-02-19,2.09375,2.15625,2.03125,2.15625,306800,0
1992-02-20,2.125,2.28125,2.125,2.21875,163000,0
1992-02-21,2.21875,2.28125,2.21875,2.28125,77100,0
1992-02-24,2.21875,2.3125,2.21875,2.3125,96600,0
1992-02-25,2.265625,2.3125,2.25,2.28125,64700,0
1992-02-26,2.3125,2.34375,2.25,2.34375,106400,0
1992-02-27,2.28125,2.4375,2.28125,2.40625,69400,0
1992-02-28,2.4375,2.59375,2.375,2.53125,138600,0
1992-03-02,2.59375,2.609375,2.46875,2.5625,109200,0
1992-03-03,2.546875,2.5625,2.4375,2.46875,64000,0
1992-03-04,2.46875,2.53125,2.4375,2.4375,20400,0
1992-03-05,2.53125,2.53125,2.34375,2.34375,88400,0
1992-03-06,2.390625,2.4375,2.34375,2.34375,95700,0
1992-03-09,2.34375,2.4375,2.34375,2.390625,85800,0
1992-03-10,2.34375,2.4375,2.34375,2.4375,11700,0
1992-03-11,2.5,2.53125,2.4375,2.453125,27800,0
1992-03-12,2.4375,2.53125,2.4375,2.4375,11200,0
1992-03-13,2.4375,2.5625,2.4375,2.53125,26400,0
1992-03-16,2.5,2.5625,2.5,2.5625,11800,0
1992-03-17,2.46875,2.5625,2.46875,2.46875,18800,0
1992-03-18,2.46875,2.46875,2.46875,2.46875,6500,0
1992-03-19,2.5625,2.5625,2.4375,2.4375,8600,0
1992-03-20,2.4375,2.53125,2.4375,2.53125,15600,0
1992-03-23,2.4375,2.515625,2.4375,2.484375,39300,0
1992-03-24,2.46875,2.515625,2.4375,2.4375,54700,0
1992-03-25,2.53125,2.53125,2.4375,2.46875,9900,0
1992-03-26,2.40625,2.421875,2.40625,2.40625,5900,0
1992-03-27,2.5,2.5,2.4375,2.5,9900,0
1992-03-30,2.4375,2.5,2.4375,2.46875,5800,0
1992-03-31,2.4375,2.5,2.4375,2.5,13400,0
1992-04-01,2.4375,2.5,2.40625,2.4375,44500,0
1992-04-02,2.5,2.5,2.4375,2.46875,6400,0
1992-04-03,2.4375,2.5,2.4375,2.46875,14600,0
1992-04-06,2.4375,2.5,2.4375,2.4375,8900,0
1992-04-07,2.4375,2.5625,2.4375,2.5,14500,0
1992-04-08,2.4375,2.5,2.4375,2.5,30900,0
