Date,Open,High,Low,Close,Volume,openinterest
1980-06-19,7.5,11.25,7.5,7.5,62204,0
1980-06-20,7.5,11.25,7.5,7.5,28694,0
1980-06-23,6.25,10.0,6.25,6.25,194,0
1980-06-24,6.25,8.75,6.25,6.25,13694,0
1980-06-25,7.5,10.0,7.5,7.5,7499,0
1980-06-26,7.5,10.0,7.5,7.5,64499,0
1980-06-27,7.5,10.0,7.5,7.5,19994,0
1980-06-30,7.5,10.0,7.5,7.5,12899,0
1980-07-01,8.75,11.25,8.75,8.75,71099,0
1980-07-02,8.75,11.25,8.75,8.75,32399,0
1980-07-03,10.0,12.5,10.0,10.0,191594,0
1980-07-07,10.0,11.25,10.0,10.0,28304,0
1980-07-08,11.25,11.25,11.25,11.25,52094,0
1980-07-09,11.25,11.25,11.25,11.25,63599,0
1980-07-10,11.25,12.5,11.25,11.25,94304,0
1980-07-11,11.25,12.5,11.25,11.25,40004,0
1980-07-14,10.0,11.25,10.0,10.0,21599,0
1980-07-15,10.0,11.25,10.0,10.0,10004,0
1980-07-16,10.0,11.25,10.0,10.0,29294,0
1980-07-17,12.5,13.75,12.5,12.5,232394,0
1980-07-18,12.5,12.5,12.5,12.5,47894,0
1980-07-21,12.5,12.5,12.5,12.5,21704,0
1980-07-22,12.5,12.5,12.5,12.5,25004,0
1980-07-23,11.25,12.5,11.25,11.25,28004,0
1980-07-24,12.5,12.5,12.5,12.5,44294,0
1980-07-25,11.25,12.5,11.25,11.25,26099,0
1980-07-28,11.25,12.5,11.25,11.25,10094,0
1980-07-29,11.25,12.5,11.25,11.25,39299,0
1980-07-30,11.25,12.5,11.25,11.25,13304,0
1980-07-31,11.25,12.5,11.25,11.25,28004,0
1980-08-01,11.25,12.5,11.25,11.25,6194,0
1980-08-04,11.25,12.5,11.25,11.25,21494,0
1980-08-05,11.25,12.5,11.25,11.25,3494,0
1980-08-06,11.25,12.5,11.25,11.25,17804,0
1980-08-07,11.25,12.5,11.25,11.25,66404,0
1980-08-08,12.5,12.5,12.5,12.5,49994,0
1980-08-11,12.5,12.5,12.5,12.5,7199,0
1980-08-12,11.25,12.5,11.25,11.25,15194,0
1980-08-13,10.0,12.5,10.0,10.0,6599,0
1980-08-14,11.25,12.5,11.25,11.25,13394,0
1980-08-15,11.25,12.5,11.25,11.25,8804,0
1980-08-18,10.0,11.25,10.0,10.0,22004,0
1980-08-19,10.0,11.25,10.0,10.0,26999,0
1980-08-20,10.0,11.25,10.0,10.0,40499,0
1980-08-21,11.25,11.25,11.25,11.25,56399,0
1980-08-22,11.25,11.25,11.25,11.25,63494,0
1980-08-25,11.25,12.5,11.25,11.25,46499,0
1980-08-26,11.25,12.5,11.25,11.25,43394,0
1980-08-27,13.75,15.0,13.75,13.75,120704,0
1980-08-28,17.5,17.5,17.5,17.5,246794,0
1980-08-29,16.25,17.5,16.25,16.25,123404,0
1980-09-02,16.25,17.5,16.25,16.25,28994,0
1980-09-03,15.0,16.25,15.0,15.0,23594,0
1980-09-04,13.75,15.0,13.75,13.75,46994,0
1980-09-05,13.75,15.0,13.75,13.75,8699,0
1980-09-08,12.5,13.75,12.5,12.5,36299,0
1980-09-09,15.0,16.25,15.0,15.0,44594,0
1980-09-10,16.25,17.5,16.25,16.25,82499,0
1980-09-11,15.0,16.25,15.0,15.0,30794,0
1980-09-12,15.0,16.25,15.0,15.0,13394,0
1980-09-15,15.0,16.25,15.0,15.0,25994,0
1980-09-16,16.25,17.5,16.25,16.25,74294,0
1980-09-17,16.25,17.5,16.25,16.25,59099,0
1980-09-18,16.25,17.5,16.25,16.25,79094,0
1980-09-19,16.25,17.5,16.25,16.25,41594,0
1980-09-22,16.25,17.5,16.25,16.25,24104,0
1980-09-23,13.75,15.0,13.75,13.75,42704,0
1980-09-24,15.0,16.25,15.0,15.0,25694,0
1980-09-25,16.25,16.25,16.25,16.25,38399,0
1980-09-26,15.0,15.0,15.0,15.0,57794,0
1980-09-29,13.75,15.0,13.75,13.75,26894,0
1980-09-30,13.75,15.0,13.75,13.75,11699,0
1980-10-01,15.0,16.25,15.0,15.0,55994,0
1980-10-02,16.25,17.5,16.25,16.25,71099,0
1980-10-03,16.25,17.5,16.25,16.25,25304,0
1980-10-06,16.25,17.5,16.25,16.25,20894,0
1980-10-07,17.5,18.75,17.5,17.5,36194,0
1980-10-08,17.5,18.75,17.5,17.5,75794,0
1980-10-09,17.5,18.75,17.5,17.5,43004,0
1980-10-10,18.75,20.0,18.75,18.75,166604,0
1980-10-13,18.75,20.0,18.75,18.75,24899,0
1980-10-14,20.0,21.25,20.0,20.0,70304,0
1980-10-15,20.0,20.0,20.0,20.0,41699,0
1980-10-16,18.75,20.0,18.75,18.75,69704,0
1980-10-17,17.5,18.75,17.5,17.5,76004,0
1980-10-20,17.5,17.5,17.5,17.5,27104,0
1980-10-21,17.5,17.5,17.5,17.5,36299,0
1980-10-22,17.5,18.75,17.5,17.5,23204,0
1980-10-23,18.75,20.0,18.75,18.75,113504,0
1980-10-24,20.0,21.25,20.0,20.0,50294,0
1980-10-27,18.75,20.0,18.75,18.75,32204,0
1980-10-28,18.75,20.0,18.75,18.75,23099,0
1980-10-29,18.75,20.0,18.75,18.75,15194,0
1980-10-30,18.75,20.0,18.75,18.75,4199,0
1980-10-31,18.75,20.0,18.75,18.75,7499,0
1980-11-03,20.0,21.25,20.0,20.0,23204,0
1980-11-05,18.75,20.0,18.75,18.75,42404,0
1980-11-06,17.5,17.5,17.5,17.5,54899,0
1980-11-07,17.5,18.75,17.5,17.5,66599,0
1980-11-10,17.5,18.75,17.5,17.5,16094,0
1980-11-11,18.75,20.0,18.75,18.75,27299,0
1980-11-12,18.75,20.0,18.75,18.75,18404,0
1980-11-13,20.0,21.25,20.0,20.0,41804,0
