Date,Open,High,Low,Close,Volume,openinterest
2007-12-28,26.5,26.95,26.48,26.95,360,0
2008-01-02,26.85,27.27,26.85,27.27,100,0
2008-01-03,28.46,28.46,28.46,28.46,50,0
2008-01-08,27.73,27.73,27.73,27.73,40,0
2008-01-10,27.16,27.16,27.16,27.16,35,0
2008-01-11,26.8,27.45,26.61,27.45,26,0
2008-01-15,27.12,27.14,27.12,27.14,220,0
2008-01-16,26.6,26.6,26.6,26.6,370,0
2008-01-17,27.35,27.35,27.35,27.35,35,0
2008-01-18,26.4,26.4,26.34,26.34,501,0
2008-01-22,23.3,24.0,23.3,24.0,1150,0
2008-01-23,24.0,24.0,22.87,22.87,385,0
2008-01-24,24.5,24.5,24.5,24.5,2050,0
2008-01-25,25.0,25.0,25.0,25.0,215,0
2008-01-28,25.65,25.65,25.65,25.65,20,0
2008-01-30,25.59,25.59,25.59,25.59,50,0
2008-01-31,25.08,25.26,25.07,25.26,1015,0
2008-02-04,26.39,26.39,26.08,26.09,93,0
2008-02-05,25.57,25.57,24.64,24.64,65,0
2008-02-11,22.7,22.7,22.7,22.7,150,0
2008-02-13,24.13,24.32,23.95,24.32,230,0
2008-02-15,27.19,27.19,26.0,26.0,850,0
2008-02-21,27.13,27.13,27.13,27.13,40,0
2008-03-03,24.41,24.41,24.41,24.41,550,0
2008-03-06,25.5,25.5,25.2,25.2,84,0
2008-03-11,24.35,24.35,24.35,24.35,170,0
2008-03-12,25.1,25.19,25.1,25.19,935,0
2008-03-18,24.09,24.09,24.09,24.09,25,0
2008-03-19,24.15,24.31,24.15,24.31,180,0
2008-03-20,24.48,24.48,24.48,24.48,100,0
2008-03-31,29.3,29.3,29.3,29.3,65,0
2008-04-01,29.81,29.81,29.81,29.81,50,0
2008-04-02,28.5,28.5,28.5,28.5,200,0
2008-04-04,28.15,28.15,28.15,28.15,18,0
2008-04-08,28.0,28.0,28.0,28.0,300,0
2008-04-09,27.08,27.08,27.08,27.08,32,0
2008-04-11,26.81,26.81,26.81,26.81,38,0
2008-04-17,26.8,26.8,26.8,26.8,1000,0
2008-04-21,26.85,26.85,26.85,26.85,10,0
2008-04-23,26.28,26.28,26.02,26.02,200,0
2008-04-24,26.1,26.1,26.1,26.1,150,0
