Date,Open,High,Low,Close,Volume,openinterest
2013-09-16,32.0,33.0,31.35,31.43,2300,0
2013-09-17,30.82,30.82,30.82,30.82,100,0
2013-09-18,31.1,31.26,30.08,30.59,2800,0
2013-09-19,30.3,30.36,29.5,29.51,12100,0
2013-09-20,29.6,29.79,29.4,29.79,16774,0
2013-09-23,29.8,30.2,29.776,30.0,13850,0
2013-09-24,30.0,30.25,29.95,30.18,14100,0
2013-09-25,30.23,31.0,30.0,31.0,9400,0
2013-09-26,30.69,34.42,30.5,34.0,7842,0
2013-09-27,33.68,35.79,33.67,35.25,243258,0
2013-09-30,36.0,37.5,33.05,33.75,955145,0
2013-10-01,33.52,35.18,31.515,33.8,1483426,0
2013-10-02,33.54,34.5,32.91,33.15,633616,0
2013-10-03,33.75,33.79,33.07,33.69,678743,0
2013-10-04,32.93,33.49,32.28,32.76,686817,0
2013-10-07,32.18,33.05,32.0,32.84,837782,0
2013-10-08,32.17,33.1,31.17,32.49,771978,0
2013-10-09,32.18,33.09,31.54,32.86,394477,0
2013-10-10,32.65,33.35,32.37,33.28,536630,0
2013-10-11,32.85,33.41,32.35,33.21,577870,0
2013-10-14,33.22,33.75,32.91,33.56,385210,0
2013-10-15,33.3,33.74,32.7,33.52,808984,0
2013-10-16,33.34,33.63,33.04,33.41,360034,0
2013-10-17,33.1,33.67,33.0,33.48,208034,0
2013-10-18,33.75,33.75,33.16,33.56,314382,0
2013-10-21,33.56,34.03,33.5,33.88,311639,0
2013-10-22,33.9,34.31,33.72,34.25,215631,0
2013-10-23,33.94,34.82,33.936,34.66,118922,0
2013-10-24,34.59,35.0,34.2,34.92,82516,0
2013-10-25,35.0,35.26,34.7,35.18,84946,0
2013-10-28,35.05,36.16,35.0,36.1,323466,0
2013-10-29,35.98,36.57,35.63,36.1,223594,0
2013-10-30,36.9,36.96,35.3801,36.32,225584,0
2013-10-31,36.14,37.0,34.26,35.25,581271,0
2013-11-01,35.0,35.64,34.614000000000004,35.44,251447,0
2013-11-04,35.5,35.7,34.14,35.55,259432,0
2013-11-05,35.31,35.9,34.64,35.61,269191,0
2013-11-06,35.66,35.93,35.14,35.39,141290,0
2013-11-07,35.62,36.67,34.67,36.14,404246,0
2013-11-08,36.11,36.3,35.54,36.2,168822,0
2013-11-11,36.08,36.62,36.08,36.47,139249,0
2013-11-12,36.4,36.83,36.08,36.67,149348,0
2013-11-13,36.32,38.61,36.32,38.38,258346,0
2013-11-14,38.48,39.88,37.56,38.64,342341,0
2013-11-15,38.91,39.02,38.345,38.73,216156,0
2013-11-18,38.68,38.91,37.815,38.24,195972,0
2013-11-19,38.09,38.64,37.852,38.33,118821,0
2013-11-20,38.0,38.64,37.66,38.62,163677,0
2013-11-21,38.51,39.07,37.52,39.03,191125,0
2013-11-22,38.7,38.9,38.0,38.66,165898,0
2013-11-25,38.59,38.59,37.52,38.48,188782,0
2013-11-26,38.26,38.545,36.54,36.57,560392,0
2013-11-27,36.7,37.61,36.42,37.4,129998,0
2013-11-29,36.74,37.66,36.74,36.85,68389,0
2013-12-02,36.57,37.58,36.025,36.81,131471,0
2013-12-03,36.36,36.36,34.321,34.76,630460,0
2013-12-04,34.75,35.07,32.68,33.89,666568,0
2013-12-05,33.96,34.6299,33.652,34.49,643899,0
2013-12-06,34.75,34.855,34.28,34.43,471440,0
2013-12-09,34.2,34.28,33.14,33.21,429572,0
2013-12-10,33.06,34.61,33.03,34.44,666331,0
2013-12-11,34.44,35.88,33.85,35.65,476696,0
2013-12-12,35.6,35.66,34.09,34.78,461437,0
2013-12-13,33.05,34.175,32.3,33.71,1223528,0
2013-12-16,33.42,33.504,31.63,32.03,717046,0
2013-12-17,31.92,32.44,31.85,32.11,620579,0
2013-12-18,32.1,32.55,30.87,30.94,547522,0
2013-12-19,31.03,31.3,30.239,31.07,908812,0
2013-12-20,30.96,31.54,30.19,31.47,1697002,0
2013-12-23,31.44,32.51,31.41,31.61,395916,0
2013-12-24,31.55,32.2,31.08,31.47,128601,0
2013-12-26,31.46,32.28,31.06,32.1,147310,0
2013-12-27,32.01,32.72,31.6901,32.2,197195,0
2013-12-30,32.06,32.8,31.75,32.43,324383,0
2013-12-31,32.33,33.39,32.33,33.07,236014,0
2014-01-02,33.02,33.2,32.5,32.64,166181,0
2014-01-03,33.1262,33.72,32.64,33.71,259659,0
2014-01-06,33.56,33.79,33.0,33.66,598118,0
2014-01-07,33.59,34.69,33.2,34.55,270266,0
2014-01-08,34.44,35.07,33.79,35.04,510102,0
2014-01-09,35.04,35.81,35.0,35.64,469301,0
2014-01-10,35.4,36.16,35.4,36.08,409167,0
2014-01-13,35.51,36.5,35.51,36.16,307332,0
2014-01-14,36.0,36.87,35.65,36.77,279600,0
2014-01-15,36.96,37.59,36.79,37.05,414348,0
2014-01-16,36.98,37.24,36.73,37.1,413872,0
2014-01-17,36.94,37.37,36.61,36.89,165001,0
2014-01-21,36.75,37.66,36.75,37.6,446724,0
2014-01-22,37.59,38.0299,37.52,38.01,309463,0
2014-01-23,37.74,38.27,37.07,38.26,334956,0
2014-01-24,39.35,39.35,37.06,37.61,290033,0
2014-01-27,37.52,37.52,36.22,36.61,405253,0
2014-01-28,36.51,37.19,36.5,36.79,182215,0
2014-01-29,36.57,36.94,36.5,36.71,260394,0
2014-01-30,36.98,37.71,36.9,37.25,237493,0
2014-01-31,37.0,37.16,36.875,37.01,242928,0
2014-02-03,37.0,37.1,35.65,35.97,581016,0
2014-02-04,36.0,36.66,35.71,36.51,339755,0
2014-02-05,36.5,36.82,35.96,35.96,259554,0
2014-02-06,35.83,36.67,35.57,35.95,129095,0
2014-02-07,35.96,37.0,35.7001,36.52,173234,0
2014-02-10,36.52,37.04,36.33,36.9,209283,0
2014-02-11,37.03,37.44,36.97,37.19,141787,0
2014-02-12,37.09,37.25,36.65,36.74,112547,0
2014-02-13,36.75,37.44,36.72,37.22,126946,0
2014-02-14,37.1,37.32,36.96,36.97,80768,0
2014-02-18,36.78,37.16,36.38,37.07,155051,0
2014-02-19,36.84,37.49,36.42,36.56,129353,0
2014-02-20,36.55,37.58,36.39,37.53,128325,0
2014-02-21,37.43,37.77,36.82,37.32,108903,0
2014-02-24,37.17,37.7918,36.41,36.58,171099,0
2014-02-25,36.52,37.36,36.32,36.84,139591,0
2014-02-26,36.83,37.68,36.81,37.13,110193,0
2014-02-27,37.07,37.3551,36.92,36.93,91179,0
2014-02-28,36.85,37.76,36.77,37.3,170400,0
2014-03-03,37.01,38.0,36.35,37.92,172984,0
2014-03-04,38.0,38.75,38.0,38.5,167792,0
2014-03-05,38.12,38.12,36.68,37.55,308256,0
2014-03-06,37.54,38.18,37.25,37.57,210039,0
2014-03-07,37.59,38.35,37.25,37.78,274368,0
2014-03-10,37.54,38.269,37.47,37.83,222706,0
2014-03-11,37.81,37.81,36.83,36.94,207497,0
2014-03-12,36.71,36.92,35.29,35.43,285818,0
2014-03-13,35.39,35.58,34.45,34.65,289279,0
2014-03-14,34.28,36.19,34.28,35.05,411600,0
2014-03-17,35.05,36.48,34.81,36.34,126874,0
2014-03-18,36.47,37.23,36.47,36.99,175959,0
2014-03-19,36.94,37.2,36.42,36.51,79354,0
2014-03-20,36.74,37.07,36.42,37.05,123861,0
2014-03-21,37.13,38.42,37.065,37.31,413159,0
2014-03-24,37.59,37.7,36.68,37.41,193342,0
2014-03-25,37.38,37.61,35.88,36.68,247748,0
2014-03-26,36.75,37.12,36.41,36.81,119986,0
2014-03-27,35.61,36.48,35.42,36.42,205332,0
2014-03-28,36.4,37.64,36.23,36.58,251186,0
2014-03-31,36.59,37.6,36.47,37.39,192206,0
2014-04-01,37.25,37.42,36.05,36.31,301264,0
2014-04-02,36.19,36.66,35.25,36.35,273458,0
2014-04-03,36.15,36.3,35.27,35.62,538645,0
2014-04-04,35.61,35.98,34.555,34.97,234408,0
2014-04-07,34.07,35.85,34.04,35.43,439772,0
2014-04-08,35.33,36.2,35.17,35.96,239428,0
2014-04-09,36.32,39.34,36.32,39.03,1017559,0
2014-04-10,37.85,39.3,37.84,38.77,509087,0
2014-04-11,37.96,38.92,37.56,37.78,215869,0
2014-04-14,37.93,39.14,37.93,38.42,237173,0
2014-04-15,38.31,38.97,37.79,38.78,218474,0
2014-04-16,38.83,39.0,38.47,38.65,174529,0
2014-04-17,38.56,39.19,38.42,39.03,164584,0
2014-04-21,38.89,39.62,38.44,39.08,216069,0
2014-04-22,39.13,39.75,39.1,39.69,212314,0
2014-04-23,39.57,39.99,39.38,39.73,174643,0
2014-04-24,39.77,39.94,38.99,39.24,224418,0
2014-04-25,39.24,39.79,39.0158,39.42,137207,0
2014-04-28,39.4,39.68,38.22,39.05,314613,0
2014-04-29,39.07,39.25,38.351,38.51,174280,0
2014-04-30,38.89,39.05,38.28,39.0,237198,0
2014-05-01,39.01,39.35,38.66,38.78,162743,0
2014-05-02,38.79,39.07,38.24,38.26,166919,0
2014-05-05,38.16,38.21,37.71,37.75,238548,0
2014-05-06,37.55,37.97,37.3,37.96,229976,0
2014-05-07,37.82,37.97,37.27,37.92,288218,0
2014-05-08,37.74,38.0,36.61,36.64,254304,0
2014-05-09,36.55,37.63,36.465,37.54,175895,0
2014-05-12,37.61,38.55,37.44,37.5,208420,0
2014-05-13,37.54,38.125,37.5,37.56,116410,0
2014-05-14,37.55,38.12,37.27,37.51,131123,0
2014-05-15,37.51,37.72,37.0,37.52,148651,0
2014-05-16,37.32,37.53,36.56,37.09,134219,0
2014-05-19,36.92,37.62,36.86,37.16,175801,0
2014-05-20,37.12,37.12,36.2601,36.82,136471,0
2014-05-21,36.9,38.25,36.9,37.48,263160,0
2014-05-22,37.58,37.95,37.15,37.84,177758,0
2014-05-23,37.66,38.32,37.35,38.2,104432,0
2014-05-27,38.06,39.25,37.97,38.76,161381,0
2014-05-28,38.755,39.3,38.33,39.09,180530,0
2014-05-29,39.05,39.07,38.385,38.75,166946,0
2014-05-30,38.74,39.04,38.53,38.73,148251,0
2014-06-02,38.72,38.95,38.4,38.52,117168,0
2014-06-03,38.47,38.61,37.97,38.03,229475,0
2014-06-04,37.9,39.4,37.9,39.31,214866,0
2014-06-05,39.28,39.49,38.78,39.23,186209,0
2014-06-06,39.43,41.23,39.43,40.21,503560,0
2014-06-09,40.1,40.3,38.650999999999996,39.72,488710,0
2014-06-10,41.0,43.15,40.21,42.96,690125,0
2014-06-11,42.99,44.83,42.96,44.54,510744,0
2014-06-12,44.33,44.81,43.33,43.48,973220,0
2014-06-13,43.62,44.6196,43.22,44.53,251015,0
2014-06-16,44.28,44.43,42.75,42.78,323883,0
2014-06-17,42.77,43.52,42.38,42.72,337113,0
2014-06-18,42.69,42.75,41.72,42.43,197156,0
2014-06-19,42.62,42.68,42.41,42.52,305199,0
2014-06-20,42.69,44.16,42.67,43.73,454913,0
2014-06-23,43.7,44.925,43.65,44.52,266532,0
2014-06-24,44.32,45.0,44.01,44.78,262694,0
2014-06-25,44.8,45.7,44.42,45.64,541737,0
2014-06-26,45.36,45.64,45.165,45.51,272361,0
2014-06-27,45.17,45.665,44.71,44.85,3334497,0
2014-06-30,44.8,44.99,44.05,44.16,383507,0
2014-07-01,44.18,45.6144,44.18,45.01,485007,0
2014-07-02,44.83,45.09,44.66,44.83,331551,0
2014-07-03,44.84,45.69,44.84,45.47,247210,0
2014-07-07,45.41,45.41,44.46,44.7,462568,0
2014-07-08,44.68,44.94,44.38,44.7,522108,0
2014-07-09,44.59,44.91,43.11,43.99,429595,0
2014-07-10,43.09,43.82,42.96,43.2,249181,0
2014-07-11,42.72,42.98,42.38,42.52,232215,0
2014-07-14,42.74,42.86,42.19,42.78,179340,0
2014-07-15,42.83,43.41,42.74,43.1,265905,0
2014-07-16,43.39,43.54,42.46,42.9,554512,0
2014-07-17,42.8,42.81,41.61,41.92,252239,0
2014-07-18,41.79,43.76,41.75,43.46,315000,0
2014-07-21,43.27,43.56,42.7,43.36,229273,0
2014-07-22,43.47,43.8,43.15,43.26,156419,0
