Date,Open,High,Low,Close,Volume,openinterest
2020-11-06,25.75,25.756999999999998,25.74,25.756999999999998,302,0
2020-11-12,27.205,27.205,26.995,26.995,115,0
2020-11-13,27.7584,27.8188,27.7584,27.8188,405,0
2020-11-17,28.56,28.56,28.51,28.51,622,0
2020-11-18,28.83,28.95,28.77,28.77,9404,0
2020-11-19,28.38,28.4113,28.38,28.4113,1185,0
2020-11-20,28.43,28.43,28.1598,28.1644,535,0
2020-11-23,28.75,28.7752,28.75,28.7501,249,0
2020-11-24,29.285,29.41,29.2763,29.38,5547,0
2020-11-25,29.07,29.22,29.07,29.1969,643,0
2020-11-27,29.13,29.13,29.13,29.13,332,0
2020-11-30,29.09,29.09,28.47,28.5082,776,0
2020-12-02,28.94,28.9799,28.94,28.9531,1745,0
2020-12-03,29.46,29.465,29.275,29.275,272,0
2020-12-07,29.67,29.67,29.592,29.592,521,0
2020-12-09,30.0,30.0,29.64,29.82,1524,0
2020-12-10,29.57,29.73,29.57,29.655,881,0
2020-12-11,29.51,29.51,29.51,29.51,102,0
2020-12-14,29.35,29.3501,29.2225,29.2225,383,0
2020-12-18,29.177,29.177,29.006999999999998,29.1314,353,0
2020-12-21,28.53,28.5336,28.53,28.5336,407,0
2020-12-23,29.085,29.085,29.0356,29.0356,1112,0
2020-12-31,29.0359,29.2067,29.0359,29.2067,278,0
