Date,Open,High,Low,Close,Volume,openinterest
2009-08-11,29.925,29.925,29.925,29.925,2700,0
2009-09-25,35.95,35.95,35.568000000000005,35.568000000000005,919,0
2009-09-28,36.0,36.0,36.0,36.0,12750,0
2009-09-30,36.16,36.16,36.16,36.16,400,0
2009-10-21,40.95,40.95,40.95,40.95,300,0
2009-10-30,39.252,40.27,39.252,40.27,4700,0
2009-11-11,39.865,39.96,39.865,39.96,15800,0
2009-11-12,38.725,39.295,38.725,39.295,6000,0
2009-11-13,38.377,38.377,38.377,38.377,44100,0
2009-11-16,37.589,37.589,37.589,37.589,19000,0
2009-11-20,37.95,38.42,37.95,38.42,1300,0
2009-11-23,40.135,40.42,40.135,40.42,800,0
2009-11-24,38.605,38.605,38.605,38.605,3100,0
2009-12-01,41.675,41.675,41.675,41.675,500,0
2009-12-08,46.34,46.349,46.34,46.34,7200,0
2009-12-10,44.12600000000001,44.12600000000001,43.93600000000001,43.93600000000001,2200,0
2009-12-17,42.9,42.9,42.9,42.9,300,0
2009-12-18,40.99800000000001,40.99800000000001,40.99800000000001,40.99800000000001,500,0
2009-12-22,41.54899999999999,41.54899999999999,41.45400000000001,41.45400000000001,1000,0
2009-12-29,43.816,44.135,43.462,44.135,1600,0
2009-12-31,44.413000000000004,44.413000000000004,44.317,44.317,600,0
2010-01-07,46.74500000000001,46.842,46.74500000000001,46.842,1000,0
2010-01-08,45.191,45.191,44.708,44.708,6300,0
2010-01-12,48.237,48.237,48.237,48.237,800,0
2010-01-13,46.091,46.19,46.091,46.19,4600,0
2010-01-19,46.49100000000001,46.49100000000001,46.49100000000001,46.49100000000001,2033,0
2010-01-20,46.746,46.746,46.746,46.746,1000,0
2010-01-22,44.937,44.937,44.843,44.843,800,0
2010-01-26,43.56,43.56,43.28,43.28,2000,0
2010-01-27,42.84500000000001,42.84500000000001,42.375,42.375,700,0
2010-02-01,41.06099999999999,41.06099999999999,40.686,40.686,3900,0
2010-02-08,38.325,38.325,38.232,38.232,4300,0
2010-02-09,38.858,38.951,38.858,38.951,1000,0
2010-02-10,39.63,39.63,39.63,39.63,1000,0
2010-02-25,40.851,40.851,40.851,40.851,867,0
2010-03-25,42.25899999999999,42.25899999999999,42.25899999999999,42.25899999999999,500,0
2010-03-29,39.63,39.63,39.63,39.63,2500,0
2010-04-13,39.938,39.938,39.938,39.938,300,0
2010-04-15,37.99500000000001,37.99500000000001,37.99500000000001,37.99500000000001,500,0
2010-04-23,38.224,38.224,38.224,38.224,1500,0
2010-04-26,39.1,39.1,39.1,39.1,1200,0
2010-04-27,38.771,38.771,38.771,38.771,1000,0
2010-05-05,38.666,38.666,38.666,38.666,600,0
2010-05-11,39.0,39.0,39.0,39.0,1000,0
2010-05-13,41.441,41.441,41.441,41.441,1900,0
2010-05-21,35.46,35.46,35.46,35.46,10000,0
2010-05-25,33.742000000000004,33.742000000000004,33.660000000000004,33.660000000000004,3200,0
2010-06-07,33.999,33.999,33.999,33.999,1000,0
2010-06-08,34.315000000000005,34.315000000000005,34.315000000000005,34.315000000000005,700,0
2010-06-11,33.693000000000005,33.898,33.684,33.898,4000,0
2010-06-15,33.565999999999995,33.596,33.565999999999995,33.596,1300,0
2010-06-18,34.577,34.577,34.577,34.577,1000,0
2010-06-22,34.741,34.741,34.637,34.637,1200,0
2010-06-30,32.77,32.77,32.77,32.77,300,0
2010-07-02,32.321,32.321,32.321,32.321,4800,0
2010-07-09,32.61,32.61,32.415,32.415,3200,0
2010-07-13,32.021,32.033,31.820999999999998,31.820999999999998,8000,0
2010-07-14,33.071999999999996,33.095,33.071999999999996,33.095,113960,0
