Date,Open,High,Low,Close,Volume,openinterest
1996-08-13,1.85,1.9,1.85,1.9,5000,0
1996-08-14,1.85,1.85,1.85,1.85,2500,0
1996-08-15,1.85,1.85,1.78,1.78,2800,0
1996-08-16,1.8,1.8,1.78,1.78,5400,0
1996-08-19,1.78,1.78,1.78,1.78,0,0
1996-08-20,1.8,1.83,1.76,1.83,11400,0
1996-08-21,1.83,1.83,1.83,1.83,0,0
1996-08-22,1.76,1.76,1.76,1.76,1000,0
1996-08-23,1.76,1.85,1.76,1.85,5300,0
1996-08-26,1.85,1.85,1.85,1.85,0,0
1996-08-27,1.76,1.76,1.75,1.75,3200,0
1996-08-28,1.67,1.67,1.62,1.62,209200,0
1996-08-29,1.6,1.6,1.55,1.6,3800,0
1996-08-30,1.6,1.6,1.6,1.6,0,0
1996-09-03,1.57,1.57,1.55,1.55,4000,0
1996-09-04,1.6,1.6,1.5,1.5,15000,0
1996-09-05,1.5,1.5,1.4,1.4,10500,0
1996-09-06,1.5,1.5,1.45,1.45,8500,0
1996-09-09,1.5,1.5,1.35,1.5,21000,0
1996-09-10,1.5,1.55,1.5,1.5,2500,0
1996-09-11,1.45,1.6,1.45,1.6,6000,0
1996-09-12,1.6,1.75,1.5,1.7,13000,0
1996-09-13,1.7,1.7,1.7,1.7,1500,0
1996-09-16,1.75,1.75,1.6,1.6,5500,0
1996-09-17,1.52,1.6,1.48,1.6,17900,0
1996-09-18,1.6,1.6,1.6,1.6,25000,0
1996-09-19,1.6,1.6,1.45,1.45,14500,0
1996-09-20,1.45,1.45,1.45,1.45,0,0
1996-09-23,1.5,1.5,1.45,1.45,9000,0
1996-09-24,1.5,1.58,1.5,1.58,11000,0
1996-09-25,1.45,1.5,1.45,1.5,15800,0
1996-09-26,1.4,1.4,1.4,1.4,500,0
1996-09-27,1.4,1.4,1.4,1.4,0,0
1996-09-30,1.4,1.4,1.4,1.4,3000,0
1996-10-01,1.4,1.4,1.4,1.4,0,0
1996-10-02,1.4,1.4,1.4,1.4,6500,0
1996-10-03,1.4,1.4,1.4,1.4,35600,0
1996-10-04,1.4,1.4,1.4,1.4,0,0
1996-10-07,1.35,1.35,1.35,1.35,2500,0
1996-10-08,1.4,1.49,1.4,1.49,7700,0
1996-10-09,1.49,1.49,1.49,1.49,400,0
1996-10-10,1.49,1.49,1.49,1.49,700,0
1996-10-11,1.49,1.49,1.49,1.49,2000,0
1996-10-15,1.69,1.69,1.69,1.69,3000,0
1996-10-16,1.6,1.6,1.6,1.6,1000,0
1996-10-17,1.6,1.6,1.6,1.6,0,0
1996-10-18,1.49,1.49,1.49,1.49,300,0
1996-10-21,1.69,1.7,1.59,1.59,22500,0
1996-10-22,1.59,1.6,1.5,1.5,40500,0
1996-10-23,1.48,1.48,1.48,1.48,3000,0
1996-10-24,1.49,1.5,1.49,1.5,10000,0
1996-10-25,1.47,1.49,1.45,1.49,40800,0
1996-10-28,1.4,1.45,1.4,1.45,17700,0
1996-10-29,1.45,1.5,1.35,1.5,27100,0
1996-10-30,1.35,1.45,1.35,1.45,14500,0
1996-10-31,1.45,1.45,1.45,1.45,0,0
