Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,1.5859999999999999,1.6485,1.5859999999999999,1.5859999999999999,53900,0
1980-03-18,1.5625,1.57813125,1.5625,1.5625,15800,0
1980-03-19,1.53125,1.60163125,1.53125,1.53125,44100,0
1980-03-20,1.54688125,1.55475,1.53125,1.54688125,55900,0
1980-03-21,1.5625,1.5625,1.51563125,1.5625,12500,0
1980-03-24,1.53913125,1.55475,1.51563125,1.53913125,24000,0
1980-03-25,1.5625,1.57813125,1.53913125,1.5625,51400,0
1980-03-26,1.5625,1.57813125,1.55475,1.5625,17500,0
1980-03-27,1.5625,1.5625,1.51563125,1.5625,16400,0
1980-03-28,1.625,1.625,1.57038125,1.625,22200,0
1980-03-31,1.625,1.6485,1.625,1.625,15600,0
1980-04-01,1.67188125,1.67188125,1.625,1.67188125,18600,0
1980-04-02,1.73438125,1.76563125,1.66413125,1.73438125,35000,0
1980-04-03,1.8125,1.8125,1.75,1.8125,16200,0
1980-04-07,1.78125,1.8125,1.76563125,1.78125,25800,0
1980-04-08,1.74225,1.74225,1.66413125,1.74225,37800,0
1980-04-09,1.79688125,1.79688125,1.75,1.79688125,19700,0
1980-04-10,1.79688125,1.8125,1.78125,1.79688125,51000,0
1980-04-11,1.78913125,1.80475,1.78125,1.78913125,12700,0
1980-04-14,1.7735,1.78125,1.75,1.7735,27900,0
1980-04-15,1.75,1.78125,1.74225,1.75,7300,0
1980-04-16,1.79688125,1.8359999999999999,1.75,1.79688125,46200,0
1980-04-17,1.78125,1.79688125,1.7735,1.78125,16800,0
1980-04-18,1.76563125,1.76563125,1.75,1.76563125,10500,0
1980-04-21,1.73438125,1.75788125,1.73438125,1.73438125,6800,0
1980-04-22,1.80475,1.80475,1.75,1.80475,24300,0
1980-04-23,1.78125,1.8125,1.7735,1.78125,14300,0
1980-04-24,1.75788125,1.7735,1.73438125,1.75788125,32300,0
1980-04-25,1.72663125,1.72663125,1.71875,1.72663125,6600,0
1980-04-28,1.74225,1.74225,1.73438125,1.74225,14100,0
1980-04-29,1.74225,1.74225,1.72663125,1.74225,6500,0
1980-04-30,1.75,1.75,1.71875,1.75,17800,0
1980-05-01,1.76563125,1.7735,1.73438125,1.76563125,10400,0
1980-05-02,1.75,1.76563125,1.73438125,1.75,4900,0
1980-05-05,1.7735,1.7735,1.73438125,1.7735,8900,0
1980-05-06,1.79688125,1.79688125,1.75788125,1.79688125,21100,0
1980-05-07,1.78913125,1.80475,1.78913125,1.78913125,13600,0
1980-05-08,1.78125,1.78913125,1.75788125,1.78125,11600,0
1980-05-09,1.75788125,1.78125,1.75,1.75788125,28700,0
1980-05-12,1.78913125,1.78913125,1.76563125,1.78913125,8700,0
1980-05-13,1.85163125,1.85938125,1.80475,1.85163125,54900,0
1980-05-14,1.875,1.88288125,1.85163125,1.875,22500,0
1980-05-15,1.92975,1.92975,1.86725,1.92975,41900,0
1980-05-16,1.92975,1.96875,1.92975,1.92975,47100,0
1980-05-19,1.86725,1.89063125,1.86725,1.86725,17500,0
1980-05-20,1.875,1.875,1.85163125,1.875,14300,0
1980-05-21,1.8985,1.90625,1.88288125,1.8985,13700,0
1980-05-22,1.89063125,1.90625,1.88288125,1.89063125,9800,0
1980-05-23,1.8985,1.91413125,1.89063125,1.8985,5100,0
1980-05-27,1.91413125,1.9375,1.89063125,1.91413125,25800,0
1980-05-28,1.90625,1.90625,1.875,1.90625,15700,0
1980-05-29,1.85938125,1.92975,1.85938125,1.85938125,12100,0
1980-05-30,1.84375,1.85163125,1.8125,1.84375,25800,0
1980-06-02,1.85938125,1.85938125,1.82813125,1.85938125,8600,0
1980-06-03,1.86725,1.86725,1.84375,1.86725,190800,0
1980-06-04,1.84375,1.85938125,1.84375,1.84375,14400,0
1980-06-05,1.875,1.89063125,1.84375,1.875,22400,0
1980-06-06,1.875,1.88288125,1.86725,1.875,13700,0
1980-06-09,1.875,1.875,1.84375,1.875,35000,0
1980-06-10,1.88288125,1.8985,1.86725,1.88288125,10500,0
1980-06-11,1.90625,1.90625,1.875,1.90625,23600,0
1980-06-12,1.92975,1.9375,1.91413125,1.92975,49500,0
1980-06-13,1.96875,1.98438125,1.9375,1.96875,13100,0
1980-06-16,1.9609999999999999,1.97663125,1.9375,1.9609999999999999,13800,0
