Date,Open,High,Low,Close,Volume,openinterest
1996-08-23,2.375,2.375,2.25,2.3125,1258800,0
1996-08-26,2.3125,2.3125,2.28125,2.3125,147500,0
1996-08-27,2.3125,2.5,2.28125,2.46875,234200,0
1996-08-28,2.5,2.75,2.4375,2.5625,191600,0
1996-08-29,2.5625,2.625,2.5,2.5,148600,0
1996-08-30,2.5,2.5,2.34375,2.4375,44600,0
1996-09-03,2.4375,2.4375,2.1875,2.28125,82300,0
1996-09-04,2.25,2.375,2.25,2.375,40500,0
1996-09-05,2.375,2.375,2.25,2.28125,33000,0
1996-09-06,2.21875,2.28125,2.1875,2.25,47700,0
1996-09-09,2.3125,2.53125,2.3125,2.375,63500,0
1996-09-10,2.375,2.375,2.3125,2.3125,3600,0
1996-09-11,2.3125,2.40625,2.3125,2.34375,58400,0
1996-09-12,2.34375,2.5,2.34375,2.34375,8200,0
1996-09-13,2.34375,2.375,2.3125,2.34375,19700,0
1996-09-16,2.3125,2.375,2.3125,2.34375,36600,0
1996-09-17,2.3125,2.375,2.3125,2.3125,43100,0
1996-09-18,2.375,2.375,2.25,2.25,22200,0
1996-09-19,2.1875,2.1875,2.1875,2.1875,1500,0
1996-09-20,2.28125,2.34375,2.25,2.28125,3800,0
1996-09-23,2.21875,2.34375,2.21875,2.21875,8400,0
1996-09-24,2.21875,2.34375,2.1875,2.1875,53500,0
1996-09-25,2.3125,2.34375,2.25,2.34375,15200,0
1996-09-26,2.34375,2.375,2.28125,2.375,29300,0
1996-09-27,2.375,2.453125,2.3125,2.34375,26700,0
1996-09-30,2.4375,2.4375,2.28125,2.28125,11500,0
1996-10-01,2.3125,2.3125,2.1875,2.1875,11600,0
1996-10-02,2.28125,2.28125,2.21875,2.28125,14500,0
1996-10-03,2.28125,2.28125,2.28125,2.28125,1700,0
1996-10-04,2.28125,2.28125,2.1875,2.21875,15000,0
1996-10-07,2.1875,2.21875,2.1875,2.21875,38500,0
1996-10-08,2.1875,2.3125,2.1875,2.1875,72700,0
1996-10-09,2.25,2.25,2.09375,2.09375,41500,0
1996-10-10,2.09375,2.1875,2.09375,2.125,24500,0
1996-10-11,2.125,2.21875,2.0625,2.0625,24800,0
1996-10-14,2.0625,2.1875,2.0625,2.09375,28200,0
1996-10-15,2.1875,2.1875,2.09375,2.125,24800,0
1996-10-16,2.09375,2.1875,2.0,2.0,45700,0
1996-10-17,2.0,2.09375,1.90625,1.90625,25000,0
1996-10-18,2.0,2.0625,1.96875,2.0625,40800,0
1996-10-21,2.0625,2.0625,2.0,2.03125,16600,0
1996-10-22,2.0625,2.0625,1.96875,1.96875,10800,0
1996-10-23,1.96875,2.0625,1.96875,2.0625,3400,0
1996-10-24,2.0625,2.0625,1.9375,1.9375,13200,0
1996-10-25,2.0,2.0,1.9375,2.0,72200,0
1996-10-28,1.96875,2.0,1.9375,1.96875,18700,0
1996-10-29,2.0625,2.0625,1.96875,1.96875,3800,0
1996-10-30,1.96875,2.03125,1.96875,1.96875,3900,0
1996-10-31,2.0625,2.0625,1.84375,1.84375,579000,0
1996-11-01,1.90625,1.9375,1.875,1.90625,58500,0
1996-11-04,1.875,1.9375,1.875,1.9375,30800,0
1996-11-06,1.9375,2.0,1.875,1.9375,12500,0
1996-11-07,2.0,2.125,1.9375,2.125,29000,0
1996-11-08,2.15625,2.1875,2.0625,2.0625,2300,0
1996-11-11,2.1875,2.1875,2.09375,2.125,3700,0
1996-11-12,2.09375,2.125,2.09375,2.125,2300,0
1996-11-13,2.125,2.1875,2.0625,2.09375,202500,0
1996-11-14,2.09375,2.09375,2.09375,2.09375,3000,0
1996-11-15,2.09375,2.09375,2.0625,2.0625,13400,0
1996-11-18,2.15625,2.1875,2.0,2.125,193600,0
1996-11-19,2.0625,2.0625,1.9375,1.9375,5600,0
1996-11-20,1.9375,2.0,1.9375,2.0,2000,0
1996-11-21,2.0625,2.0625,1.90625,1.90625,21600,0
1996-11-22,1.90625,1.96875,1.875,1.921875,5900,0
1996-11-25,1.96875,2.0,1.96875,2.0,12600,0
1996-11-26,1.9375,2.0,1.9375,2.0,1100,0
1996-11-27,1.9375,2.0,1.9375,1.9375,6800,0
1996-11-29,1.96875,1.96875,1.96875,1.96875,100,0
1996-12-02,1.96875,1.96875,1.90625,1.90625,10200,0
1996-12-03,1.90625,1.9375,1.8125,1.9375,12700,0
1996-12-04,1.9375,2.03125,1.875,2.0,6300,0
1996-12-05,1.90625,1.9375,1.90625,1.9375,14500,0
1996-12-09,1.84375,1.84375,1.84375,1.84375,6000,0
1996-12-10,1.9375,1.9375,1.8125,1.9375,6100,0
1996-12-11,1.8125,1.875,1.75,1.765625,18000,0
1996-12-12,1.875,1.875,1.875,1.875,1100,0
