Date,Open,High,Low,Close,Volume,openinterest
2012-06-18,188.0,188.0,188.0,188.0,129,0
2012-06-19,186.0,189.3,186.0,189.3,120,0
2012-06-20,186.0,186.0,186.0,186.0,63,0
2012-06-21,181.0,190.0,181.0,190.0,257,0
2012-06-22,183.3,183.3,180.0,180.0,139,0
2012-06-25,179.0,182.2,170.05,182.2,276,0
2012-06-26,178.0,178.0,171.3,177.95,222,0
2012-06-27,171.0,171.0,170.0,170.0,184,0
2012-06-28,168.1,168.15,168.05,168.05,32,0
2012-06-29,168.05,168.05,168.0,168.0,67,0
2012-07-02,159.05,169.95,159.05,169.85,134,0
2012-07-03,161.0,169.75,161.0,169.75,15,0
2012-07-05,169.75,169.75,169.75,169.75,0,0
2012-07-06,161.0,169.3,161.0,169.3,17,0
2012-07-09,161.0,161.2,161.0,161.2,308,0
2012-07-10,161.2,161.2,160.0,160.0,249,0
2012-07-11,159.0,159.0,159.0,159.0,38,0
2012-07-12,159.0,159.0,159.0,159.0,12,0
2012-07-13,159.0,159.0,159.0,159.0,0,0
2012-07-16,149.8,149.8,149.8,149.8,16,0
2012-07-17,151.0,153.0,151.0,153.0,33,0
2012-07-18,153.15,153.15,153.15,153.15,51,0
2012-07-19,153.0,160.0,153.0,160.0,331,0
2012-07-20,167.9,167.9,157.2,157.25,329,0
2012-07-23,157.2,157.2,153.0,153.0,14,0
2012-07-24,162.15,162.15,155.0,155.0,246,0
2012-07-25,155.0,164.3,155.0,164.3,1765,0
2012-07-26,166.0,174.0,166.0,173.85,110,0
2012-07-27,179.45,179.45,175.0,175.0,15108,0
2012-07-30,175.0,175.0,175.0,175.0,0,0
2012-07-31,164.5,165.0,164.5,164.5,1346,0
2012-08-01,160.0,167.85,156.5,167.8,234,0
2012-08-02,166.0,166.0,166.0,166.0,100,0
2012-08-03,167.25,167.95,161.0,167.95,99,0
2012-08-06,167.95,167.95,167.95,167.95,0,0
2012-08-07,167.2,167.2,167.0,167.0,27,0
2012-08-08,162.0,166.75,160.0,166.75,109,0
2012-08-09,159.0,159.2,159.0,159.2,305,0
2012-08-10,160.1,160.15,160.0,160.0,374,0
2012-08-13,160.0,166.0,159.1,166.0,318,0
2012-08-14,166.0,166.0,166.0,166.0,0,0
2012-08-15,166.8,166.8,165.9,165.95,23,0
2012-08-16,166.7,169.75,166.7,169.75,40,0
2012-08-17,160.0,168.8,160.0,160.0,68,0
2012-08-20,160.0,160.0,160.0,160.0,0,0
2012-08-21,160.0,160.0,160.0,160.0,0,0
2012-08-22,160.0,165.95,160.0,165.95,15,0
2012-08-23,156.0,156.0,156.0,156.0,295,0
2012-08-24,149.65,151.0,149.65,150.0,259,0
2012-08-27,158.75,158.75,147.0,158.0,57,0
2012-08-28,158.0,158.0,158.0,158.0,10,0
2012-08-29,158.0,158.0,158.0,158.0,0,0
2012-08-30,158.0,158.0,158.0,158.0,0,0
2012-08-31,157.85,157.85,157.0,157.0,2,0
2012-09-04,156.95,156.95,156.95,156.95,0,0
2012-09-05,149.0,155.75,149.0,155.75,70,0
2012-09-06,163.2,163.2,150.2,162.55,319,0
2012-09-07,152.9,152.9,152.8,152.8,38,0
2012-09-10,147.05,147.05,147.05,147.05,50,0
2012-09-11,147.1,147.2,147.1,147.2,300,0
