Date,Open,High,Low,Close,Volume,openinterest
2012-06-18,31.36,31.5,30.1,31.5,751847,0
2012-06-19,31.57,32.55,31.29,32.06,940690,0
2012-06-20,32.13,32.97,31.71,32.97,472194,0
2012-06-21,33.11,33.32,31.92,32.27,451942,0
2012-06-22,32.97,34.23,32.9,34.16,3566133,0
2012-06-25,33.6,36.05,32.9,35.77,993074,0
2012-06-26,35.7,36.05,33.81,35.42,759511,0
2012-06-27,35.49,36.05,35.0,35.84,312291,0
2012-06-28,35.7,37.1,35.35,36.75,689708,0
2012-06-29,37.45,37.59,36.12,36.26,803807,0
2012-07-02,36.12,36.75,36.12,36.75,390758,0
2012-07-03,36.75,36.75,35.84,36.19,265642,0
2012-07-05,36.19,37.03,35.28,35.28,760538,0
2012-07-06,35.0,35.84,34.93,35.56,311401,0
2012-07-09,35.7,36.12,35.0,35.0,288018,0
2012-07-10,35.35,36.33,35.35,36.05,571478,0
2012-07-11,36.47,37.17,35.91,37.03,658112,0
2012-07-12,23.66,23.73,18.27,18.83,10293950,0
2012-07-13,19.11,19.46,16.24,16.24,5798729,0
2012-07-16,17.43,18.13,16.24,17.36,4948450,0
2012-07-17,17.29,17.29,15.89,15.96,3139542,0
2012-07-18,16.03,17.08,15.75,16.52,1670774,0
2012-07-19,16.59,16.66,16.24,16.45,761226,0
2012-07-20,16.17,16.31,15.75,15.75,913387,0
2012-07-23,15.33,15.855,15.19,15.47,729087,0
2012-07-24,15.61,15.75,14.35,14.35,770302,0
2012-07-25,14.49,14.77,11.76,12.11,2759148,0
2012-07-26,12.53,14.35,12.18,13.58,1500932,0
2012-07-27,13.72,14.14,13.3,13.93,989147,0
2012-07-30,14.35,15.89,13.58,15.68,1832590,0
2012-07-31,15.54,17.36,15.12,17.29,2719565,0
2012-08-01,17.43,18.34,16.8,17.71,1455976,0
2012-08-02,17.71,18.27,16.8,17.22,1112570,0
2012-08-03,17.78,18.27,17.43,17.99,627035,0
2012-08-06,18.2,18.34,16.17,16.38,881913,0
2012-08-07,16.59,16.87,15.33,16.17,868333,0
2012-08-08,16.24,16.66,16.03,16.1,500947,0
2012-08-09,16.17,16.8,16.03,16.38,396216,0
2012-08-10,16.24,17.57,16.17,17.08,534121,0
2012-08-13,17.36,17.64,16.59,16.66,472701,0
2012-08-14,16.87,17.08,16.52,16.59,324709,0
2012-08-15,16.59,16.8,16.38,16.52,412954,0
2012-08-16,16.52,16.94,16.52,16.94,527436,0
2012-08-17,16.94,17.08,16.24,16.38,457199,0
2012-08-20,16.31,16.45,15.82,16.1,590941,0
2012-08-21,16.38,16.45,15.68,15.75,437028,0
2012-08-22,15.75,15.82,15.05,15.12,625340,0
2012-08-23,15.12,15.54,14.77,14.84,437416,0
2012-08-24,15.82,16.8,15.47,16.45,1209299,0
2012-08-27,16.45,17.08,16.03,16.45,684242,0
2012-08-28,16.31,16.94,16.17,16.8,424566,0
2012-08-29,16.8,17.0793,16.45,16.66,339192,0
2012-08-30,16.66,16.66,16.31,16.38,664784,0
2012-08-31,16.52,16.66,16.415,16.66,326884,0
2012-09-04,16.59,16.73,15.4,15.68,760759,0
2012-09-05,15.82,16.03,15.61,15.96,531563,0
2012-09-06,16.17,16.66,15.75,16.52,699476,0
2012-09-07,16.52,16.87,16.1,16.73,512434,0
2012-09-10,16.24,17.15,16.24,17.15,426145,0
2012-09-11,17.15,17.64,16.8,16.94,389694,0
2012-09-12,17.5,18.06,16.38,16.45,507134,0
2012-09-13,16.52,16.59,16.065,16.59,340830,0
2012-09-14,16.38,17.15,16.24,16.87,379991,0
2012-09-17,16.87,17.08,16.38,16.45,285150,0
2012-09-18,16.59,17.15,16.24,16.94,450783,0
2012-09-19,17.08,17.15,16.52,16.8,379986,0
2012-09-20,16.8,16.94,16.45,16.59,458493,0
2012-09-21,16.73,16.94,16.38,16.94,1451457,0
2012-09-24,16.66,17.01,16.45,16.87,446441,0
