Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,5.25,5.4375,5.25,5.25,11799,0
1980-03-18,5.2085,5.2085,5.0835,5.2085,16699,0
1980-03-19,5.25,5.2915,5.25,5.25,7499,0
1980-03-20,5.25,5.2915,5.25,5.25,13299,0
1980-03-21,5.2915,5.2915,5.2085,5.2915,47999,0
1980-03-24,5.125,5.271,5.125,5.125,12099,0
1980-03-25,5.0835,5.1665,5.0835,5.0835,13699,0
1980-03-26,5.021,5.125,5.021,5.021,10399,0
1980-03-27,4.5835,5.0,4.5,4.5835,86199,0
1980-03-28,4.6665,4.9165,4.6665,4.6665,49899,0
1980-03-31,4.8335,4.8335,4.6875,4.8335,14299,0
1980-04-01,4.9585,4.9585,4.8335,4.9585,6099,0
1980-04-02,5.2085,5.2085,4.9795,5.2085,22199,0
1980-04-03,5.2915,5.3335,5.25,5.2915,9999,0
1980-04-07,5.0835,5.1665,5.0835,5.0835,39899,0
1980-04-08,5.0415,5.125,5.0415,5.0415,4899,0
1980-04-09,5.0,5.0415,4.8335,5.0,70599,0
1980-04-10,5.0415,5.0835,5.0415,5.0415,8299,0
1980-04-11,4.9585,5.0835,4.8545,4.9585,20399,0
1980-04-14,4.9585,5.0,4.9165,4.9585,29399,0
1980-04-15,4.8335,4.9585,4.8335,4.8335,23599,0
1980-04-16,4.875,4.9165,4.8335,4.875,17499,0
1980-04-17,4.875,4.875,4.7915,4.875,16299,0
1980-04-18,4.9165,4.9585,4.875,4.9165,7499,0
1980-04-21,4.75,4.875,4.75,4.75,9299,0
1980-04-22,4.9165,4.9585,4.8335,4.9165,6099,0
1980-04-23,4.875,5.0415,4.875,4.875,6399,0
1980-04-24,4.8545,4.9165,4.8125,4.8545,4699,0
1980-04-25,4.8545,4.8545,4.7915,4.8545,8299,0
1980-04-28,4.875,4.875,4.8335,4.875,3399,0
1980-04-29,4.8545,4.875,4.7915,4.8545,15899,0
1980-04-30,4.7295,4.8335,4.7085,4.7295,5999,0
1980-05-01,4.7915,4.8125,4.75,4.7915,13299,0
1980-05-02,4.8335,4.8335,4.75,4.8335,34299,0
1980-05-05,4.8125,4.8335,4.75,4.8125,7799,0
1980-05-06,4.771,4.8125,4.7295,4.771,10399,0
1980-05-07,4.8335,4.8335,4.7085,4.8335,10799,0
1980-05-08,5.0415,5.0625,4.8335,5.0415,29399,0
1980-05-09,5.0415,5.0835,5.021,5.0415,3299,0
1980-05-12,4.875,5.0,4.8335,4.875,25999,0
1980-05-13,4.75,4.9585,4.75,4.75,14799,0
1980-05-14,4.8125,4.875,4.75,4.8125,40299,0
1980-05-15,4.8335,4.875,4.8125,4.8335,20499,0
1980-05-16,4.9165,5.0,4.875,4.9165,14299,0
1980-05-19,5.0,5.0,4.896,5.0,6999,0
1980-05-20,5.021,5.021,4.9585,5.021,15599,0
1980-05-21,5.041666666666667,5.041666666666667,4.916666666666667,5.041666666666667,53899,0
1980-05-22,5.375,5.375,5.166666666666667,5.375,29999,0
1980-05-23,5.666666666666668,5.666666666666668,5.375,5.666666666666668,27599,0
1980-05-27,5.5,5.666666666666668,5.416666666666668,5.5,27299,0
1980-05-28,5.333666666666667,5.583666666666668,5.25,5.333666666666667,23299,0
1980-05-29,5.166666666666667,5.333666666666667,5.166666666666667,5.166666666666667,15899,0
1980-05-30,5.166666666666667,5.291666666666667,5.166666666666667,5.166666666666667,9499,0
1980-06-02,5.333666666666667,5.333666666666667,5.166666666666667,5.333666666666667,11999,0
1980-06-03,5.416666666666668,5.458666666666668,5.333666666666667,5.416666666666668,3099,0
1980-06-04,5.416666666666668,5.5,5.333666666666667,5.416666666666668,13799,0
1980-06-05,5.458666666666668,5.5,5.25,5.458666666666668,84299,0
1980-06-06,5.25,5.458666666666668,5.25,5.25,12199,0
1980-06-09,5.25,5.333666666666667,5.25,5.25,7299,0
1980-06-10,5.375,5.416666666666668,5.25,5.375,5899,0
1980-06-11,5.375,5.416666666666668,5.291666666666667,5.375,12099,0
1980-06-12,5.416666666666668,5.458666666666668,5.333666666666667,5.416666666666668,59799,0
1980-06-13,5.541666666666668,5.583666666666668,5.416666666666668,5.541666666666668,18299,0
1980-06-16,5.708666666666668,5.708666666666668,5.541666666666668,5.708666666666668,42399,0
1980-06-17,5.708666666666668,5.791666666666668,5.666666666666668,5.708666666666668,21599,0
1980-06-18,5.666666666666668,5.75,5.666666666666668,5.666666666666668,11799,0
1980-06-19,5.625,5.708666666666668,5.625,5.625,10199,0
1980-06-20,5.666666666666668,5.666666666666668,5.541666666666668,5.666666666666668,26199,0
1980-06-23,5.708666666666668,5.708666666666668,5.583666666666668,5.708666666666668,7699,0
1980-06-24,6.083666666666668,6.083666666666668,5.708666666666668,6.083666666666668,25099,0
1980-06-25,5.916666666666668,6.166666666666668,5.916666666666668,5.916666666666668,27299,0
1980-06-26,5.833666666666668,5.958666666666668,5.833666666666668,5.833666666666668,6299,0
1980-06-27,5.833666666666668,5.958666666666668,5.833666666666668,5.833666666666668,4699,0
1980-06-30,5.791666666666668,5.833666666666668,5.666666666666668,5.791666666666668,23499,0
1980-07-01,5.916666666666668,5.958666666666668,5.75,5.916666666666668,17099,0
1980-07-02,5.75,5.833666666666668,5.75,5.75,10299,0
1980-07-03,5.666666666666668,5.791666666666668,5.666666666666668,5.666666666666668,16699,0
1980-07-07,5.791666666666668,5.791666666666668,5.666666666666668,5.791666666666668,11599,0
1980-07-08,5.875,5.916666666666668,5.75,5.875,15799,0
1980-07-09,5.916666666666668,6.0,5.875,5.916666666666668,46999,0
1980-07-10,5.833666666666668,5.916666666666668,5.791666666666668,5.833666666666668,7999,0
