Date,Open,High,Low,Close,Volume,openinterest
1983-11-21,5.1355,5.1770000000000005,5.0832500000000005,5.1355,325900,0
1983-11-22,5.09375,5.1355,5.09375,5.09375,244500,0
1983-11-23,5.073,5.10425,5.0520000000000005,5.073,134900,0
1983-11-25,5.0832500000000005,5.10425,5.073,5.0832500000000005,281700,0
1983-11-28,5.03125,5.09375,5.03125,5.03125,359600,0
1983-11-29,4.948,5.0207500000000005,4.948,4.948,191300,0
1983-11-30,4.91675,4.96875,4.90625,4.91675,325700,0
1983-12-01,4.96875,4.97925,4.9270000000000005,4.96875,796100,0
1983-12-02,4.948,4.96875,4.9375,4.948,160700,0
1983-12-05,4.9270000000000005,4.9582500000000005,4.9270000000000005,4.9270000000000005,125100,0
1983-12-06,4.90625,4.9375,4.90625,4.90625,247200,0
1983-12-07,4.8855,4.9270000000000005,4.85425,4.8855,525100,0
1983-12-08,4.8855,4.90625,4.875,4.8855,539700,0
1983-12-09,4.85425,4.8855,4.84375,4.85425,574800,0
1983-12-12,4.8645000000000005,4.875,4.85425,4.8645000000000005,281600,0
1983-12-13,4.90625,4.9270000000000005,4.85425,4.90625,608400,0
1983-12-14,4.91675,4.97925,4.90625,4.91675,415500,0
1983-12-15,4.8855,4.9270000000000005,4.875,4.8855,309300,0
1983-12-16,4.8855,4.91675,4.85425,4.8855,277600,0
1983-12-19,4.8855,4.8957500000000005,4.875,4.8855,312700,0
1983-12-20,4.90625,4.90625,4.875,4.90625,200900,0
1983-12-21,4.91675,4.91675,4.875,4.91675,623500,0
1983-12-22,4.8855,4.9270000000000005,4.8855,4.8855,630100,0
1983-12-23,4.8957500000000005,4.8957500000000005,4.85425,4.8957500000000005,321800,0
1983-12-27,4.8855,4.8957500000000005,4.8645000000000005,4.8855,212200,0
1983-12-28,4.9375,4.9375,4.8855,4.9375,446500,0
1983-12-29,4.9270000000000005,4.9375,4.91675,4.9270000000000005,374000,0
1983-12-30,4.90625,4.9582500000000005,4.90625,4.90625,243600,0
1984-01-03,5.0832500000000005,5.09375,4.91675,5.0832500000000005,207600,0
1984-01-04,5.3332500000000005,5.375,5.1355,5.3332500000000005,541000,0
1984-01-05,5.3125,5.4270000000000005,5.29175,5.3125,337600,0
1984-01-06,5.1875,5.3332500000000005,5.1770000000000005,5.1875,380300,0
1984-01-09,5.16675,5.198,5.1355,5.16675,269300,0
1984-01-10,5.16675,5.1875,5.1355,5.16675,274100,0
1984-01-11,5.198,5.2395000000000005,5.1770000000000005,5.198,353800,0
1984-01-12,5.2082500000000005,5.22925,5.1770000000000005,5.2082500000000005,223400,0
1984-01-13,5.29175,5.29175,5.2082500000000005,5.29175,337200,0
1984-01-16,5.39575,5.4479999999999995,5.25,5.39575,282400,0
1984-01-17,5.41675,5.41675,5.3645,5.41675,219800,0
1984-01-18,5.4895,5.5,5.41675,5.4895,372100,0
