Date,Open,High,Low,Close,Volume,openinterest
2006-03-15,15.7025,16.1876,15.3747,15.8008,7251200,0
2006-03-16,15.8008,15.9647,15.6631,15.9123,649100,0
2006-03-17,15.8992,16.4695,15.8336,16.3974,287000,0
2006-03-20,16.5023,16.7908,16.227,16.3253,282800,0
2006-03-21,16.3188,16.319000000000003,15.7353,15.8664,274700,0
2006-03-22,15.767999999999999,15.9319,15.7353,15.8401,103000,0
2006-03-23,15.7942,15.8664,15.7287,15.8008,106200,0
2006-03-24,15.9319,16.3843,15.8926,16.0631,101300,0
2006-03-27,16.1614,16.8826,16.0303,16.227,111700,0
2006-03-28,16.2139,16.2991,16.0958,16.1943,115400,0
2006-03-29,16.3581,16.4237,16.227,16.3253,81900,0
2006-03-30,16.3581,16.6859,16.3581,16.6859,132400,0
2006-03-31,16.7187,17.0203,16.7187,16.8826,100100,0
2006-04-03,16.9154,16.9154,16.2598,16.3253,291800,0
2006-04-04,16.3188,16.3253,16.1942,16.2598,220200,0
2006-04-05,16.227,16.2335,16.1483,16.1811,122200,0
2006-04-06,16.0631,16.1811,15.767999999999999,15.8992,130100,0
2006-04-07,15.8992,15.8992,15.6697,15.8074,33700,0
2006-04-10,15.767999999999999,15.9647,15.7418,15.9385,43800,0
2006-04-11,15.9188,15.9188,15.7025,15.8008,163800,0
2006-04-12,16.6203,16.6203,15.7811,15.8008,664800,0
2006-04-13,15.8336,16.0303,15.7418,15.9844,214700,0
2006-04-17,15.9909,16.1942,15.9909,16.1286,203100,0
2006-04-18,16.0762,16.1155,15.7221,15.8992,186400,0
2006-04-19,15.8992,16.3909,15.8992,16.227,241600,0
2006-04-20,16.2598,17.0072,16.2139,16.7843,166400,0
2006-04-21,16.8498,17.1121,16.5286,16.6859,401800,0
2006-04-24,16.6859,16.9809,16.5876,16.7253,92400,0
2006-04-25,16.7056,17.1776,16.7056,16.9154,232500,0
2006-04-26,16.817,17.0465,16.7187,16.8826,145000,0
2006-04-27,16.8892,16.9488,16.5614,16.6466,52300,0
2006-04-28,16.6466,16.6531,15.8205,16.2139,232200,0
2006-05-01,16.2139,16.5023,16.2139,16.4827,151000,0
2006-05-02,16.4892,16.522000000000002,16.2204,16.227,124000,0
2006-05-03,16.227,16.2335,16.1025,16.1417,110100,0
2006-05-04,16.0762,16.1352,15.8074,16.1155,95500,0
2006-05-05,16.0631,16.1548,15.8795,16.0958,104900,0
2006-05-08,16.0631,16.3909,16.0368,16.2991,106200,0
2006-05-09,16.3122,16.3909,16.1614,16.3384,85400,0
2006-05-10,16.4237,16.4564,16.2466,16.3843,74200,0
2006-05-11,16.4499,16.9154,16.3909,16.9154,57100,0
2006-05-12,16.6531,16.7187,16.3515,16.699,49300,0
2006-05-15,16.6466,16.6531,16.4827,16.5745,72200,0
2006-05-16,16.5548,16.875999999999998,16.5482,16.7449,84600,0
2006-05-17,16.6859,16.6859,16.5548,16.6531,98200,0
2006-05-18,16.6072,16.8367,16.6072,16.6597,68800,0
2006-05-19,16.5941,16.6531,16.4237,16.6531,165700,0
2006-05-22,16.6269,16.7384,16.4302,16.7253,66100,0
2006-05-23,16.6203,16.6859,16.5351,16.5548,47300,0
2006-05-24,16.522000000000002,16.6531,16.3188,16.5876,37600,0
2006-05-25,16.5548,16.5941,16.3319,16.4433,50200,0
2006-05-26,16.3909,16.4237,16.3515,16.3909,44200,0
2006-05-30,16.3778,16.4433,16.2466,16.3778,68500,0
2006-05-31,16.3909,16.581,16.3581,16.5155,69000,0
2006-06-01,16.4499,17.0465,16.404,17.0465,40100,0
2006-06-02,16.9809,17.3743,16.9154,17.3743,69500,0
2006-06-05,17.3088,17.394000000000002,17.1711,17.3612,67400,0
2006-06-06,17.3612,17.3612,17.0268,17.0793,62300,0
2006-06-07,17.0793,17.1449,16.817,16.9613,52700,0
2006-06-08,16.8957,16.9285,16.6203,16.9285,40600,0
2006-06-09,16.9482,16.9875,16.2598,16.2598,145000,0
2006-06-12,16.2925,16.2925,15.5713,15.7418,55300,0
2006-06-13,15.6631,15.7418,15.0927,15.1058,301500,0
2006-06-14,15.0796,15.0796,14.0437,14.5748,230800,0
2006-06-15,14.6403,14.8108,14.542,14.719000000000001,185600,0
2006-06-16,14.7584,15.472999999999999,14.7518,15.3747,90600,0
2006-06-19,15.5058,15.6697,14.3256,15.014000000000001,105100,0
2006-06-20,15.1648,15.591,14.9616,15.5189,62300,0
2006-06-21,15.4861,16.1286,15.3747,16.0237,49000,0
2006-06-22,16.0827,16.2925,16.0696,16.1483,35900,0
2006-06-23,16.1942,16.9744,16.1417,16.64,86700,0
2006-06-26,16.6531,17.1318,16.6138,17.0859,36400,0
2006-06-27,16.9351,17.5251,16.9351,17.1186,118100,0
2006-06-28,17.1514,17.1514,16.6728,16.699,106100,0
2006-06-29,16.699,17.0465,16.699,16.9678,91600,0
2006-06-30,16.9809,16.9809,15.7025,15.7025,765000,0
2006-07-03,15.8664,15.9975,15.2763,15.4271,173500,0
2006-07-05,15.3615,15.4271,15.1452,15.3943,54900,0
2006-07-06,15.3943,15.4074,15.0337,15.1058,83100,0
2006-07-07,15.0534,15.2763,15.0009,15.0796,72900,0
2006-07-10,15.0796,15.237,15.0599,15.1845,42300,0
2006-07-11,15.1583,15.3943,15.1124,15.3878,51200,0
2006-07-12,15.3812,15.5189,15.1452,15.4402,60800,0
2006-07-13,15.3615,15.5779,15.2697,15.3943,52400,0
2006-07-14,15.2239,15.3025,14.9092,15.1517,42600,0
2006-07-17,15.1452,15.3091,15.1321,15.2042,28900,0
2006-07-18,15.2107,15.5058,15.2042,15.5058,22000,0
2006-07-19,15.4927,16.3843,15.4927,16.3778,90400,0
2006-07-20,16.3515,16.5876,16.3122,16.3974,45800,0
2006-07-21,16.3974,16.4564,16.168,16.404,49900,0
2006-07-24,16.522000000000002,16.7777,16.4827,16.7711,64400,0
2006-07-25,16.7449,17.2498,16.6859,17.1383,43300,0
2006-07-26,17.0727,17.1121,16.4564,16.463,40800,0
2006-07-27,16.5089,16.6531,16.3253,16.3909,22000,0
2006-07-28,16.4564,16.7449,16.4564,16.7187,12800,0
2006-07-31,17.2432,18.0037,16.7187,16.7843,151200,0
2006-08-01,16.6859,16.6859,16.3647,16.4564,107000,0
2006-08-02,16.4892,16.6335,16.285999999999998,16.5155,42600,0
2006-08-03,16.3909,16.7843,16.3712,16.7384,32800,0
2006-08-04,16.8039,16.8039,16.2598,16.3843,65400,0
2006-08-07,16.3253,16.3253,16.0958,16.2401,36900,0
2006-08-08,16.227,16.3647,15.9385,15.9451,45300,0
2006-08-09,15.9713,15.9975,15.1845,15.1976,20500,0
2006-08-10,15.1452,15.5713,15.0534,15.5386,21200,0
2006-08-11,15.5058,15.5058,15.1845,15.4468,15200,0
2006-08-14,15.5451,15.7418,15.5451,15.7025,47500,0
2006-08-15,15.767999999999999,15.9319,15.6697,15.7353,16800,0
2006-08-16,15.7353,15.8598,15.6369,15.6435,28600,0
2006-08-17,15.6893,15.8467,15.6172,15.6172,18500,0
2006-08-18,15.6697,15.709000000000001,15.5058,15.6172,18300,0
2006-08-21,15.5058,15.5058,15.3419,15.3812,13700,0
2006-08-22,15.3747,15.4533,15.2107,15.2566,8800,0
2006-08-23,15.2107,15.2894,14.7846,14.8174,59000,0
2006-08-24,14.7846,14.7846,14.5879,14.66,10500,0
2006-08-25,14.6403,14.8501,14.6272,14.8239,17300,0
2006-08-28,14.9616,15.0468,14.9485,14.9485,33400,0
2006-08-29,14.9223,14.9223,14.6797,14.7387,23800,0
2006-08-30,14.8174,15.014000000000001,14.719000000000001,14.9026,34900,0
2006-08-31,14.9681,15.0862,14.837,14.837,28800,0
2006-09-01,14.837,14.837,14.5026,14.5354,44000,0
2006-09-05,14.5092,15.1976,14.5092,15.1189,40100,0
2006-09-06,15.0862,15.4074,15.0468,15.1386,25700,0
2006-09-07,15.0796,16.0827,15.014000000000001,15.7746,54600,0
2006-09-08,15.7811,15.7811,15.5713,15.7025,34600,0
2006-09-11,15.6828,15.9188,15.6369,15.7746,30200,0
2006-09-12,15.7353,15.7746,15.5713,15.6435,36200,0
2006-09-13,15.709000000000001,15.7287,15.4795,15.6107,29100,0
2006-09-14,15.5451,15.5648,15.2501,15.4074,31600,0
2006-09-15,15.472999999999999,15.532,15.3812,15.4468,76800,0
2006-09-18,15.4074,15.4992,15.2763,15.3419,44600,0
2006-09-19,15.3419,15.3484,15.177999999999999,15.3353,39000,0
2006-09-20,15.3943,16.0827,15.3615,16.0303,70000,0
2006-09-21,16.0631,16.1548,15.8598,15.9451,18500,0
2006-09-22,15.8992,15.8992,15.6959,15.8401,41600,0
2006-09-25,15.8533,15.8533,15.6041,15.6238,46000,0
2006-09-26,15.6238,15.7352,15.4074,15.5976,241500,0
2006-09-27,15.5713,15.886,15.5713,15.886,122100,0
2006-09-28,16.0499,16.522000000000002,16.0499,16.2598,125500,0
2006-09-29,16.2466,16.2925,15.9647,16.0106,89800,0
2006-10-02,15.9188,15.9188,15.237,15.532,62800,0
2006-10-03,15.532,15.5386,15.3878,15.4861,26100,0
2006-10-04,15.4927,15.7549,15.414000000000001,15.7353,141700,0
2006-10-05,15.7353,16.4499,15.6697,16.3384,79400,0
2006-10-06,16.3188,16.345,16.0958,16.1155,67300,0
2006-10-09,16.1155,16.3647,16.0303,16.3122,30800,0
2006-10-10,16.3253,16.3253,16.1614,16.2598,51000,0
2006-10-11,16.2598,16.2794,16.1417,16.2532,166500,0
2006-10-12,16.2532,16.3778,16.0631,16.3712,153300,0
2006-10-13,16.3778,16.4499,16.1745,16.2598,79100,0
2006-10-16,16.2598,16.3778,16.0434,16.0958,36500,0
2006-10-17,16.0499,16.0827,15.8992,16.0041,27000,0
2006-10-18,16.0565,16.0958,15.8992,16.0106,34000,0
2006-10-19,15.9647,16.1614,15.9451,16.0499,44900,0
2006-10-20,16.0827,16.2794,15.9909,16.2598,29300,0
2006-10-23,16.1417,16.2598,15.8533,15.8992,21400,0
2006-10-24,15.5713,15.9975,15.2501,15.3353,60000,0
2006-10-25,15.3419,15.6041,15.3419,15.4074,56400,0
2006-10-26,15.5582,15.8336,15.2435,15.7877,143600,0
2006-10-27,15.7353,16.0565,15.5713,15.6172,38200,0
2006-10-30,15.5976,16.1221,15.5123,16.0827,34000,0
2006-10-31,16.0827,16.0827,15.65,15.7484,42000,0
2006-11-01,15.767999999999999,15.8139,15.6369,15.6369,45000,0
2006-11-02,15.5058,15.8664,15.4074,15.7418,20000,0
2006-11-03,15.7746,15.7942,15.3747,15.4664,13000,0
2006-11-06,15.5386,15.7288,15.4992,15.7288,13100,0
2006-11-07,15.6566,15.8467,15.591,15.7418,18200,0
2006-11-08,15.6369,15.8533,15.5713,15.8074,21900,0
2006-11-09,15.8074,15.8074,15.4441,15.472999999999999,16600,0
2006-11-10,15.4468,15.8533,15.4468,15.8467,24800,0
2006-11-13,15.8336,16.0893,15.8008,16.0565,28600,0
2006-11-14,16.0303,16.3909,15.9909,16.3909,42200,0
2006-11-15,16.3909,16.6859,16.3902,16.6663,128200,0
2006-11-16,16.6663,16.7384,16.4368,16.4564,29600,0
2006-11-17,16.2598,16.2663,15.7221,15.9909,128300,0
2006-11-20,15.9647,16.0172,15.8533,15.8992,32200,0
2006-11-21,15.8664,16.0631,15.8605,16.0368,34800,0
2006-11-22,16.0368,16.0565,15.7353,15.7418,49000,0
2006-11-24,15.7287,15.8664,15.7287,15.8074,31400,0
2006-11-27,15.7353,15.8533,15.5713,15.8467,45200,0
2006-11-28,15.8008,16.1221,15.7484,15.8401,177700,0
2006-11-29,15.8992,16.1876,15.7811,16.1876,71800,0
2006-11-30,16.1811,16.5351,16.0041,16.0106,119900,0
2006-12-01,16.0106,16.7843,15.9451,16.7843,131200,0
2006-12-04,16.7974,16.9415,16.5023,16.5417,43700,0
2006-12-05,16.5876,17.0137,16.5482,16.9023,20200,0
2006-12-06,16.8367,17.1973,16.7711,16.9154,33400,0
2006-12-07,16.8826,17.0268,16.8433,16.9547,7400,0
2006-12-08,16.9416,17.276,16.8302,17.1449,26900,0
2006-12-11,17.1121,17.158,16.817,17.1449,65000,0
2006-12-12,17.1449,17.5448,17.1449,17.4137,86900,0
2006-12-13,17.2826,17.7874,17.2235,17.7874,41900,0
2006-12-14,17.8005,17.9316,17.6694,17.9054,144900,0
2006-12-15,17.9054,18.0759,17.8661,18.0496,45500,0
2006-12-18,18.0628,18.2857,18.0628,18.2332,39000,0
2006-12-19,18.1808,18.1868,17.8136,18.0431,71800,0
2006-12-20,18.0037,18.0693,17.6956,17.7153,67000,0
2006-12-21,17.7087,17.8333,17.6104,17.6104,26900,0
2006-12-22,17.6104,17.6104,16.9482,16.9744,27600,0
2006-12-26,17.0465,17.6104,17.0465,17.512,30800,0
2006-12-27,17.5382,17.570999999999998,17.4923,17.570999999999998,15400,0
2006-12-28,17.570999999999998,17.570999999999998,17.512,17.570999999999998,25600,0
2006-12-29,17.570999999999998,17.570999999999998,17.3284,17.3809,19200,0
2007-01-03,17.4399,17.5382,16.5679,16.6597,62200,0
2007-01-04,16.6597,17.4596,16.6335,17.4333,25200,0
2007-01-05,17.3678,17.3678,16.6663,16.9219,39400,0
2007-01-08,16.8498,17.0662,16.758,17.0334,19600,0
2007-01-09,16.9809,17.0006,16.6728,16.817,28700,0
2007-01-10,16.9154,16.9154,16.4892,16.6203,43400,0
2007-01-11,16.6138,17.4989,16.6138,17.3219,75700,0
2007-01-12,17.3743,17.570999999999998,17.3743,17.570999999999998,38000,0
2007-01-16,17.6038,17.6235,17.4202,17.570999999999998,59900,0
2007-01-17,17.512,17.570999999999998,17.4006,17.4792,26000,0
2007-01-18,17.4399,17.5317,17.3547,17.5186,21300,0
2007-01-19,17.5055,17.8595,17.4006,17.7021,58000,0
2007-01-22,17.5382,17.5645,17.4071,17.4071,46700,0
2007-01-23,17.3743,17.5776,17.3743,17.4989,34700,0
2007-01-24,18.5151,19.9313,18.5151,19.6691,338300,0
2007-01-25,19.6691,20.3903,19.6101,19.9313,197800,0
2007-01-26,19.6822,19.8985,19.5904,19.8657,96500,0
2007-01-29,20.0297,21.3934,19.9313,21.0721,193400,0
2007-01-30,21.0721,21.177,20.8885,20.9803,87800,0
2007-01-31,20.9934,21.3082,20.8754,20.881999999999998,47500,0
2007-02-01,20.8885,20.9666,20.3444,20.6394,46200,0
2007-02-02,20.6525,20.7836,20.587,20.6459,33700,0
2007-02-05,20.6853,20.7836,20.5542,20.6459,78400,0
2007-02-06,20.587,20.6722,20.4821,20.587,45700,0
2007-02-07,20.541,20.6591,20.3509,20.5017,64800,0
2007-02-08,20.4362,20.7246,20.4165,20.705,71800,0
2007-02-09,20.7181,21.0787,20.6525,20.9475,45200,0
2007-02-12,21.4393,21.5966,21.0656,21.3803,124000,0
2007-02-13,21.471999999999998,22.226,21.471999999999998,22.108,67900,0
2007-02-14,22.1277,22.1998,21.9769,21.9835,55600,0
2007-02-15,21.9179,22.1474,21.7999,21.8064,40300,0
2007-02-16,21.8064,21.8917,21.5966,21.7933,42900,0
2007-02-20,21.8261,22.0031,21.7278,21.813000000000002,39500,0
2007-02-21,21.6556,21.9179,21.3737,21.5179,55300,0
2007-02-22,21.5048,21.5048,21.0,21.2754,87900,0
2007-02-23,21.2295,21.8589,21.0459,21.8195,55700,0
2007-02-26,21.9638,22.3899,21.9638,22.2129,79100,0
2007-02-27,22.0949,22.2719,21.177,21.2229,99900,0
2007-02-28,21.2229,21.3082,20.8426,20.9148,120800,0
2007-03-01,20.7509,21.4786,20.5214,21.0262,250900,0
2007-03-02,20.9803,21.5245,20.8689,21.236,74000,0
2007-03-05,21.177,21.177,19.9949,20.4493,88600,0
2007-03-06,20.5935,20.7312,20.3903,20.5345,136400,0
2007-03-07,20.4886,20.5214,20.2132,20.364,74900,0
2007-03-08,20.4362,20.6591,20.2722,20.587,39200,0
2007-03-09,20.6525,21.3671,20.6459,21.1442,57400,0
2007-03-12,21.0787,21.2426,20.2624,20.9803,37400,0
2007-03-13,20.9148,21.3082,20.8033,21.0197,66300,0
2007-03-14,21.0721,21.236,20.9803,21.1311,43200,0
2007-03-15,21.1049,21.3082,21.0262,21.3082,62200,0
2007-03-16,21.3082,21.5835,21.177,21.4196,116900,0
2007-03-19,21.4786,22.1473,21.3803,22.0359,43100,0
