Date,Open,High,Low,Close,Volume,openinterest
2015-12-22,8768.2402,8768.2402,8207.0703,8207.0703,45476,0
2015-12-23,8207.0703,8207.0703,8207.0703,8207.0703,24235,0
2015-12-24,8207.0703,8417.5098,8207.0703,8417.5098,155390,0
2015-12-28,8347.3604,8417.5098,8347.3604,8417.5098,77410,0
2015-12-29,8417.5098,8417.5098,8347.3604,8417.5098,39204,0
2015-12-30,8487.6504,8768.2402,8487.6504,8768.2402,103498,0
2015-12-31,8768.2402,9609.9902,8768.2402,9609.9902,236507,0
2016-01-04,8768.2402,9960.7197,8768.2402,9960.7197,139851,0
2016-01-05,9960.7197,10521.9004,9750.2803,10521.9004,278704,0
2016-01-06,10521.9004,10592.0,10451.7002,10592.0,269580,0
2016-01-07,10451.7002,10732.2998,10241.2998,10732.2998,265304,0
2016-01-08,10451.7002,10942.7998,10451.7002,10942.7998,275711,0
2016-01-11,10942.7998,11083.0996,10942.7998,11083.0996,329171,0
2016-01-12,11083.0996,11083.0996,10872.5996,10872.5996,197303,0
2016-01-13,10802.5,10872.5996,10521.9004,10802.5,170074,0
2016-01-14,10802.5,11083.0996,10802.5,11012.9004,124597,0
2016-01-15,11012.9004,11293.5,11012.9004,11153.2002,32503,0
2016-01-19,10872.5996,11854.7002,10872.5996,11854.7002,228381,0
2016-01-20,11854.7002,12065.0996,11854.7002,12065.0996,237077,0
2016-01-21,11924.7998,12275.5,11784.5,12065.0996,159382,0
2016-01-22,12556.0996,13257.5996,12415.7998,13257.5996,249907,0
2016-01-25,13187.4004,13397.9004,13117.2998,13327.7002,90383,0
2016-01-26,13117.2998,13187.4004,12977.0,13047.0996,26516,0
2016-01-27,13047.0996,14239.5996,13047.0996,14099.2998,73275,0
2016-01-28,14099.2998,14169.5,13959.0,14099.2998,131297,0
2016-01-29,13959.0,14029.2002,13888.9004,13888.9004,60588,0
2016-02-01,13818.7002,13818.7002,12977.0,13187.4004,228523,0
2016-02-02,13117.2998,13397.9004,12626.2998,13397.9004,152539,0
2016-02-03,13327.7002,13538.2002,13327.7002,13538.2002,24235,0
2016-02-04,13468.0,13538.2002,13468.0,13538.2002,5844,0
2016-02-05,13397.9004,13397.9004,13327.7002,13397.9004,4561,0
2016-02-08,13397.9004,13397.9004,13397.9004,13397.9004,0,0
2016-02-09,13397.9004,13397.9004,13397.9004,13397.9004,0,0
2016-02-10,13397.9004,13397.9004,13397.9004,13397.9004,0,0
2016-02-11,13397.9004,13397.9004,13397.9004,13397.9004,0,0
2016-02-12,13397.9004,13397.9004,13397.9004,13397.9004,0,0
2016-02-16,13327.7002,13818.7002,13327.7002,13748.5996,287686,0
2016-02-17,13748.5996,13959.0,13748.5996,13959.0,267157,0
2016-02-18,13959.0,14309.7998,13959.0,14309.7998,286403,0
2016-02-19,14309.7998,14309.7998,14309.7998,14309.7998,0,0
2016-02-22,14309.7998,14309.7998,14309.7998,14309.7998,0,0
2016-02-23,14309.7998,14309.7998,14309.7998,14309.7998,0,0
2016-02-24,13748.5996,14099.2998,13748.5996,14029.2002,168648,0
2016-02-25,13959.0,14029.2002,13748.5996,13818.7002,262880,0
2016-02-26,13748.5996,13959.0,13748.5996,13888.9004,81972,0
2016-02-29,13818.7002,13818.7002,13397.9004,13397.9004,39916,0
2016-03-01,13327.7002,13327.7002,12065.0996,12065.0996,64864,0
2016-03-02,10942.7998,11714.4004,10942.7998,11644.2002,272717,0
2016-03-03,11223.2998,11644.2002,10942.7998,11574.0996,660623,0
2016-03-04,11363.5996,12065.0996,11223.2998,11924.7998,560403,0
2016-03-07,11994.9004,12135.2002,11924.7998,12065.0996,202007,0
2016-03-08,11994.9004,12065.0996,11924.7998,12065.0996,237362,0
2016-03-09,11994.9004,12275.5,11994.9004,12275.5,254612,0
2016-03-10,12275.5,12766.5996,12275.5,12766.5996,614148,0
2016-03-11,12626.2998,12977.0,12486.0,12977.0,464317,0
2016-03-14,12626.2998,12626.2998,12065.0996,12065.0996,370228,0
2016-03-15,12065.0996,12065.0996,11433.7998,11784.5,67858,0
2016-03-16,11574.0996,11924.7998,11433.7998,11714.4004,676162,0
2016-03-17,11784.5,11994.9004,11574.0996,11994.9004,1198216,0
2016-03-18,11994.9004,11994.9004,11714.4004,11854.7002,253186,0
2016-03-21,11854.7002,12065.0996,11854.7002,11854.7002,291392,0
2016-03-22,11854.7002,11924.7998,11784.5,11784.5,324609,0
2016-03-23,11784.5,12205.4004,11784.5,12205.4004,228381,0
2016-03-24,12135.2002,12626.2998,11854.7002,12556.0996,465173,0
2016-03-28,12556.0996,12836.7002,12345.7002,12696.4004,577082,0
2016-03-29,12696.4004,13047.0996,12556.0996,13047.0996,108203,0
2016-03-30,12977.0,13117.2998,12486.0,12906.7998,46189,0
2016-03-31,12766.5996,12836.7002,12415.7998,12415.7998,47044,0
2016-04-01,12275.5,12626.2998,11994.9004,12486.0,148404,0
2016-04-04,12626.2998,13327.7002,12556.0996,13327.7002,114048,0
2016-04-05,12906.7998,13047.0996,12135.2002,12977.0,353548,0
2016-04-06,12626.2998,13538.2002,12275.5,13538.2002,229521,0
2016-04-07,13538.2002,14029.2002,12415.7998,12696.4004,337724,0
2016-04-08,12696.4004,12766.5996,11994.9004,12486.0,410572,0
2016-04-11,12486.0,12486.0,11994.9004,12065.0996,236934,0
2016-04-12,11924.7998,12205.4004,11784.5,12205.4004,203005,0
2016-04-13,12275.5,12345.7002,12205.4004,12205.4004,152539,0
2016-04-14,12135.2002,12275.5,11784.5,11784.5,259174,0
2016-04-15,11784.5,11784.5,11784.5,11784.5,0,0
2016-04-18,11784.5,11784.5,11784.5,11784.5,0,0
2016-04-19,11784.5,11784.5,11784.5,11784.5,0,0
2016-04-20,11784.5,12345.7002,11784.5,12345.7002,609586,0
