Date,Open,High,Low,Close,Volume,openinterest
2000-10-05,2.5,2.6875,2.4375,2.5390625,5571000,0
2000-10-06,2.546875,2.59375,2.3515625,2.453125,972100,0
2000-10-09,2.4296875,2.4296875,2.265625,2.265625,344900,0
2000-10-10,2.25,2.375,2.25,2.296875,282200,0
2000-10-11,2.2890625,2.2890625,2.203125,2.21875,463700,0
2000-10-12,2.1875,2.1875,2.0,2.109375,569000,0
2000-10-13,2.078125,2.15625,2.0625,2.15625,199400,0
2000-10-16,2.15625,2.1875,2.140625,2.1640625,154600,0
2000-10-17,2.15625,2.328125,2.15625,2.296875,77500,0
2000-10-18,2.28125,2.296875,2.171875,2.1796875,174000,0
2000-10-19,2.1953125,2.203125,2.125,2.1328125,152400,0
2000-10-20,2.1484375,2.1484375,2.109375,2.125,133100,0
2000-10-23,2.125,2.125,2.09375,2.09375,186100,0
2000-10-24,2.125,2.1875,2.1171875,2.1875,66700,0
2000-10-25,2.1875,2.34375,2.171875,2.28125,208000,0
2000-10-26,2.265625,2.265625,2.203125,2.265625,42300,0
2000-10-27,2.2890625,2.453125,2.2734375,2.4375,50000,0
2000-10-30,2.4140625,2.6875,2.40625,2.6875,92700,0
2000-10-31,2.8125,3.03125,2.8125,2.921875,445200,0
2000-11-01,2.890625,2.9296875,2.796875,2.8984375,366900,0
2000-11-02,2.9140625,3.015625,2.890625,2.984375,114300,0
2000-11-03,2.953125,3.15625,2.875,3.15625,330100,0
2000-11-06,3.15625,3.15625,3.0,3.0078125,84700,0
2000-11-07,3.0,3.0,2.890625,2.96875,108300,0
2000-11-08,2.78125,3.0,2.703125,3.0,362000,0
2000-11-09,3.0,3.03125,2.921875,2.9921875,181200,0
2000-11-10,2.984375,3.125,2.984375,3.09375,46000,0
2000-11-13,3.0625,3.0625,2.75,2.765625,90800,0
2000-11-14,2.75,2.84375,2.65625,2.84375,125100,0
2000-11-15,2.859375,2.90625,2.8046875,2.875,92100,0
2000-11-16,2.859375,2.875,2.859375,2.8671875,9100,0
2000-11-17,2.890625,2.921875,2.8515625,2.921875,34100,0
2000-11-20,2.90625,2.90625,2.75,2.84375,33100,0
2000-11-21,2.8359375,2.84375,2.8203125,2.828125,89100,0
2000-11-22,2.84375,2.875,2.8125,2.875,50500,0
2000-11-24,2.875,2.875,2.8671875,2.875,30300,0
2000-11-27,2.90625,2.9765625,2.875,2.96875,104200,0
2000-11-28,2.9453125,3.0234375,2.9375,2.9375,157600,0
2000-11-29,2.90625,2.90625,2.75,2.78125,16000,0
2000-11-30,2.75,2.765625,2.71875,2.765625,86000,0
2000-12-01,2.734375,2.75,2.6875,2.75,52100,0
2000-12-04,2.734375,2.890625,2.734375,2.890625,128200,0
2000-12-05,2.890625,2.890625,2.78125,2.78125,136900,0
2000-12-06,2.765625,2.8984375,2.765625,2.8828125,51100,0
2000-12-07,2.9140625,3.0625,2.9140625,3.0,55000,0
2000-12-08,3.03125,3.21875,3.0078125,3.171875,53100,0
2000-12-11,3.171875,3.25,3.15625,3.2265625,33100,0
2000-12-12,3.1640625,3.21875,3.109375,3.1171875,58800,0
2000-12-13,3.1015625,3.1015625,3.0,3.0,40500,0
2000-12-14,3.0,3.0,2.515625,2.6328125,206800,0
2000-12-15,2.640625,2.640625,2.625,2.6328125,4100,0
2000-12-18,2.65625,2.6640625,2.515625,2.578125,46200,0
2000-12-19,2.5703125,2.59375,2.546875,2.59375,39600,0
2000-12-20,2.5859375,2.5859375,2.515625,2.53125,104800,0
2000-12-21,2.546875,2.625,2.53125,2.625,81500,0
2000-12-22,2.625,2.8125,2.625,2.796875,29000,0
2000-12-26,2.8046875,3.0,2.8046875,2.9375,34000,0
2000-12-27,3.0,3.125,3.0,3.125,50800,0
2000-12-28,3.125,3.578125,3.125,3.53125,149900,0
2000-12-29,3.53125,3.671875,3.53125,3.59375,73800,0
2001-01-02,3.578125,3.625,3.25,3.265625,150300,0
2001-01-03,3.25,3.28125,3.21875,3.2578125,60900,0
2001-01-04,3.25,3.25,3.1171875,3.125,129000,0
2001-01-05,3.109375,3.125,3.046875,3.046875,34300,0
2001-01-08,3.03125,3.03125,2.75,2.8046875,60000,0
2001-01-09,2.875,2.953125,2.8515625,2.90625,88700,0
2001-01-10,3.15625,3.296875,3.109375,3.140625,251800,0
2001-01-11,3.15625,3.421875,3.15625,3.40625,95000,0
2001-01-12,3.375,3.4375,3.328125,3.328125,72300,0
2001-01-16,3.296875,3.59375,3.296875,3.5546875,33700,0
2001-01-17,3.5546875,3.8125,3.53125,3.625,157900,0
2001-01-18,3.625,3.7734375,3.625,3.75,56300,0
2001-01-19,3.8125,3.8125,3.75,3.796875,53100,0
2001-01-22,3.8046875,3.953125,3.8046875,3.875,314400,0
2001-01-23,4.0,4.0625,3.859375,3.875,297000,0
2001-01-24,3.8671875,3.8671875,3.71875,3.84375,519600,0
2001-01-25,3.8359375,3.84375,3.765625,3.78125,695000,0
2001-01-26,3.78125,3.8125,3.78125,3.8125,367800,0
2001-01-29,3.8275,3.935,3.81375,3.8725,117100,0
