Date,Open,High,Low,Close,Volume,openinterest
2011-12-07,24.4551,24.6863,21.3426,24.4106,1413628,0
2011-12-08,23.1745,24.7041,22.9069,23.6103,719530,0
2011-12-09,24.8375,24.8997,23.7437,24.8197,716180,0
2011-12-12,25.1487,25.1487,24.0104,24.4106,393301,0
2011-12-13,25.371,25.371,24.0193,24.4551,452443,0
2011-12-14,25.0687,25.0687,23.8771,24.1172,445374,0
2011-12-15,24.7841,25.8779,24.544,25.1932,1417557,0
2011-12-16,26.6071,26.6071,24.8997,25.3088,966618,0
2011-12-19,25.5133,26.1981,25.2626,25.7623,1048411,0
2011-12-20,26.2336,27.2296,26.206999999999997,26.9006,2017106,0
2011-12-21,26.6783,26.6783,24.464000000000002,24.6063,2871800,0
2011-12-22,24.1172,24.544,21.3337,21.8139,6294064,0
2011-12-23,21.974,24.1349,21.7873,23.139,2744280,0
2011-12-27,22.552,23.2101,21.9029,23.0678,2887314,0
2011-12-28,22.4542,23.1034,22.1785,22.9166,2098539,0
2011-12-29,22.7121,22.8188,22.0451,22.0718,2247268,0
2011-12-30,22.2052,22.721,21.9118,22.4186,1798396,0
2012-01-03,23.2546,24.3217,23.2145,23.6814,3721786,0
2012-01-04,22.9611,23.2012,22.5965,22.8366,1680917,0
2012-01-05,21.8495,22.9611,21.8495,22.6943,1534670,0
2012-01-06,22.6943,23.139,22.3831,22.7388,1484711,0
2012-01-09,22.89,23.8059,22.8099,23.3524,1965244,0
2012-01-10,23.7704,25.1132,23.6458,24.6774,4177497,0
2012-01-11,23.7348,25.0954,23.6192,24.713,1803258,0
2012-01-12,24.7841,25.9402,24.7219,25.3088,2005567,0
2012-01-13,25.0954,26.4737,24.8375,26.2425,1993345,0
2012-01-17,26.3048,26.5004,25.709,25.7801,3210091,0
2012-01-18,25.5133,26.1714,25.3621,25.8157,1205137,0
2012-01-19,25.8779,27.4653,25.8068,26.9717,2712854,0
2012-01-20,27.0518,27.114,26.5182,27.034000000000002,1307550,0
2012-01-23,27.1585,27.3808,26.8828,27.0162,2565392,0
2012-01-24,26.8028,27.3452,26.6516,27.2919,1299072,0
2012-01-25,27.1674,28.7503,27.1674,28.0033,2349256,0
2012-01-26,27.9944,28.4035,27.0874,27.612,1881489,0
2012-01-27,27.0251,27.9766,26.9895,27.781,1227465,0
2012-01-30,27.531999999999996,28.3146,27.2474,28.1367,904412,0
2012-01-31,27.4253,29.3817,27.4253,29.2661,1258128,0
2012-02-01,29.4439,31.2758,29.4172,31.178,3610274,0
2012-02-02,31.3737,31.6582,30.0842,31.0179,2447714,0
2012-02-03,31.1869,31.9517,31.1869,31.4626,2993420,0
2012-02-06,31.4359,31.7916,31.178,31.2581,1967930,0
2012-02-07,31.3737,31.5515,30.9646,30.9824,2235853,0
2012-02-08,30.929000000000002,31.098000000000003,29.3639,30.5377,3223195,0
2012-02-09,25.1487,26.5449,24.8908,26.0914,12923339,0
2012-02-10,25.8068,27.4697,25.4778,26.7139,3623540,0
2012-02-13,26.7405,26.7939,25.3444,25.4244,2396352,0
2012-02-14,25.5222,25.6005,23.9473,24.5707,4072040,0
2012-02-15,24.7219,26.7672,24.4729,26.038,4922770,0
2012-02-16,26.0291,27.2563,25.5489,27.034000000000002,2583207,0
2012-02-17,27.1229,27.5142,26.6338,27.3008,1939867,0
2012-02-21,27.2207,27.3363,26.785,27.2741,2462663,0
2012-02-22,27.5231,27.5231,26.5449,26.6783,3275470,0
2012-02-23,26.7316,27.2919,26.287,27.203000000000003,2041670,0
2012-02-24,26.8472,28.4568,26.8472,28.279,1904275,0
2012-02-27,27.9055,28.528000000000002,27.691999999999997,28.3768,1439394,0
2012-02-28,28.5369,29.7818,28.4568,28.7325,2441996,0
2012-02-29,28.7414,28.8392,28.1634,28.6614,1356150,0
2012-03-01,28.359,29.2394,27.6476,29.0082,2641389,0
2012-03-02,28.7859,29.4261,28.4924,28.857,1640333,0
2012-03-05,28.7147,28.8213,28.2879,28.4302,648856,0
2012-03-06,28.0122,28.279,27.3897,27.9411,1034778,0
2012-03-07,28.0122,28.1545,27.4875,27.6298,1478032,0
2012-03-08,27.7454,28.2701,27.691999999999997,27.7988,1151676,0
2012-03-09,27.8343,27.8787,27.1763,27.3008,705496,0
2012-03-12,27.3274,27.6209,27.1229,27.3008,1490762,0
2012-03-13,27.4964,27.5587,26.9006,27.1051,2280549,0
2012-03-14,27.034000000000002,27.5676,26.8828,27.5587,1230156,0
2012-03-15,27.691999999999997,28.936999999999998,27.5009,28.8748,2318958,0
2012-03-16,28.9104,31.0535,28.4479,30.2354,4298036,0
2012-03-19,30.0575,30.3688,30.0575,30.2354,855753,0
2012-03-20,29.7552,30.4933,29.7552,30.3154,1064443,0
2012-03-21,30.3866,30.5911,29.6574,30.0309,1317052,0
2012-03-22,29.7996,30.022,29.3639,29.5684,1047119,0
2012-03-23,29.355,29.6663,29.1779,29.5862,531102,0
2012-03-26,29.6218,30.68,29.2216,30.5022,2182080,0
2012-03-27,30.5022,32.0584,30.1465,31.3825,2897748,0
2012-03-28,31.2581,31.7738,30.3065,30.7423,1842546,0
2012-03-29,30.4577,31.2825,30.1642,31.2669,1574906,0
2012-03-30,31.3737,32.7787,31.3648,31.7205,3047883,0
2012-04-02,31.676,33.5969,31.1602,33.2322,3570484,0
2012-04-03,33.2767,33.4279,32.4941,32.5386,1832917,0
2012-04-04,32.3785,32.7254,31.8361,32.2363,1634952,0
2012-04-05,32.0495,32.8432,31.8805,32.2185,2258925,0
2012-04-09,31.6227,31.8628,31.2669,31.5693,1097171,0
2012-04-10,31.5248,31.6227,30.6533,30.7512,1154033,0
2012-04-11,31.1335,31.4915,30.8935,30.9335,1014548,0
2012-04-12,30.9824,31.5426,30.9023,31.2136,1166864,0
2012-04-13,31.178,31.4447,30.5822,30.68,559480,0
