Date,Open,High,Low,Close,Volume,openinterest
2010-06-29,3.8,5.0,3.508,4.7780000000000005,18783276,0
2010-06-30,5.158,6.08384,4.66,4.766,17194394,0
2010-07-01,5.0,5.184,4.053999999999999,4.3919999999999995,8229863,0
2010-07-02,4.6,4.62,3.742,3.84,5141807,0
2010-07-06,4.0,4.0,3.1660000000000004,3.222,6879296,0
2010-07-07,3.28,3.326,2.9960000000000004,3.16,6924914,0
2010-07-08,3.228,3.5039999999999996,3.114,3.492,7719539,0
2010-07-09,3.516,3.58,3.31,3.4799999999999995,4058606,0
2010-07-12,3.59,3.614,3.4,3.41,2203570,0
2010-07-13,3.47876,3.728,3.38,3.628,2680060,0
2010-07-14,3.588,4.0299999999999985,3.5520199999999997,3.968,4196110,0
2010-07-15,3.988,4.3,3.8,3.978,3745297,0
2010-07-16,4.14,4.26,4.01,4.128,2621210,0
2010-07-19,4.274,4.45,4.184,4.382,2486489,0
2010-07-20,4.37,4.37,4.01,4.0600000000000005,1825231,0
2010-07-21,4.132,4.18,3.9,4.044,1253442,0
2010-07-22,4.1,4.25,4.074,4.2,962345,0
2010-07-23,4.238,4.3119999999999985,4.212,4.258,654049,0
2010-07-26,4.3,4.3,4.0600000000000005,4.19,922453,0
2010-07-27,4.1819999999999995,4.236000000000001,4.0520000000000005,4.11,619675,0
2010-07-28,4.11,4.18,4.102,4.144,467183,0
2010-07-29,4.154,4.176,4.0,4.07,615910,0
2010-07-30,4.04,4.088,3.91,3.988,426830,0
2010-08-02,4.1,4.194,4.066599999999998,4.184,719145,0
2010-08-03,4.2,4.39,4.164,4.39,1231023,0
2010-08-04,4.39,4.436,4.17,4.252000000000002,920756,0
2010-08-05,4.308,4.3100000000000005,4.01,4.09,796380,0
2010-08-06,4.0200000000000005,4.032019999999999,3.904,3.918,742138,0
2010-08-09,3.98,3.9960000000000004,3.89,3.92,812656,0
2010-08-10,3.93,3.93,3.764,3.806,1281286,0
2010-08-11,3.738,3.7760000000000002,3.5700000000000003,3.58,797650,0
2010-08-12,3.56,3.58,3.478,3.5200000000000005,691281,0
2010-08-13,3.636,3.69,3.53208,3.6639999999999997,634513,0
2010-08-16,3.69,3.76,3.652320000000001,3.756,486211,0
2010-08-17,3.792,3.88,3.756,3.83,447881,0
2010-08-18,3.918,3.918,3.72,3.7539999999999996,601332,0
2010-08-19,3.708,3.85,3.666,3.758,579082,0
2010-08-20,3.73,3.822,3.7020199999999996,3.82,297499,0
2010-08-23,3.818,4.07782,3.8,4.026,1088029,0
2010-08-24,3.85,3.9419999999999997,3.79,3.84,673074,0
2010-08-25,3.832,3.9960000000000004,3.712,3.98,503289,0
2010-08-26,3.978,4.053999999999999,3.92,3.95,433736,0
2010-08-27,3.95,3.9730000000000003,3.9,3.94,379642,0
2010-08-30,3.94,4.038,3.922,3.9739999999999998,732731,0
2010-08-31,3.932,3.958,3.866,3.8960000000000004,201012,0
2010-09-01,3.924,4.138,3.92,4.09,495685,0
2010-09-02,4.074,4.247999999999998,4.062060000000002,4.212,487060,0
2010-09-03,4.1739999999999995,4.26,4.132,4.21,434756,0
2010-09-07,4.122,4.2,4.1,4.1080000000000005,243335,0
2010-09-08,4.132,4.19,4.12,4.18,288382,0
2010-09-09,4.2,4.21,4.138,4.1419999999999995,376197,0
2010-09-10,4.15,4.186,3.952,4.034000000000002,386571,0
2010-09-13,4.178,4.1799,4.1,4.144,360703,0
2010-09-14,4.1080000000000005,4.32,4.106,4.224,654629,0
2010-09-15,4.196000000000001,4.4,4.158,4.396,684758,0
2010-09-16,4.43,4.632,4.168,4.1880000000000015,2685880,0
2010-09-17,4.204,4.263999999999999,3.96,4.046,1198458,0
2010-09-20,4.1339999999999995,4.2700000000000005,4.032,4.211,947475,0
2010-09-21,4.178,4.3100000000000005,4.1339999999999995,4.154,796000,0
2010-09-22,4.1739999999999995,4.19,3.96,3.9739999999999998,962816,0
2010-09-23,3.978,4.0280000000000005,3.9,3.912,668076,0
2010-09-24,3.99,4.038,3.93,4.0200000000000005,578987,0
2010-09-27,4.08,4.162,4.01,4.106,418597,0
2010-09-28,4.208,4.298,4.152,4.2799999999999985,1214465,0
2010-09-29,4.238,4.4060000000000015,4.226,4.396,1969457,0
2010-09-30,4.4,4.4299800000000005,4.038,4.081,2196625,0
2010-10-01,4.138,4.15,4.0619999999999985,4.12,599071,0
2010-10-04,4.086,4.234,4.0600000000000005,4.198,643599,0
2010-10-05,4.23,4.256,4.202,4.224,331936,0
2010-10-06,4.212,4.2516,4.064,4.0920000000000005,313552,0
2010-10-07,4.114,4.128,4.0680000000000005,4.086,141020,0
