Date,Open,High,Low,Close,Volume,openinterest
2005-11-18,4.00345,4.00345,3.149825,3.26735,17963300,0
2005-11-21,3.361625,3.480425,3.293175,3.377125,4209568,0
2005-11-22,3.293175,3.338375,2.938025,3.034875,3219400,0
2005-11-23,3.0917,3.112375,3.036175,3.073625,1031605,0
2005-11-25,3.07685,3.09945,3.034875,3.058125,291294,0
2005-11-28,3.058125,3.125275,3.045225,3.0607,810635,0
2005-11-29,3.042,3.05425,2.72235,2.757225,2030157,0
2005-11-30,2.75465,2.93285,2.7469,2.907025,804006,0
2005-12-01,2.9503,3.0646,2.91865,2.989675,729571,0
2005-12-02,3.062,3.2286,3.002725,3.1847,1179264,0
2005-12-05,3.2441,3.344825,3.1705,3.31385,706782,0
2005-12-06,3.3655,3.3784,3.1666,3.18985,577149,0
2005-12-07,3.216975,3.31255,3.216975,3.31255,440370,0
2005-12-08,3.293175,3.34225,3.26735,3.293175,249015,0
2005-12-09,3.3061,3.337075,3.202775,3.2286,199921,0
2005-12-12,3.2286,3.3035,3.1963,3.291875,327816,0
2005-12-13,3.32675,3.344825,3.2609,3.3048,267281,0
2005-12-14,3.35775,3.519175,3.34095,3.4869,1031095,0
2005-12-15,3.4869,3.570825,3.46105,3.53725,531223,0
2005-12-16,3.53595,3.56955,3.4236,3.56955,1004508,0
2005-12-19,3.563075,3.564375,3.247975,3.421025,895941,0
2005-12-20,3.556625,3.653475,3.467525,3.625075,1447588,0
2005-12-21,3.63475,3.71935,3.601825,3.68705,1235559,0
2005-12-22,3.69095,3.7236,3.61475,3.706425,535631,0
2005-12-23,3.706425,4.09695,3.68705,4.031875,1889157,0
2005-12-27,4.1197,4.5097,4.070625,4.295325,4149291,0
2005-12-28,4.3922,4.74475,4.35215,4.694375,3668184,0
2005-12-29,5.03015,5.16575,4.943625,5.147675,4523397,0
2005-12-30,5.117975,5.132175,4.80545,4.9475,3669891,0
2006-01-03,4.802875,4.8287,4.285,4.30825,4083647,0
2006-01-04,4.228175,4.2863,4.039625,4.08095,3765451,0
2006-01-05,4.19975,4.61045,4.15455,4.6014,3575957,0
2006-01-06,4.545875,4.696975,4.3457,4.58075,2777895,0
2006-01-09,4.64015,4.6453,4.49035,4.627225,1063773,0
2006-01-10,4.672425,4.97075,4.589775,4.8429,2967970,0
2006-01-11,4.943625,4.9785,4.71375,4.86745,1295651,0
2006-01-12,4.7964,5.088275,4.7964,4.97335,1549038,0
2006-01-13,5.012075,5.209675,4.97335,5.0392,1080826,0
2006-01-17,5.057275,5.089575,4.7848,4.929425,932733,0
2006-01-18,4.734425,5.10765,4.71375,4.9785,1007934,0
2006-01-19,4.946225,5.127025,4.9333,5.0082,625954,0
2006-01-20,5.03015,5.0689,4.8429,4.943625,670344,0
2006-01-23,4.9333,4.97205,4.71245,4.81965,948201,0
2006-01-24,4.82095,4.8881,4.7202,4.739575,742497,0
2006-01-25,4.726675,4.8752,4.491625,4.76025,818146,0
2006-01-26,4.76025,4.991425,4.76025,4.84935,644545,0
2006-01-27,4.8881,5.036625,4.817075,4.95395,409664,0
2006-01-30,4.95785,5.411125,4.89585,5.2045,2263686,0
2006-01-31,5.28845,5.306525,5.1141,5.164475,678062,0
2006-02-01,5.133475,5.2625,4.94105,5.0405,633603,0
2006-02-02,5.1141,5.16575,4.91005,5.09085,501624,0
2006-02-03,5.10765,5.1619,4.88165,5.01595,481327,0
2006-02-06,5.0844,5.12055,4.84935,5.06245,1149105,0
2006-02-07,4.288225,4.3909,3.955675,3.995725,7300139,0
2006-02-08,4.002175,4.00345,3.6806,3.8033,3177540,0
2006-02-09,3.9066,3.95825,3.7710000000000004,3.80845,936452,0
2006-02-10,3.81105,3.92855,3.80975,3.865275,492534,0
2006-02-13,3.844625,3.9686,3.844625,3.9066,686794,0
2006-02-14,3.9066,3.9815,3.882075,3.911775,350173,0
2006-02-15,3.87045,3.92985,3.729675,3.754225,749858,0
2006-02-16,3.721925,3.76145,3.49335,3.715475,1590279,0
2006-02-17,3.709025,3.77745,3.6044,3.73485,496573,0
2006-02-21,3.706425,3.706425,3.5282,3.53855,706861,0
2006-02-22,3.512725,3.662525,3.50625,3.64185,692295,0
2006-02-23,3.64185,3.807175,3.564375,3.76455,521245,0
2006-02-24,3.73225,3.767125,3.6762,3.71935,358886,0
2006-02-27,3.71805,3.7245,3.6806,3.68965,272435,0
2006-02-28,3.656075,3.68705,3.61345,3.640575,325951,0
2006-03-01,3.616025,3.738725,3.616025,3.699975,329083,0
2006-03-02,3.71935,3.79555,3.648325,3.774875,353315,0
2006-03-03,3.80975,3.80975,3.68705,3.7284,202670,0
2006-03-06,3.714175,3.73355,3.6522,3.693525,327735,0
2006-03-07,3.656075,3.77745,3.59665,3.661225,439302,0
2006-03-08,3.648325,3.648325,3.4546,3.47785,508052,0
2006-03-09,3.46105,3.534675,3.46105,3.4869,388752,0
2006-03-10,3.480425,3.480425,3.338375,3.428775,567285,0
2006-03-13,3.421025,3.579875,3.3797,3.541125,345133,0
2006-03-14,3.874325,3.9389,3.7581,3.82265,1970839,0
2006-03-15,3.83815,3.8601,3.76195,3.8485,271738,0
2006-03-16,3.8485,3.9544,3.8485,3.9092,599860,0
2006-03-17,3.9247,3.942775,3.874325,3.88335,265498,0
2006-03-20,3.880775,4.06805,3.8627,4.009925,533045,0
2006-03-21,4.00345,4.00605,3.91435,3.99055,413116,0
2006-03-22,4.00345,4.031875,3.874325,4.0267,326701,0
2006-03-23,4.033175,4.1649,4.009925,4.0719,714942,0
2006-03-24,4.0719,4.281125,4.06545,4.26175,586052,0
2006-03-27,4.2708,4.538125,4.242375,4.416725,1155074,0
2006-03-28,4.401225,4.507125,4.228175,4.250125,821045,0
2006-03-29,4.234,4.44255,4.229475,4.3909,588054,0
2006-03-30,4.372825,4.4219,4.242375,4.24495,313011,0
2006-03-31,4.242375,4.24885,4.1649,4.184275,313019,0
2006-04-03,4.223,4.317275,4.197175,4.20105,347852,0
2006-04-04,4.197175,4.3005,4.197175,4.24885,301395,0
2006-04-05,4.326325,4.377975,4.2411,4.2566,327153,0
2006-04-06,4.26305,4.326325,4.212675,4.2256,242476,0
2006-04-07,4.221725,4.26175,4.184275,4.18815,204748,0
2006-04-10,4.228175,4.242375,4.0874,4.106775,267859,0
2006-04-11,4.1016,4.11325,3.97765,4.0293,321768,0
2006-04-12,4.016375,4.0564,3.971175,4.02155,239621,0
2006-04-13,4.00735,4.0745,3.9841,4.06805,216764,0
2006-04-17,4.0745,4.167475,4.070625,4.15845,290643,0
2006-04-18,4.17135,4.197175,4.1468,4.1804,187718,0
2006-04-19,4.1959,4.326325,4.1778,4.26175,289115,0
2006-04-20,4.26175,4.365075,4.2553,4.259175,197808,0
2006-04-21,4.340525,4.3457,4.221725,4.24755,242745,0
2006-04-24,4.2553,4.356025,4.24755,4.310825,299364,0
2006-04-25,4.326325,4.371525,4.197175,4.2243,352887,0
2006-04-26,5.18125,5.2305,4.749925,4.778325,6698319,0
2006-04-27,4.882925,5.034025,4.75895,4.885525,878869,0
2006-04-28,4.86485,4.9333,4.74605,4.749925,428394,0
2006-05-01,4.7512,4.848075,4.6634,4.74345,473399,0
2006-05-02,4.7693,4.817075,4.6311,4.6634,297894,0
2006-05-03,4.66855,4.740875,4.573,4.61045,321534,0
2006-05-04,4.634975,4.7357,4.59365,4.734425,257340,0
2006-05-05,4.7525,4.832575,4.726675,4.7525,287406,0
2006-05-08,4.7525,4.795125,4.664675,4.68275,218879,0
2006-05-09,4.689225,4.9204,4.689225,4.8442,763723,0
2006-05-10,4.665975,4.80415,4.54715,4.7654,459904,0
2006-05-11,4.681475,4.8429,4.681475,4.748625,456610,0
2006-05-12,4.71505,4.75755,4.5394,4.567825,340588,0
2006-05-15,4.57815,4.7073,4.455475,4.59235,264523,0
2006-05-16,4.642725,4.6479,4.573,4.62335,156157,0
2006-05-17,4.636275,4.636275,4.508425,4.54975,423704,0
2006-05-18,4.542,4.5846,4.2411,4.26305,1125197,0
2006-05-19,4.27725,4.47355,4.1649,4.44515,743439,0
2006-05-22,4.44255,4.553625,4.3586,4.476125,501697,0
2006-05-23,4.53295,4.6311,4.507125,4.552325,602105,0
2006-05-24,4.58075,4.65435,4.45935,4.551025,942251,0
2006-05-25,4.597525,4.649175,4.26305,4.41415,784978,0
2006-05-26,4.4348,4.507125,4.36895,4.44255,3439199,0
2006-05-30,4.461275,4.485175,4.407675,4.45675,652412,0
2006-05-31,4.468375,4.649175,4.4051,4.61045,1108995,0
2006-06-01,4.642725,4.824825,4.62465,4.8106,1055144,0
2006-06-02,4.83,4.861825,4.756375,4.793825,442250,0
2006-06-05,4.83,4.89715,4.656925,4.695675,677116,0
2006-06-06,4.72795,4.7977,4.500675,4.636275,749182,0
2006-06-07,4.6621,4.6892,4.48775,4.52005,503014,0
2006-06-08,4.432225,4.50195,4.3302,4.476125,660674,0
2006-06-09,4.5562,4.6479,4.52005,4.560075,402121,0
2006-06-12,4.5717,4.6169,4.477425,4.5097,501673,0
2006-06-13,4.4955,4.725375,4.4955,4.6156,1068081,0
2006-06-14,4.665975,4.778325,4.6298,4.778325,619859,0
2006-06-15,4.80675,4.901,4.71505,4.79125,843817,0
2006-06-16,4.802875,5.0521,4.7977,4.9927,1445014,0
2006-06-19,5.110225,5.351725,4.97205,5.094725,2622309,0
2006-06-20,5.1464,5.1464,4.8106,4.8597,1358874,0
2006-06-21,4.8429,4.901,4.748625,4.876475,835474,0
2006-06-22,4.876475,4.9617,4.762825,4.77445,595447,0
2006-06-23,4.75895,5.01465,4.6324,4.8442,681052,0
2006-06-26,4.8752,4.906175,4.771875,4.82225,299021,0
2006-06-27,4.82225,4.8881,4.68405,4.764125,513571,0
2006-06-28,4.7964,4.9785,4.75895,4.95525,544435,0
2006-06-29,4.937175,5.27295,4.937175,5.25615,1145574,0
2006-06-30,5.3388,5.61775,5.27295,5.504125,3688105,0
2006-07-03,5.5222,5.55965,5.46925,5.53125,439342,0
2006-07-05,5.4615,5.546725,5.3724,5.541575,885863,0
2006-07-06,5.541575,5.6139,5.39435,5.49765,762616,0
2006-07-07,5.4176,5.540275,4.968175,5.004325,2475295,0
2006-07-10,5.00305,5.2058,5.00175,5.072775,1070300,0
2006-07-11,5.086975,5.2949,4.854525,5.291025,928491,0
2006-07-12,5.2342,5.31815,5.185125,5.21225,490781,0
2006-07-13,5.16705,5.16835,4.9178,5.110225,1009177,0
2006-07-14,5.0069,5.24195,4.960425,5.0521,900528,0
2006-07-17,5.0392,5.1296,4.92855,5.058575,473750,0
2006-07-18,5.072775,5.2213,4.90875,4.9656,455432,0
2006-07-19,4.9656,5.3556,4.951375,5.3117,812708,0
2006-07-20,5.34655,5.5196,5.30265,5.420175,975298,0
2006-07-21,5.420175,5.4331,5.1593,5.24325,614342,0
2006-07-24,5.30135,5.57255,5.24195,5.4938,1160911,0
2006-07-25,5.495075,5.61775,5.338175,5.3556,1096817,0
2006-07-26,5.111525,5.28715,4.937175,5.2523,4121674,0
2006-07-27,5.2949,5.37885,5.043075,5.12185,1405791,0
2006-07-28,5.0521,5.306525,5.0521,5.269075,689685,0
2006-07-31,5.24325,5.307825,5.155425,5.185125,643589,0
2006-08-01,5.1606,5.230325,4.981075,5.036625,637207,0
2006-08-02,4.83,4.930725,4.71375,4.77705,1695841,0
2006-08-03,4.717625,4.8416,4.619475,4.832575,1256506,0
2006-08-04,4.86485,4.946225,4.787375,4.815775,737283,0
2006-08-07,4.75895,4.963,4.673725,4.71505,1582905,0
2006-08-08,4.74475,4.74475,4.52005,4.5433,1274152,0
2006-08-09,4.552325,4.6337,4.29405,4.317275,1116167,0
2006-08-10,4.29275,4.416725,4.2075,4.385725,1002115,0
2006-08-11,4.3586,4.385725,4.15845,4.190725,999219,0
2006-08-14,4.325025,4.39735,4.175225,4.1946,903841,0
2006-08-15,4.27725,4.50455,4.251425,4.485175,978371,0
2006-08-16,4.5407,4.665975,4.522625,4.54845,1083622,0
2006-08-17,4.57685,4.62205,4.48645,4.52005,534844,0
2006-08-18,4.544575,4.59235,4.48775,4.552325,467575,0
2006-08-21,4.5549,4.582025,4.49035,4.513575,461882,0
2006-08-22,4.5278,4.6789,4.48645,4.5846,718275,0
2006-08-23,4.5846,4.5846,4.455475,4.508425,445106,0
