Date,Open,High,Low,Close,Volume,openinterest
1984-10-17,0.14453125,0.148440625,0.14453125,0.14453125,308400,0
1984-10-18,0.148440625,0.15625,0.148440625,0.148440625,166400,0
1984-10-19,0.14453125,0.148440625,0.14453125,0.14453125,95100,0
1984-10-22,0.14453125,0.148440625,0.14453125,0.14453125,72700,0
1984-10-23,0.14063125,0.14453125,0.14063125,0.14063125,24600,0
1984-10-24,0.14453125,0.148440625,0.14453125,0.14453125,7200,0
1984-10-25,0.14063125,0.148440625,0.14063125,0.14063125,49600,0
1984-10-26,0.14063125,0.14453125,0.14063125,0.14063125,23700,0
1984-10-29,0.14063125,0.14453125,0.14063125,0.14063125,19200,0
1984-10-30,0.14063125,0.148440625,0.14063125,0.14063125,6000,0
1984-10-31,0.14453125,0.148440625,0.14453125,0.14453125,9300,0
1984-11-01,0.14063125,0.14453125,0.14063125,0.14063125,11000,0
1984-11-02,0.14063125,0.14453125,0.14063125,0.14063125,51200,0
1984-11-05,0.13671875,0.14063125,0.13671875,0.13671875,16700,0
1984-11-06,0.13671875,0.14063125,0.13671875,0.13671875,17000,0
1984-11-07,0.13671875,0.14063125,0.13671875,0.13671875,2400,0
1984-11-08,0.13671875,0.14063125,0.13671875,0.13671875,1400,0
1984-11-09,0.13671875,0.14063125,0.13671875,0.13671875,28000,0
1984-11-12,0.13671875,0.14063125,0.13671875,0.13671875,9400,0
1984-11-13,0.13671875,0.14063125,0.13671875,0.13671875,14500,0
1984-11-14,0.132809375,0.14063125,0.132809375,0.132809375,47600,0
1984-11-15,0.132809375,0.13671875,0.132809375,0.132809375,4900,0
1984-11-16,0.125,0.13671875,0.125,0.125,18100,0
1984-11-19,0.125,0.13671875,0.125,0.125,11200,0
1984-11-20,0.121090625,0.128909375,0.121090625,0.121090625,5600,0
1984-11-21,0.121090625,0.128909375,0.121090625,0.121090625,28300,0
1984-11-23,0.121090625,0.128909375,0.121090625,0.121090625,800,0
1984-11-26,0.125,0.128909375,0.125,0.125,5200,0
1984-11-27,0.128909375,0.132809375,0.128909375,0.128909375,4600,0
1984-11-28,0.128909375,0.132809375,0.128909375,0.128909375,15400,0
1984-11-29,0.128909375,0.132809375,0.128909375,0.128909375,8200,0
1984-11-30,0.128909375,0.132809375,0.128909375,0.128909375,17400,0
1984-12-03,0.125,0.132809375,0.125,0.125,11900,0
1984-12-04,0.121090625,0.128909375,0.121090625,0.121090625,6800,0
1984-12-05,0.121090625,0.128909375,0.121090625,0.121090625,3200,0
1984-12-06,0.117190625,0.125,0.117190625,0.117190625,19700,0
1984-12-07,0.117190625,0.121090625,0.117190625,0.117190625,2700,0
1984-12-10,0.117190625,0.121090625,0.117190625,0.117190625,65600,0
1984-12-11,0.117190625,0.121090625,0.117190625,0.117190625,5900,0
1984-12-12,0.117190625,0.121090625,0.117190625,0.117190625,12300,0
1984-12-13,0.117190625,0.121090625,0.117190625,0.117190625,3200,0
1984-12-14,0.117190625,0.121090625,0.117190625,0.117190625,2800,0
1984-12-17,0.117190625,0.121090625,0.117190625,0.117190625,3200,0
1984-12-18,0.117190625,0.121090625,0.117190625,0.117190625,6700,0
1984-12-19,0.117190625,0.121090625,0.117190625,0.117190625,3200,0
1984-12-20,0.117190625,0.121090625,0.117190625,0.117190625,3800,0
1984-12-21,0.117190625,0.121090625,0.117190625,0.117190625,22000,0
1984-12-24,0.117190625,0.121090625,0.117190625,0.117190625,28800,0
