Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,1.6050375,1.67423125,1.5705125,1.6050375,22800,0
1980-03-18,1.65353125,1.67423125,1.5705125,1.65353125,17800,0
1980-03-19,1.65353125,1.6880625,1.63271875,1.65353125,16300,0
1980-03-20,1.65353125,1.6603875,1.6396875,1.65353125,3700,0
1980-03-21,1.61888125,1.63271875,1.6050375,1.61888125,4500,0
1980-03-24,1.49435,1.63271875,1.49435,1.49435,21900,0
1980-03-25,1.439,1.4874875,1.42516875,1.439,35100,0
1980-03-26,1.35598125,1.4528375,1.35598125,1.35598125,29700,0
1980-03-28,1.35598125,1.39063125,1.34215,1.35598125,47900,0
1980-03-31,1.3974875,1.41133125,1.3352875,1.3974875,14300,0
1980-04-01,1.3836625,1.3974875,1.36981875,1.3836625,35400,0
1980-04-02,1.4183,1.42516875,1.3974875,1.4183,8000,0
1980-04-03,1.4183,1.44598125,1.4183,1.4183,10900,0
1980-04-07,1.3836625,1.4321375,1.3836625,1.3836625,5500,0
1980-04-08,1.41133125,1.41133125,1.3629625,1.41133125,5400,0
1980-04-09,1.4528375,1.4528375,1.3974875,1.4528375,9400,0
1980-04-10,1.4528375,1.4598125,1.41133125,1.4528375,10300,0
1980-04-11,1.3836625,1.439,1.36981875,1.3836625,23200,0
1980-04-14,1.3629625,1.3629625,1.34215,1.3629625,8200,0
1980-04-15,1.34215,1.3836625,1.34215,1.34215,23300,0
1980-04-16,1.32145,1.3767875,1.32145,1.32145,34900,0
1980-04-17,1.2799375,1.35598125,1.2799375,1.2799375,15300,0
1980-04-18,1.2107625,1.29378125,1.2107625,1.2107625,37300,0
1980-04-21,1.18995,1.2107625,1.16226875,1.18995,17900,0
1980-04-22,1.2314625,1.2452875,1.18308125,1.2314625,85200,0
1980-04-23,1.21761875,1.25226875,1.21761875,1.21761875,42400,0
1980-04-24,1.25226875,1.2661,1.20378125,1.25226875,26700,0
1980-04-25,1.25226875,1.25913125,1.2314625,1.25226875,26900,0
1980-04-28,1.2661,1.27296875,1.23843125,1.2661,8600,0
1980-04-29,1.3283125,1.3352875,1.25913125,1.3283125,18000,0
1980-04-30,1.31446875,1.3352875,1.3076125,1.31446875,16000,0
1980-05-01,1.2868,1.3283125,1.2799375,1.2868,29100,0
1980-05-02,1.27296875,1.3006375,1.27296875,1.27296875,14900,0
1980-05-05,1.27296875,1.29378125,1.25913125,1.27296875,14300,0
1980-05-06,1.23843125,1.2661,1.2314625,1.23843125,9100,0
1980-05-07,1.2661,1.27296875,1.2314625,1.2661,22400,0
1980-05-08,1.2452875,1.2661,1.23843125,1.2452875,9400,0
1980-05-09,1.2452875,1.25913125,1.23843125,1.2452875,26000,0
1980-05-12,1.21761875,1.2245875,1.18995,1.21761875,12400,0
1980-05-13,1.2868,1.29378125,1.2314625,1.2868,27000,0
1980-05-14,1.3283125,1.34215,1.31446875,1.3283125,71800,0
1980-05-15,1.3629625,1.39063125,1.3283125,1.3629625,28900,0
1980-05-16,1.3836625,1.3974875,1.36981875,1.3836625,17700,0
1980-05-19,1.3629625,1.3836625,1.3629625,1.3629625,3100,0
1980-05-20,1.35598125,1.3629625,1.34215,1.35598125,18000,0
1980-05-21,1.35598125,1.35598125,1.3352875,1.35598125,15400,0
