Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,0.30155,0.3052,0.2996703125,0.30155,51900,0
1980-03-18,0.2960203125,0.2979,0.294140625,0.2960203125,4200,0
1980-03-19,0.2813203125,0.290490625,0.2813203125,0.2813203125,2200,0
1980-03-20,0.290490625,0.290490625,0.2813203125,0.290490625,4500,0
1980-03-21,0.3070796875,0.3070796875,0.2923796875,0.3070796875,2800,0
1980-03-24,0.2923796875,0.3034296875,0.2923796875,0.2923796875,2700,0
1980-03-25,0.28685,0.290490625,0.28685,0.28685,2400,0
1980-03-26,0.294140625,0.294140625,0.290490625,0.294140625,500,0
1980-03-27,0.2776703125,0.290490625,0.2740203125,0.2776703125,9100,0
1980-03-28,0.2813203125,0.2813203125,0.2794296875,0.2813203125,700,0
1980-03-31,0.2813203125,0.284959375,0.2776703125,0.2813203125,11300,0
1980-04-01,0.275790625,0.2794296875,0.275790625,0.275790625,1400,0
1980-04-02,0.290490625,0.290490625,0.2794296875,0.290490625,1800,0
1980-04-03,0.294140625,0.294140625,0.2923796875,0.294140625,3000,0
1980-04-07,0.2813203125,0.290490625,0.2813203125,0.2813203125,2700,0
1980-04-08,0.2794296875,0.2794296875,0.275790625,0.2794296875,2800,0
1980-04-09,0.2794296875,0.2794296875,0.275790625,0.2794296875,2200,0
1980-04-10,0.2923796875,0.2923796875,0.2813203125,0.2923796875,6200,0
1980-04-11,0.2996703125,0.2996703125,0.2887296875,0.2996703125,5300,0
1980-04-14,0.294140625,0.3034296875,0.294140625,0.294140625,17300,0
1980-04-15,0.290490625,0.290490625,0.290490625,0.290490625,100,0
1980-04-16,0.2923796875,0.2923796875,0.2887296875,0.2923796875,2700,0
1980-04-17,0.2923796875,0.2923796875,0.2923796875,0.2923796875,300,0
1980-04-18,0.2923796875,0.2923796875,0.2923796875,0.2923796875,400,0
1980-04-21,0.2923796875,0.2923796875,0.2887296875,0.2923796875,2000,0
1980-04-22,0.2887296875,0.2923796875,0.2832,0.2887296875,6300,0
1980-04-23,0.2923796875,0.2923796875,0.2923796875,0.2923796875,6600,0
1980-04-24,0.28685,0.290490625,0.28685,0.28685,4100,0
1980-04-25,0.28685,0.290490625,0.28685,0.28685,200,0
1980-04-28,0.2832,0.284959375,0.2813203125,0.2832,6500,0
1980-04-29,0.290490625,0.290490625,0.28685,0.290490625,800,0
1980-04-30,0.2923796875,0.2923796875,0.2923796875,0.2923796875,1100,0
1980-05-01,0.2923796875,0.2923796875,0.2887296875,0.2923796875,1000,0
1980-05-02,0.290490625,0.2923796875,0.2887296875,0.290490625,3200,0
1980-05-05,0.2979,0.2979,0.294140625,0.2979,5400,0
1980-05-06,0.30885,0.30885,0.2996703125,0.30885,18300,0
1980-05-07,0.312609375,0.312609375,0.3070796875,0.312609375,4400,0
1980-05-08,0.3107296875,0.3143796875,0.30885,0.3107296875,12700,0
1980-05-09,0.2996703125,0.30885,0.2996703125,0.2996703125,5100,0
1980-05-12,0.30155,0.30155,0.30155,0.30155,400,0
1980-05-13,0.2960203125,0.3070796875,0.2960203125,0.2960203125,47500,0
1980-05-14,0.3070796875,0.3070796875,0.3034296875,0.3070796875,2800,0
1980-05-15,0.3070796875,0.3070796875,0.3070796875,0.3070796875,2000,0
1980-05-16,0.312609375,0.312609375,0.3034296875,0.312609375,37900,0
1980-05-19,0.30885,0.3143796875,0.30885,0.30885,1100,0
1980-05-20,0.3107296875,0.3143796875,0.3107296875,0.3107296875,800,0
1980-05-21,0.32355,0.32355,0.3143796875,0.32355,67500,0
1980-05-22,0.3676796875,0.3732,0.32355,0.3676796875,108300,0
1980-05-23,0.369559375,0.38615,0.365909375,0.369559375,9000,0
1980-05-27,0.3585,0.3676796875,0.3585,0.3585,3700,0
1980-05-28,0.338259375,0.3512,0.338259375,0.338259375,48700,0
1980-05-29,0.3365,0.338259375,0.3365,0.3365,14300,0
1980-05-30,0.3420296875,0.343790625,0.33285,0.3420296875,10100,0
1980-06-02,0.340140625,0.3420296875,0.338259375,0.340140625,1400,0
1980-06-03,0.338259375,0.343790625,0.338259375,0.338259375,1900,0
1980-06-04,0.33285,0.33285,0.33285,0.33285,1000,0
1980-06-05,0.3273203125,0.334609375,0.325440625,0.3273203125,9500,0
1980-06-06,0.338259375,0.338259375,0.3273203125,0.338259375,4600,0
1980-06-09,0.338259375,0.338259375,0.33285,0.338259375,1900,0
1980-06-10,0.340140625,0.343790625,0.338259375,0.340140625,5000,0
1980-06-11,0.338259375,0.3420296875,0.334609375,0.338259375,3000,0
1980-06-12,0.338259375,0.343790625,0.338259375,0.338259375,4900,0
1980-06-13,0.340140625,0.340140625,0.338259375,0.340140625,5300,0
1980-06-16,0.338259375,0.3420296875,0.33285,0.338259375,4700,0
1980-06-17,0.3456703125,0.3456703125,0.340140625,0.3456703125,9400,0
1980-06-18,0.3420296875,0.343790625,0.3420296875,0.3420296875,3600,0
1980-06-19,0.343790625,0.3493203125,0.338259375,0.343790625,13200,0
1980-06-20,0.3456703125,0.3456703125,0.343790625,0.3456703125,4400,0
1980-06-23,0.343790625,0.3456703125,0.340140625,0.343790625,17200,0
1980-06-24,0.3365,0.340140625,0.33285,0.3365,4200,0
1980-06-25,0.338259375,0.338259375,0.334609375,0.338259375,5300,0
1980-06-26,0.338259375,0.338259375,0.33285,0.338259375,13400,0
1980-06-27,0.33285,0.334609375,0.33285,0.33285,2000,0
1980-07-01,0.3365,0.3365,0.33285,0.3365,1600,0
1980-07-02,0.334609375,0.338259375,0.334609375,0.334609375,13900,0
1980-07-03,0.3603796875,0.3603796875,0.340140625,0.3603796875,36900,0
1980-07-07,0.3676796875,0.375090625,0.365909375,0.3676796875,5100,0
1980-07-08,0.3603796875,0.3676796875,0.3603796875,0.3603796875,2100,0
1980-07-09,0.362259375,0.3676796875,0.3567296875,0.362259375,13600,0
1980-07-10,0.3603796875,0.365909375,0.35485,0.3603796875,3300,0
1980-07-11,0.35485,0.362259375,0.35485,0.35485,5500,0
1980-07-14,0.365909375,0.365909375,0.3585,0.365909375,4000,0
1980-07-15,0.3640296875,0.375090625,0.3640296875,0.3640296875,24900,0
1980-07-16,0.3823796875,0.38615,0.3640296875,0.3823796875,5900,0
1980-07-17,0.40085,0.4026203125,0.38615,0.40085,12000,0
1980-07-18,0.393440625,0.40085,0.389790625,0.393440625,23300,0
1980-07-21,0.40085,0.40085,0.393440625,0.40085,22100,0
1980-07-22,0.3916796875,0.40085,0.3916796875,0.3916796875,17800,0
1980-07-23,0.38615,0.3953203125,0.3787296875,0.38615,14600,0
1980-07-24,0.3769703125,0.387909375,0.3769703125,0.3769703125,6200,0
1980-07-25,0.3806203125,0.3823796875,0.375090625,0.3806203125,12500,0
1980-07-28,0.3953203125,0.3953203125,0.3823796875,0.3953203125,26500,0
1980-07-29,0.397090625,0.3989703125,0.3953203125,0.397090625,21000,0
1980-07-30,0.40085,0.40085,0.3953203125,0.40085,41000,0
