Date,Open,High,Low,Close,Volume,openinterest
1990-06-18,10.0516,10.0977,10.0516,10.0516,2000,0
1990-06-19,9.8671,9.9594,9.7749,9.8671,8100,0
1990-06-20,9.6366,9.7749,9.6366,9.6366,5600,0
1990-06-21,9.4983,9.5905,9.4522,9.4983,7700,0
1990-06-22,9.5905,9.5905,9.5905,9.5905,2000,0
1990-06-25,9.4061,9.4983,9.4061,9.4061,4100,0
1990-06-26,9.1294,9.4061,9.1294,9.1294,6600,0
1990-06-27,9.2216,9.2216,9.2216,9.2216,10500,0
1990-06-28,9.2216,9.3138,9.1294,9.2216,9300,0
1990-06-29,9.3138,9.3138,9.2216,9.3138,1600,0
1990-07-02,9.2677,9.2677,9.1755,9.2677,2900,0
1990-07-03,9.1294,9.3138,9.1294,9.1294,17900,0
1990-07-05,8.8528,9.0372,8.8528,8.8528,3000,0
1990-07-06,8.8528,8.8528,8.8528,8.8528,4800,0
1990-07-09,8.6683,8.7605,8.6683,8.6683,9000,0
1990-07-10,8.6222,8.6222,8.4839,8.6222,26300,0
1990-07-11,8.2073,8.53,8.115,8.2073,22100,0
1990-07-12,8.115,8.1611,8.0228,8.115,5700,0
1990-07-13,7.9306,8.115,7.8384,7.9306,28000,0
1990-07-16,8.115,8.115,7.7923,8.115,36400,0
1990-07-17,8.2073,8.2073,8.115,8.2073,19400,0
1990-07-18,8.115,8.2073,8.0228,8.115,42200,0
1990-07-19,8.2073,8.2073,8.1611,8.2073,3000,0
1990-07-20,8.2073,8.2995,8.115,8.2073,5100,0
1990-07-23,8.115,8.115,8.0228,8.115,11700,0
1990-07-24,8.2073,8.2073,8.2073,8.2073,700,0
1990-07-25,8.4839,8.4839,8.2073,8.4839,13200,0
1990-07-26,8.0689,8.3917,8.0228,8.0689,11700,0
1990-07-27,8.0228,8.0228,7.9767,8.0228,600,0
1990-07-30,7.8845,7.9767,7.8845,7.8845,5300,0
1990-07-31,7.7001,7.8384,7.654,7.7001,17100,0
1990-08-01,7.654,7.654,7.654,7.654,16100,0
1990-08-02,7.4695,7.5617,7.4695,7.4695,2300,0
1990-08-03,7.239,7.3773,7.0084,7.239,12600,0
1990-08-06,6.824,7.1006,6.824,6.824,2000,0
1990-08-07,6.8701,6.9162,6.7318,6.8701,12600,0
1990-08-08,6.6857,6.824,6.6396,6.6857,3000,0
1990-08-09,6.8701,6.8701,6.6396,6.8701,2900,0
1990-08-10,6.7779,6.9162,6.6857,6.7779,5200,0
1990-08-13,6.7779,6.7779,6.6857,6.7779,6100,0
1990-08-14,6.7779,6.824,6.6396,6.7779,7200,0
1990-08-15,6.7318,6.9623,6.6396,6.7318,74600,0
1990-08-16,6.6396,6.6857,6.5473,6.6396,26500,0
1990-08-17,6.0863,6.5012,5.9941,6.0863,15500,0
1990-08-20,6.3168,6.3168,6.0863,6.3168,11000,0
1990-08-21,6.3629,6.3629,6.2707,6.3629,8800,0
1990-08-22,6.1785,6.4551,6.1785,6.1785,2800,0
1990-08-23,5.5791,6.0863,5.5791,5.5791,17800,0
1990-08-24,5.5329999999999995,5.5329999999999995,5.2102,5.5329999999999995,35300,0
1990-08-27,5.8096,5.8096,5.6252,5.8096,94300,0
1990-08-28,5.7174,5.7174,5.7174,5.7174,3500,0
1990-08-29,5.9018,5.9018,5.8096,5.9018,13200,0
1990-08-30,5.8557,5.8557,5.8557,5.8557,200,0
1990-08-31,5.9941,5.9941,5.9479,5.9941,1000,0
1990-09-04,5.7635,5.9018,5.6713,5.7635,55000,0
1990-09-05,5.7635,5.7635,5.6713,5.7635,141200,0
1990-09-06,5.7174,5.7635,5.6713,5.7174,21000,0
1990-09-07,5.8557,5.9018,5.7174,5.8557,40100,0
1990-09-10,5.9479,5.9479,5.9479,5.9479,19500,0
1990-09-11,6.4551,6.4551,5.9941,6.4551,28200,0
1990-09-12,6.6396,6.6396,6.4551,6.6396,3600,0
1990-09-13,6.7318,6.7318,6.6396,6.7318,5800,0
1990-09-14,6.6396,6.6857,6.5935,6.6396,31200,0
1990-09-17,6.5935,6.6396,6.5012,6.5935,11400,0
1990-09-18,6.5935,6.5935,6.5012,6.5935,16900,0
1990-09-19,6.6857,6.6857,6.6396,6.6857,1700,0
1990-09-20,6.824,6.824,6.7318,6.824,13300,0
1990-09-21,6.7318,6.7779,6.6396,6.7318,25500,0
1990-09-24,6.5473,6.6396,6.5473,6.5473,9000,0
1990-09-25,6.2707,6.4551,6.2707,6.2707,22400,0
1990-09-26,6.1785,6.2707,6.1785,6.1785,23000,0
1990-09-27,6.1324,6.1324,6.1324,6.1324,1000,0
1990-09-28,6.409,6.409,5.9479,6.409,42600,0
1990-10-01,6.7318,6.7318,6.5473,6.7318,6800,0
1990-10-02,6.8701,6.8701,6.6396,6.8701,7900,0
1990-10-03,6.9162,6.9162,6.7779,6.9162,1700,0
1990-10-04,6.8701,6.8701,6.824,6.8701,3200,0
1990-10-05,6.8701,6.8701,6.6857,6.8701,12700,0
1990-10-08,6.9162,6.9162,6.7779,6.9162,2200,0
1990-10-09,6.6396,7.0084,6.5935,6.6396,12100,0
1990-10-10,6.5473,6.6396,6.5473,6.5473,22700,0
1990-10-11,6.3629,6.5473,6.3629,6.3629,15300,0
1990-10-12,6.0863,6.3629,5.9941,6.0863,48200,0
1990-10-15,6.1324,6.1324,6.0402,6.1324,8300,0
1990-10-17,6.0863,6.0863,6.0402,6.0863,2600,0
1990-10-18,6.2707,6.2707,6.1785,6.2707,25900,0
1990-10-19,6.2246,6.2246,6.2246,6.2246,1300,0
1990-10-22,6.2707,6.2707,6.0863,6.2707,4000,0
1990-10-23,6.2246,6.2246,6.2246,6.2246,700,0
1990-10-24,5.8557,6.1324,5.8557,5.8557,5400,0
1990-10-25,5.8096,5.8096,5.8096,5.8096,200,0
1990-10-26,5.8096,5.8096,5.7635,5.8096,5300,0
1990-10-29,5.3024,5.9018,5.2102,5.3024,30400,0
1990-10-30,5.3947,5.3947,5.3024,5.3947,11000,0
1990-10-31,5.4408,5.4408,5.3485,5.4408,3900,0
1990-11-01,5.3024,5.4869,5.3024,5.3024,16000,0
1990-11-02,5.6713,5.6713,5.3947,5.6713,9100,0
1990-11-05,5.7174,5.7635,5.6252,5.7174,4900,0
1990-11-06,5.8096,5.8096,5.7635,5.8096,7700,0
1990-11-07,5.7635,5.8096,5.7174,5.7635,1300,0
1990-11-08,5.6252,5.6713,5.6252,5.6252,14500,0
1990-11-09,5.8557,5.9018,5.6252,5.8557,22500,0
1990-11-12,6.5473,6.5473,5.9479,6.5473,132600,0
1990-11-13,6.409,6.4551,6.3629,6.409,12600,0
1990-11-14,6.4551,6.4551,6.409,6.4551,34000,0
1990-11-15,6.409,6.4551,6.409,6.409,13500,0
1990-11-16,6.4551,6.4551,6.3629,6.4551,7100,0
1990-11-19,6.409,6.409,6.409,6.409,1500,0
1990-11-20,6.3629,6.3629,6.3629,6.3629,1200,0
1990-11-21,6.3168,6.4551,6.3168,6.3168,15500,0
