Date,Open,High,Low,Close,Volume,openinterest
1998-01-30,5.125,6.5625,5.125,6.375,4564200,0
1998-02-02,6.84375,9.3125,6.625,7.75,2531800,0
1998-02-03,8.25,8.78125,8.0,8.25,1561200,0
1998-02-04,8.21875,8.28125,7.625,7.90625,526700,0
1998-02-05,8.0625,8.25,7.625,7.640625,222700,0
1998-02-06,7.671875,7.71875,6.875,6.96875,711700,0
1998-02-09,6.875,7.0,6.40625,6.75,486200,0
1998-02-10,6.6875,7.375,6.53125,7.0,250300,0
1998-02-11,7.03125,7.4375,6.90625,7.4375,210600,0
1998-02-12,7.40625,7.90625,7.28125,7.78125,277900,0
1998-02-13,7.84375,8.0,7.6875,7.75,136200,0
1998-02-17,7.84375,8.0,7.6875,7.8125,110400,0
1998-02-18,7.84375,7.875,7.71875,7.8125,61500,0
1998-02-19,7.875,7.96875,7.6875,7.6875,79600,0
1998-02-20,7.6875,8.0,7.6875,7.96875,87300,0
1998-02-23,7.6875,7.71875,7.21875,7.25,352400,0
1998-02-24,7.40625,7.421875,6.6875,6.84375,649800,0
1998-02-25,7.0,7.25,6.8125,7.25,285800,0
1998-02-26,7.28125,7.28125,7.0625,7.21875,122800,0
1998-02-27,7.125,7.21875,7.125,7.15625,143400,0
1998-03-02,7.15625,7.203125,7.09375,7.109375,116600,0
1998-03-03,7.125,7.125,7.0,7.125,160600,0
1998-03-04,7.1875,7.1875,6.8125,6.89845,94400,0
1998-03-05,6.71875,6.875,6.625,6.671875,209200,0
1998-03-06,6.78125,7.125,6.6875,7.078125,113500,0
1998-03-09,6.96875,7.9375,6.96875,7.5625,433100,0
1998-03-10,7.6875,8.28125,7.5625,8.265625,461000,0
1998-03-11,8.40625,9.1875,8.34375,8.96875,677000,0
1998-03-12,9.09375,9.65625,9.0,9.625,425000,0
1998-03-13,9.6875,9.9375,9.03125,9.46875,336400,0
1998-03-16,9.5625,11.4375,9.46875,11.1875,780700,0
1998-03-17,11.125,11.71875,10.609375,11.08595,476800,0
1998-03-18,10.875,11.125,10.65625,10.765625,200000,0
1998-03-19,10.8125,10.984375,10.53125,10.78125,78100,0
1998-03-20,10.65625,10.875,10.140625,10.296875,101300,0
1998-03-23,10.1875,11.21875,10.1875,10.78125,272700,0
1998-03-24,11.125,11.53125,10.71875,11.125,265900,0
1998-03-25,11.21875,11.25,10.609375,10.75,110400,0
1998-03-26,10.75,10.875,10.375,10.5,118400,0
1998-03-27,10.5625,10.875,10.40625,10.625,221100,0
1998-03-30,10.625,11.1875,10.5,10.875,217100,0
1998-03-31,11.0625,11.125,10.8125,11.0,178600,0
1998-04-01,11.09375,12.125,11.0,12.0,277500,0
1998-04-02,11.8125,12.25,11.03125,11.0625,266600,0
1998-04-03,11.4375,11.59375,10.59375,10.625,341800,0
1998-04-06,10.78125,10.78125,10.21875,10.21875,164000,0
1998-04-07,10.15625,10.1875,9.25,9.734375,261800,0
1998-04-08,9.71875,10.8125,9.71875,10.1875,244300,0
1998-04-09,10.875,11.21875,10.71875,11.0,230700,0
1998-04-13,11.25,11.5625,10.65625,11.21875,136100,0
1998-04-14,11.375,11.875,10.90625,10.96875,143800,0
