Date,Open,High,Low,Close,Volume,openinterest
1995-06-16,7.5,7.75,7.4375,7.5,3105000,0
1995-06-19,7.5625,7.625,7.0625,7.1875,764100,0
1995-06-20,7.25,7.3125,7.1875,7.1875,431500,0
1995-06-21,7.25,7.25,7.0,7.0625,314500,0
1995-06-22,7.0625,7.5625,7.0,7.5,273100,0
1995-06-23,7.375,7.4375,7.25,7.3125,182500,0
1995-06-26,7.3125,7.375,7.0,7.0625,257700,0
1995-06-27,7.125,7.125,7.0,7.0,135400,0
1995-06-28,7.0625,7.0625,7.0,7.0,250200,0
1995-06-29,7.0,7.125,7.0,7.0,154600,0
1995-06-30,7.0625,7.1875,7.0625,7.125,47500,0
1995-07-03,7.0625,7.125,7.0625,7.0625,4600,0
1995-07-05,7.125,7.125,7.0625,7.0625,37800,0
1995-07-06,7.0625,7.125,7.0625,7.0625,40700,0
1995-07-07,7.0625,7.625,7.0625,7.5625,237500,0
1995-07-10,7.5,7.75,7.5,7.75,120700,0
1995-07-11,7.6875,8.5625,7.625,8.5,269300,0
1995-07-12,8.5,9.0625,8.375,9.0,248100,0
1995-07-13,9.0,9.0,8.8125,8.9375,192000,0
1995-07-14,8.9375,8.9375,8.75,8.9375,51100,0
1995-07-17,9.0625,9.5,9.0625,9.4375,240100,0
1995-07-18,9.4375,9.4375,9.0,9.0625,179600,0
1995-07-19,9.0,9.0,8.8125,8.875,50800,0
1995-07-20,8.75,8.75,8.4375,8.6875,59800,0
1995-07-21,8.75,8.75,8.6875,8.6875,6500,0
1995-07-24,8.6875,8.8125,8.5625,8.5625,56000,0
1995-07-25,8.5625,8.8125,8.5625,8.75,100500,0
1995-07-26,8.875,9.1875,8.875,9.125,143900,0
1995-07-27,9.1875,9.375,9.1875,9.3125,50800,0
1995-07-28,9.375,9.4375,9.3125,9.3125,50200,0
1995-07-31,9.375,9.375,9.0625,9.25,30400,0
1995-08-01,9.1875,9.1875,9.0,9.0625,28800,0
1995-08-02,9.0,9.0,8.875,8.875,20500,0
