Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,2.1875,2.4375,2.1875,2.1875,33200,0
1980-03-18,2.1875,2.4375,2.1875,2.1875,37200,0
1980-03-19,2.125,2.375,2.125,2.125,17100,0
1980-03-20,2.1875,2.4375,2.1875,2.1875,17600,0
1980-03-21,2.125,2.375,2.125,2.125,11300,0
1980-03-24,2.0,2.25,2.0,2.0,26500,0
1980-03-25,1.9375,2.1875,1.9375,1.9375,41500,0
1980-03-26,1.9375,2.1875,1.9375,1.9375,11400,0
1980-03-27,1.75,2.0,1.75,1.75,49500,0
1980-03-28,1.9375,2.1875,1.9375,1.9375,25000,0
1980-03-31,1.9375,2.1875,1.9375,1.9375,15400,0
1980-04-01,1.875,2.125,1.875,1.875,7300,0
1980-04-02,1.875,2.125,1.875,1.875,9800,0
1980-04-03,2.0,2.25,2.0,2.0,12400,0
1980-04-07,1.9375,2.1875,1.9375,1.9375,10900,0
1980-04-08,1.875,2.125,1.875,1.875,7000,0
1980-04-09,1.9375,2.1875,1.9375,1.9375,13900,0
1980-04-10,2.0,2.25,2.0,2.0,14600,0
1980-04-11,1.9375,2.1875,1.9375,1.9375,53300,0
1980-04-14,1.9375,2.1875,1.9375,1.9375,10100,0
1980-04-15,1.9375,2.1875,1.9375,1.9375,7400,0
1980-04-16,1.875,2.125,1.875,1.875,37800,0
1980-04-17,1.8125,2.0625,1.8125,1.8125,99300,0
1980-04-18,1.875,2.125,1.875,1.875,24300,0
1980-04-21,1.75,2.0,1.75,1.75,21200,0
1980-04-22,1.8125,2.0625,1.8125,1.8125,9600,0
1980-04-23,1.8125,2.0625,1.8125,1.8125,4500,0
1980-04-24,1.8125,2.0625,1.8125,1.8125,15100,0
1980-04-25,1.8125,2.0625,1.8125,1.8125,5100,0
1980-04-28,1.875,2.125,1.875,1.875,11600,0
1980-04-29,1.875,2.125,1.875,1.875,18000,0
1980-04-30,1.875,2.125,1.875,1.875,29300,0
1980-05-01,1.875,2.125,1.875,1.875,7600,0
1980-05-02,1.875,2.125,1.875,1.875,5600,0
1980-05-05,1.9375,2.1875,1.9375,1.9375,23800,0
1980-05-06,1.8125,2.0625,1.8125,1.8125,14600,0
1980-05-07,1.8125,2.0625,1.8125,1.8125,12700,0
1980-05-08,1.8125,2.0625,1.8125,1.8125,4600,0
1980-05-09,1.75,2.0,1.75,1.75,9400,0
1980-05-12,1.75,2.0,1.75,1.75,10700,0
1980-05-13,1.75,2.0,1.75,1.75,7200,0
1980-05-14,1.75,2.0,1.75,1.75,6000,0
1980-05-15,1.8125,2.0625,1.8125,1.8125,8300,0
1980-05-16,1.875,2.125,1.875,1.875,24000,0
1980-05-19,2.0,2.25,2.0,2.0,52300,0
1980-05-20,2.0,2.25,2.0,2.0,45800,0
1980-05-21,1.9375,2.1875,1.9375,1.9375,21300,0
1980-05-22,2.125,2.375,2.125,2.125,37700,0
1980-05-23,2.1875,2.4375,2.1875,2.1875,15700,0
1980-05-27,2.1875,2.4375,2.1875,2.1875,18800,0
1980-05-28,2.3125,2.5625,2.3125,2.3125,34800,0
1980-05-29,2.25,2.5,2.25,2.25,63900,0
1980-05-30,2.1875,2.4375,2.1875,2.1875,15700,0
1980-06-02,2.1875,2.4375,2.1875,2.1875,12200,0
1980-06-03,2.125,2.375,2.125,2.125,30200,0
1980-06-04,2.0625,2.3125,2.0625,2.0625,14000,0
