Date,Open,High,Low,Close,Volume,openinterest
1980-03-17,1.8159999999999998,1.844,1.8159999999999998,1.8159999999999998,28800,0
1980-03-18,1.8519999999999999,1.876,1.824,1.8519999999999999,28100,0
1980-03-19,1.8519999999999999,1.86,1.844,1.8519999999999999,23400,0
1980-03-20,1.8319999999999999,1.844,1.8319999999999999,1.8319999999999999,8900,0
1980-03-21,1.844,1.844,1.8159999999999998,1.844,4800,0
1980-03-24,1.844,1.86,1.844,1.844,9700,0
1980-03-25,1.844,1.844,1.844,1.844,2400,0
1980-03-26,1.8519999999999999,1.8519999999999999,1.844,1.8519999999999999,1500,0
1980-03-27,1.8159999999999998,1.844,1.8159999999999998,1.8159999999999998,23900,0
1980-03-28,1.784,1.8159999999999998,1.784,1.784,6800,0
1980-03-31,1.784,1.784,1.736,1.784,4900,0
1980-04-01,1.8359999999999999,1.8359999999999999,1.784,1.8359999999999999,10100,0
1980-04-02,1.8319999999999999,1.8359999999999999,1.824,1.8319999999999999,13800,0
1980-04-03,1.8159999999999998,1.8159999999999998,1.7919999999999998,1.8159999999999998,4400,0
1980-04-07,1.808,1.808,1.8,1.808,1500,0
1980-04-08,1.8,1.808,1.8,1.8,13900,0
1980-04-09,1.8159999999999998,1.8159999999999998,1.8,1.8159999999999998,11400,0
1980-04-10,1.844,1.8519999999999999,1.8,1.844,5100,0
1980-04-11,1.916,1.932,1.86,1.916,9500,0
1980-04-14,1.94,1.94,1.932,1.94,3000,0
1980-04-15,1.9,1.932,1.9,1.9,11500,0
1980-04-16,1.892,1.9080000000000001,1.892,1.892,1400,0
1980-04-17,1.9080000000000001,1.9080000000000001,1.8840000000000001,1.9080000000000001,5700,0
1980-04-18,1.94,1.9480000000000002,1.932,1.94,1500,0
1980-04-21,1.9480000000000002,1.9480000000000002,1.94,1.9480000000000002,2800,0
1980-04-22,1.9880000000000002,1.9880000000000002,1.956,1.9880000000000002,2200,0
1980-04-23,2.08,2.08,2.0,2.08,4700,0
1980-04-24,2.1519999999999997,2.1519999999999997,2.104,2.1519999999999997,4300,0
1980-04-25,2.136,2.1519999999999997,2.112,2.136,14900,0
1980-04-28,2.12,2.1519999999999997,2.12,2.12,13800,0
1980-04-29,2.064,2.104,2.064,2.064,3300,0
1980-04-30,2.032,2.048,2.024,2.032,500,0
1980-05-01,2.088,2.088,2.04,2.088,3600,0
1980-05-02,2.064,2.072,2.064,2.064,3800,0
1980-05-05,2.128,2.128,2.072,2.128,13000,0
1980-05-06,2.144,2.144,2.144,2.144,400,0
1980-05-07,2.1719999999999997,2.188,2.144,2.1719999999999997,15600,0
1980-05-08,2.1519999999999997,2.168,2.144,2.1519999999999997,24000,0
1980-05-09,2.144,2.1519999999999997,2.128,2.144,2600,0
1980-05-12,2.104,2.144,2.104,2.104,21800,0
1980-05-13,2.104,2.104,2.096,2.104,1000,0
1980-05-14,2.064,2.088,2.064,2.064,127400,0
1980-05-15,2.088,2.088,2.064,2.088,1100,0
1980-05-16,2.112,2.112,2.08,2.112,2600,0
1980-05-19,2.112,2.112,2.088,2.112,3400,0
1980-05-20,2.096,2.096,2.096,2.096,400,0
1980-05-21,2.064,2.112,2.032,2.064,41900,0
1980-05-22,2.104,2.104,2.04,2.104,4700,0
1980-05-23,2.128,2.128,2.12,2.128,2400,0
1980-05-27,2.144,2.168,2.144,2.144,1400,0
1980-05-28,2.16,2.16,2.144,2.16,2000,0
1980-05-29,2.144,2.16,2.144,2.144,61700,0
1980-05-30,2.144,2.144,2.104,2.144,23000,0
1980-06-02,2.112,2.128,2.072,2.112,52200,0
1980-06-03,2.136,2.144,2.08,2.136,12700,0
1980-06-04,2.16,2.16,2.144,2.16,22600,0
1980-06-05,2.1719999999999997,2.1719999999999997,2.16,2.1719999999999997,24600,0
1980-06-06,2.204,2.204,2.168,2.204,14100,0
1980-06-09,2.204,2.2119999999999997,2.1959999999999997,2.204,17700,0
1980-06-10,2.276,2.3,2.22,2.276,19100,0
1980-06-11,2.336,2.344,2.2840000000000003,2.336,9200,0
1980-06-12,2.3680000000000003,2.424,2.344,2.3680000000000003,15900,0
1980-06-13,2.384,2.392,2.36,2.384,5700,0
1980-06-16,2.376,2.392,2.376,2.376,5600,0
1980-06-17,2.456,2.456,2.4,2.456,22000,0
1980-06-18,2.432,2.456,2.416,2.432,2700,0
1980-06-19,2.376,2.408,2.376,2.376,6700,0
1980-06-20,2.36,2.36,2.36,2.36,20000,0
1980-06-23,2.36,2.36,2.352,2.36,2000,0
1980-06-24,2.408,2.408,2.376,2.408,40500,0
1980-06-25,2.432,2.432,2.4,2.432,4700,0
1980-06-26,2.44,2.44,2.432,2.44,12800,0
1980-06-27,2.424,2.424,2.408,2.424,6900,0
1980-06-30,2.4,2.408,2.4,2.4,4600,0
1980-07-01,2.376,2.4,2.3680000000000003,2.376,7000,0
1980-07-02,2.392,2.424,2.392,2.392,10100,0
1980-07-03,2.376,2.376,2.376,2.376,7000,0
1980-07-07,2.432,2.44,2.36,2.432,5900,0
1980-07-08,2.448,2.464,2.44,2.448,18300,0
