Date,Open,High,Low,Close,Volume,openinterest
2020-12-09,43.44,43.85,42.63,42.72,1662225,0
2020-12-10,42.17,42.875,41.9,42.64,1051398,0
2020-12-11,41.38,42.11,41.27,41.68,1673152,0
2020-12-14,42.51,42.58,40.69,40.71,1504532,0
2020-12-15,41.24,41.62,40.54,41.61,1465566,0
2020-12-16,41.62,42.04,41.15,41.87,1642306,0
2020-12-17,41.92,42.22,41.11,41.87,1435000,0
2020-12-18,41.615,41.86,40.76,41.08,3030994,0
2020-12-21,41.26,42.56,40.88,42.43,2265110,0
2020-12-22,42.51,42.86,42.03,42.04,1077766,0
2020-12-23,42.29,43.7,42.29,43.51,706770,0
2020-12-24,43.62,43.62,42.66,43.34,327699,0
2020-12-28,43.66,44.14,43.26,43.36,835630,0
2020-12-29,43.39,43.39,42.62,42.77,1084118,0
2020-12-30,42.77,43.47,42.77,43.22,728422,0
2020-12-31,43.2,43.62,42.74,43.44,736330,0
