,name,cik,ticker
10,Agilent Technologies,1090872.0,A
27,American Airlines Group,6201.0,AAL
7,Advance Auto Parts,1158449.0,AAP
44,Apple Inc.,320193.0,AAPL
1,AbbVie Inc.,1551152.0,ABBV
34,AmerisourceBergen,1140859.0,ABC
2,Abiomed,815094.0,ABMD
0,Abbott Laboratories,1800.0,ABT
3,Accenture,1467373.0,ACN
5,Adobe Inc.,796343.0,ADBE
38,"Analog Devices, Inc.",6281.0,ADI
47,Archer-Daniels-Midland Co,7084.0,ADM
54,Automatic Data Processing,8670.0,ADP
53,Autodesk Inc.,769397.0,ADSK
26,Ameren Corp,1002910.0,AEE
28,American Electric Power,4904.0,AEP
8,AES Corp,874761.0,AES
9,Aflac,4977.0,AFL
30,American International Group,5272.0,AIG
50,Assurant,1267238.0,AIZ
49,Arthur J. Gallagher & Co.,354190.0,AJG
12,Akamai Technologies,1086222.0,AKAM
14,Albemarle Corporation,915913.0,ALB
17,Align Technology,1097149.0,ALGN
13,Alaska Air Group,766421.0,ALK
20,Allstate Corp,899051.0,ALL
18,Allegion,1579241.0,ALLE
16,Alexion Pharmaceuticals,899866.0,ALXN
45,Applied Materials Inc.,6951.0,AMAT
25,Amcor plc,1748790.0,AMCR
6,Advanced Micro Devices,2488.0,AMD
35,Ametek,1037868.0,AME
36,Amgen Inc.,318154.0,AMGN
33,Ameriprise Financial,820027.0,AMP
31,American Tower Corp.,1053507.0,AMT
24,Amazon.com Inc.,1018724.0,AMZN
48,Arista Networks,1596532.0,ANET
39,"ANSYS, Inc.",1013462.0,ANSS
40,Anthem,1156039.0,ANTM
41,Aon plc,315293.0,AON
42,A.O. Smith Corp,91142.0,AOS
43,APA Corporation,6769.0,APA
11,Air Products & Chemicals,2969.0,APD
37,Amphenol Corp,820313.0,APH
46,Aptiv PLC,1521332.0,APTV
15,Alexandria Real Estate Equities,1035443.0,ARE
52,Atmos Energy,731802.0,ATO
4,Activision Blizzard,718877.0,ATVI
56,AvalonBay Communities,915912.0,AVB
75,Broadcom Inc.,1730168.0,AVGO
57,Avery Dennison Corp,8818.0,AVY
32,American Water Works,1410636.0,AWK
29,American Express,4962.0,AXP
55,AutoZone Inc,866787.0,AZO
69,Boeing Company,12927.0,BA
60,Bank of America Corp,70858.0,BAC
62,Baxter International Inc.,10456.0,BAX
65,Best Buy Co. Inc.,764478.0,BBY
63,Becton Dickinson,10795.0,BDX
202,Franklin Resources,38777.0,BEN
77,Brown-Forman Corp.,14693.0,BF.B
67,Biogen Inc.,875045.0,BIIB
66,Bio-Rad Laboratories,12208.0,BIO
61,The Bank of New York Mellon,1390777.0,BK
70,Booking Holdings Inc,1075531.0,BKNG
58,Baker Hughes Co,1701605.0,BKR
68,BlackRock,1364742.0,BLK
59,Ball Corp,9389.0,BLL
74,Bristol-Myers Squibb,14272.0,BMY
76,Broadridge Financial Solutions,1383312.0,BR
64,Berkshire Hathaway,1067983.0,BRK.B
73,Boston Scientific,885725.0,BSX
71,BorgWarner,908255.0,BWA
72,Boston Properties,1037540.0,BXP
108,Citigroup Inc.,831001.0,C
119,Conagra Brands,23217.0,CAG
84,Cardinal Health Inc.,721371.0,CAH
87,Carrier Global,1783180.0,CARR
89,Caterpillar Inc.,18230.0,CAT
102,Chubb Limited,896159.0,CB
90,Cboe Global Markets,1374310.0,CBOE
91,CBRE Group,1138118.0,CBRE
128,Crown Castle,1051470.0,CCI
86,Carnival Corp.,815097.0,CCL
80,Cadence Design Systems,813672.0,CDNS
92,CDW,1402057.0,CDW
93,Celanese,1306830.0,CE
96,Cerner,804753.0,CERN
97,CF Industries Holdings Inc,1324404.0,CF
109,Citizens Financial Group,759944.0,CFG
103,Church & Dwight,313927.0,CHD
78,C. H. Robinson Worldwide,1043277.0,CHRW
99,Charter Communications,1091667.0,CHTR
104,Cigna,1739940.0,CI
105,Cincinnati Financial,20286.0,CINF
116,Colgate-Palmolive,21665.0,CL
111,The Clorox Company,21076.0,CLX
118,Comerica Inc.,28412.0,CMA
117,Comcast Corp.,1166691.0,CMCSA
112,CME Group Inc.,1156375.0,CME
101,Chipotle Mexican Grill,1058090.0,CMG
130,Cummins Inc.,26172.0,CMI
113,CMS Energy,811156.0,CMS
94,Centene Corporation,1071739.0,CNC
95,CenterPoint Energy,1130310.0,CNP
83,Capital One Financial,927628.0,COF
79,Cabot Oil & Gas,858470.0,COG
123,The Cooper Companies,711404.0,COO
120,ConocoPhillips,1163165.0,COP
127,Costco Wholesale Corp.,909832.0,COST
82,Campbell Soup,16732.0,CPB
124,Copart Inc,900075.0,CPRT
407,Salesforce.com,1108524.0,CRM
107,Cisco Systems,858877.0,CSCO
129,CSX Corp.,277948.0,CSX
106,Cintas Corporation,723254.0,CTAS
88,Catalent,1596783.0,CTLT
115,Cognizant Technology Solutions,1058290.0,CTSH
126,Corteva,1755672.0,CTVA
110,Citrix Systems,877890.0,CTXS
131,CVS Health,64803.0,CVS
100,Chevron Corp.,93410.0,CVX
81,Caesars Entertainment,1590895.0,CZR
149,Dominion Energy,715957.0,D
137,Delta Air Lines Inc.,27904.0,DAL
156,DuPont de Nemours Inc,1666700.0,DD
136,Deere & Co.,315189.0,DE
143,Discover Financial Services,1393612.0,DFS
147,Dollar General,29534.0,DG
