,date,name,cik,variable,value
308,1957-01-01,McKesson Corp.,927653.0,added_ticker,MCK
149,1957-01-01,Dominion Energy,715957.0,added_ticker,D
274,1957-01-01,KLA Corporation,319201.0,added_ticker,KLAC
125,1957-01-01,Corning Inc.,24741.0,added_ticker,GLW
311,1957-01-01,MetLife Inc.,1099219.0,added_ticker,MET
133,1957-01-01,Danaher Corp.,313616.0,added_ticker,DHR
159,1957-01-01,Eaton Corporation,1551182.0,added_ticker,ETN
326,1957-01-01,Motorola Solutions Inc.,68505.0,added_ticker,MSI
338,1957-01-01,NiSource Inc.,1111711.0,added_ticker,NI
430,1957-01-01,T. Rowe Price Group,1113169.0,added_ticker,TROW
432,1957-01-01,"Tapestry, Inc.",1116132.0,added_ticker,TPR
189,1957-01-01,Fifth Third Bancorp,35527.0,added_ticker,FITB
454,1957-01-01,U.S. Bancorp,36104.0,added_ticker,USB
202,1957-01-01,Franklin Resources,38777.0,added_ticker,BEN
360,1957-01-01,Paychex Inc.,723531.0,added_ticker,PAYX
492,1957-01-01,Whirlpool Corp.,106640.0,added_ticker,WHR
491,1957-01-01,Weyerhaeuser,106535.0,added_ticker,WY
393,1957-01-01,Raytheon Technologies,101829.0,added_ticker,RTX
237,1957-01-01,Humana Inc.,49071.0,added_ticker,HUM
238,1957-01-01,Huntington Bancshares,49196.0,added_ticker,HBAN
451,1957-01-01,Tyson Foods,100493.0,added_ticker,TSN
439,1957-01-01,Texas Instruments,97476.0,added_ticker,TXN
422,1957-01-01,State Street Corp.,93751.0,added_ticker,STT
268,1957-01-01,Kellogg Co.,55067.0,added_ticker,K
283,1957-01-01,Leggett & Platt,58492.0,added_ticker,LEG
292,1957-01-01,Loews Corp.,60086.0,added_ticker,L
305,1957-01-01,McCormick & Co.,63754.0,added_ticker,MKC
340,1957-01-01,Northern Trust Corp.,73124.0,added_ticker,NTRS
406,1957-01-01,S&P Global Inc.,64040.0,added_ticker,SPGI
209,1957-01-01,General Electric,40545.0,added_ticker,GE
323,1957-01-01,Moody's Corp,1059556.0,added_ticker,MCO
353,1957-01-01,Omnicom Group,29989.0,added_ticker,OMC
176,1957-01-01,Eversource Energy,72741.0,added_ticker,ES
483,1957-01-01,Waters Corporation,1000697.0,added_ticker,WAT
490,1957-01-01,WestRock,1732845.0,added_ticker,WRK
203,1957-01-01,Freeport-McMoRan Inc.,831259.0,added_ticker,FCX
401,1957-01-01,Rockwell Automation Inc.,1024478.0,added_ticker,ROK
190,1957-01-01,FirstEnergy Corp,1031296.0,added_ticker,FE
412,1957-01-01,Sempra Energy,1032208.0,added_ticker,SRE
464,1957-01-01,Valero Energy,1035002.0,added_ticker,VLO
421,1957-01-01,Starbucks Corp.,829224.0,added_ticker,SBUX
475,1957-01-01,Vornado Realty Trust,899689.0,added_ticker,VNO
472,1957-01-01,ViacomCBS,813828.0,added_ticker,VIAC
389,1957-01-01,Qualcomm,804328.0,added_ticker,QCOM
121,1957-01-01,Consolidated Edison,1047862.0,added_ticker,ED
482,1957-01-01,Waste Management Inc.,823768.0,added_ticker,WM
324,1957-01-01,Morgan Stanley,895421.0,added_ticker,MS
300,1957-01-01,Marriott International,1048286.0,added_ticker,MAR
372,1957-01-01,Pinnacle West Capital,764622.0,added_ticker,PNW
377,1957-01-01,PPL Corp.,922224.0,added_ticker,PPL
134,1957-01-01,Darden Restaurants,940944.0,added_ticker,DRI
167,1957-03-04,Entergy Corp.,65984.0,added_ticker,ETR
250,1957-03-04,International Paper,51434.0,added_ticker,IP
120,1957-03-04,ConocoPhillips,1163165.0,added_ticker,COP
28,1957-03-04,American Electric Power,4904.0,added_ticker,AEP
131,1957-03-04,CVS Health,64803.0,added_ticker,CVS
496,1957-03-04,Xcel Energy Inc,72903.0,added_ticker,XEL
418,1957-03-04,Southern Company,92122.0,added_ticker,SO
366,1957-03-04,PepsiCo Inc.,77476.0,added_ticker,PEP
100,1957-03-04,Chevron Corp.,93410.0,added_ticker,CVX
369,1957-03-04,Pfizer Inc.,78003.0,added_ticker,PFE
276,1957-03-04,Kroger Co.,56873.0,added_ticker,KR
376,1957-03-04,PPG Industries,79879.0,added_ticker,PPG
249,1957-03-04,International Business Machines,51143.0,added_ticker,IBM
379,1957-03-04,Procter & Gamble,80424.0,added_ticker,PG
153,1957-03-04,DTE Energy Co.,936340.0,added_ticker,DTE
271,1957-03-04,Kimberly-Clark,55785.0,added_ticker,KMB
89,1957-03-04,Caterpillar Inc.,18230.0,added_ticker,CAT
220,1957-03-04,Hartford Financial Svc.Gp.,874766.0,added_ticker,HIG
82,1957-03-04,Campbell Soup,16732.0,added_ticker,CPB
114,1957-03-04,Coca-Cola Company,21344.0,added_ticker,KO
116,1957-03-04,Colgate-Palmolive,21665.0,added_ticker,CL
339,1957-03-04,Norfolk Southern Corp.,702165.0,added_ticker,NSC
383,1957-03-04,Public Service Enterprise Group (PSEG),788784.0,added_ticker,PEG
74,1957-03-04,Bristol-Myers Squibb,14272.0,added_ticker,BMY
136,1957-03-04,Deere & Co.,315189.0,added_ticker,DE
411,1957-03-04,Sealed Air,1012100.0,added_ticker,SEE
69,1957-03-04,Boeing Company,12927.0,added_ticker,BA
225,1957-03-04,The Hershey Company,47111.0,added_ticker,HSY
178,1957-03-04,Exelon Corp.,1109357.0,added_ticker,EXC
182,1957-03-04,Exxon Mobil Corp.,34088.0,added_ticker,XOM
162,1957-03-04,Edison Int'l,827052.0,added_ticker,EIX
196,1957-03-04,Ford Motor Company,37996.0,added_ticker,F
208,1957-03-04,General Dynamics,40533.0,added_ticker,GD
218,1957-03-04,Halliburton Co.,45012.0,added_ticker,HAL
23,1957-03-04,Altria Group Inc,764180.0,added_ticker,MO
457,1957-03-04,Union Pacific Corp,100885.0,added_ticker,UNP
310,1957-03-04,Merck & Co.,310158.0,added_ticker,MRK
232,1964-03-31,Honeywell Int'l Inc.,773840.0,added_ticker,HON
